col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MBMA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MBMA
1,21-11-2025,565,570,540,560,177.126.700,99.190.952.000,0.00%,0.88%,-4.42%,-0.88%,0.88%,0.88%,MBMA
2,20-11-2025,575,580,565,565,94.360.900,53.313.908.500,1.77%,2.65%,0.00%,0.00%,0.87%,3.45%,MBMA
3,19-11-2025,575,590,560,565,125.211.700,70.744.610.500,0.00%,2.61%,-2.61%,-1.74%,2.61%,5.08%,MBMA
4,18-11-2025,585,590,560,575,201.423.600,115.818.570.000,0.00%,0.85%,-4.27%,-1.71%,0.85%,1.69%,MBMA
5,17-11-2025,635,635,580,585,384.690.700,225.044.059.500,0.00%,0.00%,-8.66%,-7.87%,0.00%,1.57%,MBMA
6,14-11-2025,655,655,625,635,206.776.300,131.302.950.500,-0.76%,-0.76%,-5.30%,-3.79%,0.00%,100.00%,MBMA
7,12-11-2025,685,700,665,670,206.126.500,138.104.755.000,0.74%,2.94%,-2.21%,-1.47%,2.19%,4.29%,MBMA
8,11-11-2025,695,750,670,680,1.017.299.700,691.763.796.000,1.46%,9.49%,-2.19%,-0.73%,7.91%,15.33%,MBMA
9,10-11-2025,650,690,635,685,386.728.500,264.909.022.500,0.78%,6.98%,-1.55%,6.20%,6.15%,8.70%,MBMA
10,07-11-2025,640,660,630,645,115.837.300,74.715.058.500,-0.78%,2.33%,-2.33%,0.00%,3.13%,5.30%,MBMA
11,06-11-2025,645,660,625,645,197.495.800,127.384.791.000,0.00%,2.33%,-3.10%,0.00%,2.33%,8.33%,MBMA
12,05-11-2025,620,645,605,645,162.917.800,105.081.981.000,-1.59%,2.38%,-3.97%,2.38%,4.03%,4.65%,MBMA
13,04-11-2025,640,645,615,630,104.956.000,66.122.280.000,0.00%,0.78%,-3.91%,-1.56%,0.78%,4.65%,MBMA
14,03-11-2025,615,640,615,640,144.463.700,92.456.768.000,-2.38%,1.59%,-2.38%,1.59%,4.07%,1.56%,MBMA
15,31-10-2025,655,655,630,630,179.266.000,112.937.580.000,-0.76%,-0.76%,-4.55%,-4.55%,0.00%,2.29%,MBMA
16,30-10-2025,650,670,640,660,282.127.600,186.204.216.000,1.56%,4.69%,0.00%,3.13%,3.08%,8.21%,MBMA
17,29-10-2025,635,655,615,640,187.783.700,120.181.568.000,0.00%,3.15%,-3.15%,0.79%,3.15%,6.87%,MBMA
18,28-10-2025,620,675,610,635,942.103.000,598.235.405.000,1.64%,10.66%,0.00%,4.10%,8.87%,17.78%,MBMA
19,27-10-2025,590,610,555,610,251.873.300,153.642.713.000,0.85%,4.27%,-5.13%,4.27%,3.39%,4.92%,MBMA
20,24-10-2025,595,610,580,585,99.273.100,58.074.763.500,1.71%,4.27%,-0.85%,0.00%,2.52%,4.92%,MBMA
21,23-10-2025,590,600,580,585,70.954.400,41.508.324.000,1.72%,3.45%,0.00%,0.86%,1.69%,5.83%,MBMA
22,22-10-2025,605,605,565,580,130.513.000,75.697.540.000,0.00%,0.00%,-6.61%,-4.13%,0.00%,3.31%,MBMA
23,21-10-2025,585,610,585,605,161.661.100,97.804.965.500,0.86%,5.17%,0.86%,4.31%,4.27%,12.30%,MBMA
24,20-10-2025,550,595,535,580,201.475.400,116.855.732.000,0.00%,8.18%,-2.73%,5.45%,8.18%,10.92%,MBMA
25,17-10-2025,595,595,530,550,297.479.900,163.613.945.000,0.00%,0.00%,-10.92%,-7.56%,0.00%,0.00%,MBMA
26,16-10-2025,610,625,595,595,209.847.800,124.859.441.000,0.00%,2.46%,-2.46%,-2.46%,2.46%,8.00%,MBMA
27,15-10-2025,600,615,575,610,311.596.600,190.073.926.000,2.56%,5.13%,-1.71%,4.27%,2.50%,14.63%,MBMA
28,14-10-2025,625,660,525,585,672.403.600,393.356.106.000,1.63%,7.32%,-14.63%,-4.88%,5.60%,9.85%,MBMA
29,13-10-2025,610,635,595,615,244.334.200,150.265.533.000,-3.17%,0.79%,-5.56%,-2.38%,4.10%,3.15%,MBMA
30,10-10-2025,630,645,615,630,235.362.800,148.278.564.000,1.61%,4.03%,-0.81%,1.61%,2.38%,7.75%,MBMA
31,09-10-2025,630,650,595,620,430.448.800,266.878.256.000,2.44%,5.69%,-3.25%,0.81%,3.17%,10.77%,MBMA
32,08-10-2025,620,635,580,615,411.768.500,253.237.627.500,0.81%,3.25%,-5.69%,0.00%,2.42%,7.09%,MBMA
33,07-10-2025,615,665,590,615,636.512.300,391.455.064.500,0.00%,8.13%,-4.07%,0.00%,8.13%,8.27%,MBMA
34,06-10-2025,625,635,610,615,213.934.700,131.569.840.500,0.00%,1.60%,-2.40%,-1.60%,1.60%,3.15%,MBMA
