col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MBSS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MBSS
1,21-11-2025,1.390,1.390,1.370,1.380,459.300,633.834.000,1.09%,1.09%,-0.36%,0.36%,0.00%,2.16%,MBSS
2,20-11-2025,1.370,1.425,1.360,1.375,1.334.600,1.835.075.000,0.00%,4.01%,-0.73%,0.36%,4.01%,6.32%,MBSS
3,19-11-2025,1.340,1.375,1.335,1.370,1.117.000,1.530.290.000,0.00%,2.61%,-0.37%,2.24%,2.61%,3.64%,MBSS
4,18-11-2025,1.365,1.375,1.325,1.340,2.851.100,3.820.474.000,0.00%,0.73%,-2.93%,-1.83%,0.73%,0.73%,MBSS
5,17-11-2025,1.410,1.430,1.365,1.365,2.209.300,3.015.694.500,2.92%,4.38%,-0.36%,-0.36%,1.42%,4.55%,MBSS
6,14-11-2025,1.380,1.420,1.365,1.370,1.052.800,1.442.336.000,-1.08%,1.79%,-2.15%,-1.79%,2.90%,100.00%,MBSS
7,12-11-2025,1.385,1.400,1.360,1.375,1.571.600,2.160.950.000,0.00%,1.08%,-1.81%,-0.72%,1.08%,3.21%,MBSS
8,11-11-2025,1.415,1.415,1.355,1.385,934.900,1.294.836.500,0.35%,0.35%,-3.90%,-1.77%,0.00%,3.18%,MBSS
9,10-11-2025,1.375,1.450,1.370,1.410,1.903.700,2.684.217.000,0.73%,6.23%,0.37%,3.30%,5.45%,6.55%,MBSS
10,07-11-2025,1.370,1.390,1.355,1.365,1.120.400,1.529.346.000,-0.72%,0.72%,-1.81%,-1.09%,1.46%,1.80%,MBSS
11,06-11-2025,1.400,1.410,1.365,1.380,1.410.800,1.946.904.000,0.36%,1.08%,-2.15%,-1.08%,0.71%,1.06%,MBSS
12,05-11-2025,1.430,1.430,1.395,1.395,863.600,1.204.722.000,0.00%,0.00%,-2.45%,-2.45%,0.00%,0.00%,MBSS
13,04-11-2025,1.500,1.500,1.430,1.430,1.083.800,1.549.834.000,1.01%,1.01%,-3.70%,-3.70%,0.00%,4.00%,MBSS
14,03-11-2025,1.465,1.510,1.440,1.485,1.719.000,2.552.715.000,1.03%,4.14%,-0.69%,2.41%,3.07%,3.97%,MBSS
15,31-10-2025,1.500,1.505,1.450,1.450,1.194.300,1.731.735.000,0.33%,0.67%,-3.01%,-3.01%,0.33%,6.98%,MBSS
16,30-10-2025,1.440,1.535,1.400,1.495,4.967.600,7.426.562.000,0.70%,7.34%,-2.10%,4.55%,6.60%,8.14%,MBSS
17,29-10-2025,1.450,1.480,1.410,1.430,1.138.800,1.628.484.000,0.69%,2.78%,-2.08%,-0.69%,2.07%,6.08%,MBSS
18,28-10-2025,1.420,1.460,1.390,1.440,1.703.700,2.453.328.000,0.35%,3.18%,-1.77%,1.77%,2.82%,7.53%,MBSS
19,27-10-2025,1.410,1.430,1.350,1.415,1.933.600,2.736.044.000,1.08%,2.51%,-3.23%,1.43%,1.42%,4.20%,MBSS
20,24-10-2025,1.410,1.415,1.370,1.395,904.300,1.261.498.500,0.71%,1.07%,-2.14%,-0.36%,0.35%,1.77%,MBSS
21,23-10-2025,1.455,1.470,1.390,1.400,2.150.000,3.010.000.000,0.69%,1.73%,-3.81%,-3.11%,1.03%,4.08%,MBSS
22,22-10-2025,1.465,1.485,1.410,1.445,2.144.700,3.099.091.500,0.00%,1.37%,-3.75%,-1.37%,1.37%,2.69%,MBSS
23,21-10-2025,1.525,1.545,1.445,1.465,3.337.000,4.888.705.000,1.67%,3.00%,-3.67%,-2.33%,1.31%,11.97%,MBSS
24,20-10-2025,1.400,1.560,1.360,1.500,7.906.500,11.859.750.000,6.46%,18.63%,3.42%,14.07%,11.43%,15.71%,MBSS
25,17-10-2025,1.420,1.425,1.315,1.315,1.597.600,2.100.844.000,0.35%,0.71%,-7.07%,-7.07%,0.35%,9.82%,MBSS
26,16-10-2025,1.285,1.435,1.285,1.415,3.370.700,4.769.540.500,0.00%,11.67%,0.00%,10.12%,11.67%,14.63%,MBSS
27,15-10-2025,1.280,1.295,1.225,1.285,1.110.000,1.426.350.000,1.59%,2.78%,-2.78%,1.98%,1.17%,2.70%,MBSS
28,14-10-2025,1.360,1.370,1.260,1.260,3.453.700,4.351.662.000,0.74%,1.48%,-6.67%,-6.67%,0.74%,1.46%,MBSS
29,13-10-2025,1.375,1.385,1.350,1.350,1.690.800,2.282.580.000,-1.43%,-0.72%,-3.23%,-3.23%,0.73%,2.17%,MBSS
