col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MBTO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MBTO
1,21-11-2025,180,183,174,178,2.611.000,464.758.000,0.56%,2.23%,-2.79%,-0.56%,1.67%,2.19%,MBTO
2,20-11-2025,181,184,179,179,1.094.800,195.969.200,0.00%,1.66%,-1.10%,-1.10%,1.66%,2.72%,MBTO
3,19-11-2025,181,187,179,181,2.011.800,364.135.800,1.12%,4.47%,0.00%,1.12%,3.31%,4.81%,MBTO
4,18-11-2025,183,183,178,179,3.395.500,607.794.500,0.00%,0.00%,-2.73%,-2.19%,0.00%,1.64%,MBTO
5,17-11-2025,181,186,180,183,2.384.800,436.418.400,0.00%,2.76%,-0.55%,1.10%,2.76%,4.30%,MBTO
6,14-11-2025,189,189,178,181,3.001.200,543.217.200,0.53%,0.53%,-5.32%,-3.72%,0.00%,100.00%,MBTO
7,12-11-2025,195,195,190,192,2.227.300,427.641.600,2.09%,2.09%,-0.52%,0.52%,0.00%,2.56%,MBTO
8,11-11-2025,195,198,190,191,3.776.600,721.330.600,1.04%,2.59%,-1.55%,-1.04%,1.54%,6.06%,MBTO
9,10-11-2025,187,208,186,193,14.734.200,2.843.700.600,0.54%,11.83%,0.00%,3.76%,11.23%,10.58%,MBTO
10,07-11-2025,194,196,186,186,4.364.100,811.722.600,0.52%,1.55%,-3.63%,-3.63%,1.03%,8.67%,MBTO
11,06-11-2025,182,214,179,193,34.549.700,6.668.092.100,0.55%,18.23%,-1.10%,6.63%,17.58%,17.29%,MBTO
12,05-11-2025,188,196,177,181,12.124.800,2.194.588.800,-1.05%,3.16%,-6.84%,-4.74%,4.26%,4.08%,MBTO
13,04-11-2025,202,218,188,190,12.354.100,2.347.279.000,0.00%,7.92%,-6.93%,-5.94%,7.92%,11.01%,MBTO
14,03-11-2025,206,210,194,202,4.152.400,838.784.800,0.00%,1.94%,-5.83%,-1.94%,1.94%,3.81%,MBTO
15,31-10-2025,212,218,202,206,7.391.300,1.522.607.800,2.91%,5.83%,-1.94%,0.00%,2.83%,5.50%,MBTO
16,30-10-2025,206,224,206,206,16.229.900,3.343.359.400,-12.71%,-5.08%,-12.71%,-12.71%,8.74%,-5.36%,MBTO
17,29-10-2025,266,266,236,236,14.298.000,3.374.328.000,-3.62%,-3.62%,-14.49%,-14.49%,0.00%,23.31%,MBTO
18,28-10-2025,222,276,204,276,18.418.800,5.083.588.800,0.00%,24.32%,-8.11%,24.32%,24.32%,21.74%,MBTO
19,27-10-2025,230,238,216,222,3.940.800,874.857.600,-1.71%,1.71%,-7.69%,-5.13%,3.48%,5.04%,MBTO
20,24-10-2025,242,244,226,234,4.257.700,996.301.800,0.00%,0.83%,-6.61%,-3.31%,0.83%,4.10%,MBTO
21,23-10-2025,250,262,234,242,10.182.400,2.464.140.800,-0.79%,3.97%,-7.14%,-3.97%,4.80%,19.08%,MBTO
22,22-10-2025,224,268,212,252,40.230.800,10.138.161.600,0.00%,19.64%,-5.36%,12.50%,19.64%,20.90%,MBTO
23,21-10-2025,242,272,212,224,23.301.000,5.219.424.000,0.00%,12.40%,-12.40%,-7.44%,12.40%,11.03%,MBTO
24,20-10-2025,280,280,242,242,29.900.400,7.235.896.800,-1.41%,-1.41%,-14.79%,-14.79%,0.00%,-1.43%,MBTO
25,17-10-2025,284,284,284,284,18.044.600,5.124.666.400,-14.97%,-14.97%,-14.97%,-14.97%,0.00%,-12.68%,MBTO
26,16-10-2025,334,334,320,334,57.191.100,19.101.827.400,24.63%,24.63%,19.40%,24.63%,0.00%,49.10%,MBTO
27,15-10-2025,198,268,170,268,75.007.200,20.101.929.600,-0.50%,34.67%,-14.57%,34.67%,35.35%,45.90%,MBTO
28,14-10-2025,148,199,145,199,98.543.300,19.610.116.700,0.00%,34.46%,-2.03%,34.46%,34.46%,28.64%,MBTO
29,13-10-2025,167,167,142,148,14.445.200,2.137.889.600,0.00%,0.00%,-14.97%,-11.38%,0.00%,17.37%,MBTO
30,10-10-2025,144,172,138,167,40.411.100,6.748.653.700,0.70%,20.28%,-3.50%,16.78%,19.44%,18.02%,MBTO
31,09-10-2025,145,150,141,143,4.361.800,623.737.400,0.00%,3.45%,-2.76%,-1.38%,3.45%,10.00%,MBTO
32,08-10-2025,147,152,135,145,6.199.300,898.898.500,1.38%,4.83%,-6.90%,0.00%,3.40%,5.92%,MBTO
33,07-10-2025,162,162,143,145,10.388.200,1.506.289.000,0.00%,0.00%,-11.73%,-10.49%,0.00%,2.47%,MBTO
34,06-10-2025,181,189,158,162,111.717.000,18.098.154.000,0.56%,5.00%,-12.22%,-10.00%,4.42%,30.16%,MBTO
