col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MCAS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MCAS
1,21-11-2025,800,800,780,785,114.000,89.490.000,1.27%,1.27%,-1.27%,-0.63%,0.00%,2.50%,MCAS
2,20-11-2025,790,800,780,790,184.500,145.755.000,-0.63%,0.63%,-1.89%,-0.63%,1.27%,1.88%,MCAS
3,19-11-2025,790,800,785,795,77.100,61.294.500,-1.25%,0.00%,-1.88%,-0.63%,1.27%,1.25%,MCAS
4,18-11-2025,800,815,790,800,247.600,198.080.000,0.00%,1.88%,-1.25%,0.00%,1.88%,3.68%,MCAS
5,17-11-2025,800,810,785,800,200.600,160.480.000,0.63%,1.89%,-1.26%,0.63%,1.25%,1.85%,MCAS
6,14-11-2025,805,810,795,795,168.000,133.560.000,0.63%,1.25%,-0.63%,-0.63%,0.62%,100.00%,MCAS
7,12-11-2025,800,810,795,805,184.600,148.603.000,0.00%,1.25%,-0.63%,0.63%,1.25%,1.85%,MCAS
8,11-11-2025,805,815,795,800,213.400,170.720.000,0.00%,1.24%,-1.24%,-0.62%,1.24%,2.45%,MCAS
9,10-11-2025,810,815,795,805,172.100,138.540.500,0.00%,0.62%,-1.85%,-0.62%,0.62%,3.07%,MCAS
10,07-11-2025,810,810,790,810,136.100,110.241.000,0.00%,0.00%,-2.47%,0.00%,0.00%,2.47%,MCAS
11,06-11-2025,800,810,790,810,362.400,293.544.000,1.27%,2.53%,0.00%,2.53%,1.25%,3.09%,MCAS
12,05-11-2025,800,805,785,790,145.400,114.866.000,0.00%,0.63%,-1.88%,-1.25%,0.63%,3.11%,MCAS
13,04-11-2025,800,805,780,800,503.300,402.640.000,-0.62%,0.00%,-3.11%,-0.62%,0.63%,0.62%,MCAS
14,03-11-2025,810,815,800,805,329.800,265.489.000,-1.22%,-0.61%,-2.44%,-1.83%,0.62%,1.23%,MCAS
15,31-10-2025,815,825,805,820,221.700,181.794.000,0.62%,1.85%,-0.62%,1.23%,1.23%,4.24%,MCAS
16,30-10-2025,800,815,790,810,172.500,139.725.000,0.00%,1.88%,-1.25%,1.25%,1.88%,4.29%,MCAS
17,29-10-2025,840,850,780,800,694.100,555.280.000,1.82%,3.03%,-5.45%,-3.03%,1.19%,6.47%,MCAS
18,28-10-2025,810,880,795,825,663.200,547.140.000,0.00%,8.64%,-1.85%,1.85%,8.64%,8.52%,MCAS
19,27-10-2025,860,875,805,810,356.300,288.603.000,0.00%,1.74%,-6.40%,-5.81%,1.74%,3.43%,MCAS
20,24-10-2025,865,875,845,860,363.200,312.352.000,0.00%,1.16%,-2.31%,-0.58%,1.16%,2.29%,MCAS
21,23-10-2025,895,895,855,865,418.500,362.002.500,1.70%,1.70%,-2.84%,-1.70%,0.00%,5.59%,MCAS
22,22-10-2025,850,895,845,880,1.449.400,1.275.472.000,0.59%,5.92%,0.00%,4.14%,5.29%,9.50%,MCAS
23,21-10-2025,815,860,810,845,841.600,711.152.000,0.00%,5.52%,-0.61%,3.68%,5.52%,7.56%,MCAS
24,20-10-2025,800,850,795,815,375.200,305.788.000,0.00%,6.25%,-0.63%,1.88%,6.25%,6.47%,MCAS
25,17-10-2025,810,865,795,800,698.300,558.640.000,0.62%,7.45%,-1.24%,-0.62%,6.79%,9.83%,MCAS
26,16-10-2025,780,880,780,805,562.700,452.973.500,0.00%,12.82%,0.00%,3.21%,12.82%,12.50%,MCAS
27,15-10-2025,795,795,770,780,545.100,425.178.000,0.00%,0.00%,-3.14%,-1.89%,0.00%,0.63%,MCAS
28,14-10-2025,810,825,790,795,469.800,373.491.000,-1.22%,0.61%,-3.66%,-3.05%,1.85%,1.82%,MCAS
29,13-10-2025,810,840,810,820,658.600,540.052.000,-3.57%,0.00%,-3.57%,-2.38%,3.70%,0.00%,MCAS
30,10-10-2025,860,865,840,840,485.900,408.156.000,0.00%,0.58%,-2.33%,-2.33%,0.58%,2.31%,MCAS
31,09-10-2025,850,925,845,860,1.194.900,1.027.614.000,0.59%,9.47%,0.00%,1.78%,8.82%,9.73%,MCAS
32,08-10-2025,840,900,835,845,868.000,733.460.000,0.60%,7.78%,0.00%,1.20%,7.14%,8.33%,MCAS
33,07-10-2025,855,860,825,835,896.700,748.744.500,0.00%,0.58%,-3.51%,-2.34%,0.58%,5.81%,MCAS
34,06-10-2025,930,930,810,855,1.647.100,1.408.270.500,-1.06%,-1.06%,-13.83%,-9.04%,0.00%,0.54%,MCAS
35,03-10-2025,1.000,1.050,925,940,6.417.500,6.032.450.000,1.01%,6.06%,-6.57%,-5.05%,5.00%,21.43%,MCAS
36,02-10-2025,825,990,825,990,6.794.200,6.726.258.000,2.48%,22.98%,2.48%,22.98%,20.00%,22.73%,MCAS
37,01-10-2025,795,810,765,805,405.200,326.186.000,0.00%,1.89%,-3.77%,1.26%,1.89%,4.32%,MCAS
38,30-09-2025,825,845,775,795,1.027.900,817.180.500,-0.60%,1.81%,-6.63%,-4.22%,2.42%,11.24%,MCAS
39,29-09-2025,760,870,750,830,1.332.700,1.106.141.000,0.00%,14.47%,-1.32%,9.21%,14.47%,13.79%,MCAS
40,26-09-2025,785,785,750,760,202.300,153.748.000,2.61%,2.61%,-1.96%,-0.65%,0.00%,3.82%,MCAS
41,25-09-2025,775,785,755,765,298.500,228.352.500,0.65%,1.95%,-1.95%,-0.65%,1.29%,1.91%,MCAS
42,24-09-2025,795,800,770,770,133.000,102.410.000,0.63%,1.27%,-2.53%,-2.53%,0.63%,3.13%,MCAS
43,23-09-2025,810,810,775,790,420.500,332.195.000,0.62%,0.62%,-3.73%,-1.86%,0.00%,3.70%,MCAS
44,22-09-2025,800,810,780,805,497.800,400.729.000,0.63%,1.89%,-1.89%,1.26%,1.25%,6.17%,MCAS
45,19-09-2025,765,805,760,795,439.400,349.323.000,-0.65%,4.55%,-1.30%,3.25%,5.23%,6.21%,MCAS
46,18-09-2025,790,805,755,770,489.700,377.069.000,0.00%,1.90%,-4.43%,-2.53%,1.90%,1.86%,MCAS
47,17-09-2025,805,815,790,790,612.200,483.638.000,0.00%,1.24%,-1.86%,-1.86%,1.24%,1.84%,MCAS
48,16-09-2025,830,835,800,805,837.800,674.429.000,0.00%,0.60%,-3.61%,-3.01%,0.60%,1.80%,MCAS
49,15-09-2025,875,900,820,830,1.737.800,1.442.374.000,0.57%,3.45%,-5.75%,-4.60%,2.86%,4.44%,MCAS
50,12-09-2025,980,1.010,860,870,3.101.800,2.698.566.000,0.51%,3.59%,-11.79%,-10.77%,3.06%,20.79%,MCAS
51,11-09-2025,800,975,800,975,3.933.100,3.834.772.500,2.56%,25.00%,2.56%,25.00%,21.88%,21.54%,MCAS
52,10-09-2025,770,815,765,780,241.200,188.136.000,-0.65%,5.16%,-1.29%,0.65%,5.84%,7.98%,MCAS
53,09-09-2025,820,820,750,775,243.100,188.402.500,0.00%,0.00%,-8.54%,-5.49%,0.00%,1.83%,MCAS
54,08-09-2025,835,840,805,820,172.100,141.122.000,0.00%,0.60%,-3.59%,-1.80%,0.60%,1.79%,MCAS
55,04-09-2025,840,840,825,835,68.400,57.114.000,0.00%,0.00%,-1.79%,-0.60%,0.00%,2.38%,MCAS
56,03-09-2025,845,855,820,840,212.000,178.080.000,1.81%,3.01%,-1.20%,1.20%,1.18%,2.92%,MCAS
57,02-09-2025,845,860,830,830,140.800,116.864.000,1.81%,3.61%,0.00%,0.00%,1.78%,3.49%,MCAS
58,01-09-2025,880,880,830,830,260.300,216.049.000,0.00%,0.00%,-5.68%,-5.68%,0.00%,0.57%,MCAS
59,29-08-2025,895,895,875,880,223.100,196.328.000,-0.56%,-0.56%,-2.78%,-2.22%,0.00%,0.00%,MCAS
60,28-08-2025,910,925,895,900,150.300,135.270.000,1.11%,2.78%,-0.56%,0.00%,1.65%,3.78%,MCAS
61,27-08-2025,925,925,890,900,361.600,325.440.000,0.00%,0.00%,-3.78%,-2.70%,0.00%,2.70%,MCAS
62,26-08-2025,950,950,900,925,409.900,379.157.500,-0.52%,-0.52%,-5.76%,-3.14%,0.00%,0.53%,MCAS
63,25-08-2025,980,980,945,955,143.000,136.565.000,0.51%,0.51%,-3.08%,-2.05%,0.00%,5.61%,MCAS
64,22-08-2025,940,995,925,975,61.400,59.865.000,0.53%,6.42%,-1.07%,4.28%,5.85%,6.03%,MCAS
65,21-08-2025,940,950,935,935,65.200,60.962.000,0.00%,1.06%,-0.53%,-0.53%,1.06%,1.58%,MCAS
66,20-08-2025,950,960,935,940,46.100,43.334.000,1.06%,2.13%,-0.53%,0.00%,1.05%,4.17%,MCAS
67,19-08-2025,955,975,920,940,143.200,134.608.000,-2.55%,-0.51%,-6.12%,-4.08%,2.09%,0.51%,MCAS
68,15-08-2025,995,995,970,980,49.200,48.216.000,0.00%,0.00%,-2.51%,-1.51%,0.00%,3.02%,MCAS
69,14-08-2025,980,1.000,965,995,54.400,54.128.000,0.00%,2.04%,-1.53%,1.53%,2.04%,5.50%,MCAS
70,13-08-2025,955,1.015,945,980,120.500,118.090.000,0.00%,6.28%,-1.05%,2.62%,6.28%,8.87%,MCAS
71,12-08-2025,950,970,925,955,74.600,71.243.000,0.53%,2.65%,-2.12%,1.06%,2.11%,3.09%,MCAS
72,11-08-2025,960,960,940,945,81.500,77.017.500,0.00%,0.00%,-2.08%,-1.56%,0.00%,1.56%,MCAS
73,08-08-2025,970,970,945,960,12.900,12.384.000,1.04%,1.04%,-1.56%,0.00%,0.00%,1.55%,MCAS
74,07-08-2025,960,980,955,960,78.300,75.168.000,0.52%,2.62%,0.00%,0.52%,2.08%,4.08%,MCAS
75,06-08-2025,945,1.025,940,955,157.500,150.412.500,0.00%,8.47%,-0.53%,1.06%,8.47%,12.20%,MCAS
76,05-08-2025,975,990,900,945,98.700,93.271.500,0.52%,2.06%,-7.22%,-2.58%,1.54%,6.57%,MCAS
77,04-08-2025,980,990,925,970,61.500,59.655.000,0.51%,1.54%,-5.13%,-0.51%,1.02%,4.04%,MCAS
78,01-08-2025,1.020,1.035,950,975,154.400,150.540.000,-0.49%,0.98%,-7.32%,-4.88%,1.47%,3.38%,MCAS
79,31-07-2025,1.025,1.035,1.000,1.025,18.500,18.962.500,-0.97%,0.00%,-3.38%,-0.97%,0.98%,3.38%,MCAS
80,30-07-2025,1.040,1.050,1.000,1.035,87.400,90.459.000,0.00%,0.96%,-3.85%,-0.48%,0.96%,1.90%,MCAS
81,29-07-2025,1.090,1.090,1.030,1.040,71.300,74.152.000,2.35%,2.35%,-3.29%,-2.35%,0.00%,5.05%,MCAS
82,28-07-2025,1.075,1.080,1.035,1.065,59.100,62.941.500,0.47%,0.93%,-3.27%,-0.47%,0.47%,1.85%,MCAS
83,25-07-2025,1.075,1.085,1.060,1.070,50.800,54.356.000,0.00%,0.93%,-1.40%,-0.47%,0.93%,1.84%,MCAS
84,24-07-2025,1.080,1.085,1.065,1.075,44.100,47.407.500,1.41%,1.88%,0.00%,0.94%,0.46%,2.30%,MCAS
85,23-07-2025,1.085,1.085,1.060,1.065,37.700,40.150.500,0.00%,0.00%,-2.30%,-1.84%,0.00%,0.46%,MCAS
