col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MCOL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MCOL
1,21-11-2025,3.830,3.840,3.800,3.800,22.400,85.120.000,-0.26%,0.00%,-1.04%,-1.04%,0.26%,1.56%,MCOL
2,20-11-2025,3.820,3.850,3.780,3.840,74.400,285.696.000,0.00%,0.79%,-1.05%,0.52%,0.79%,0.78%,MCOL
3,19-11-2025,3.840,3.880,3.820,3.820,47.000,179.540.000,0.26%,1.31%,-0.26%,-0.26%,1.04%,3.35%,MCOL
4,18-11-2025,3.760,3.840,3.750,3.830,13.200,50.556.000,-1.05%,1.05%,-1.32%,0.79%,2.13%,2.08%,MCOL
5,17-11-2025,3.800,3.800,3.760,3.800,3.600,13.680.000,1.06%,1.06%,0.00%,1.06%,0.00%,1.05%,MCOL
6,14-11-2025,3.820,3.820,3.760,3.760,19.200,72.192.000,-0.52%,-0.52%,-2.08%,-2.08%,0.00%,0.52%,MCOL
7,13-11-2025,3.840,3.840,3.800,3.840,4.700,18.048.000,0.00%,0.00%,-1.04%,0.00%,0.00%,1.30%,MCOL
8,12-11-2025,3.810,3.850,3.790,3.840,12.100,46.464.000,0.00%,1.05%,-0.52%,0.79%,1.05%,1.04%,MCOL
9,11-11-2025,3.850,3.850,3.810,3.810,11.400,43.434.000,0.26%,0.26%,-0.78%,-0.78%,0.00%,1.04%,MCOL
10,10-11-2025,3.850,3.850,3.810,3.840,21.100,81.024.000,0.00%,0.00%,-1.04%,-0.26%,0.00%,1.04%,MCOL
11,07-11-2025,3.810,3.850,3.810,3.850,31.700,122.045.000,0.00%,1.05%,0.00%,1.05%,1.05%,1.30%,MCOL
12,06-11-2025,3.860,3.860,3.800,3.810,9.200,35.052.000,0.52%,0.52%,-1.04%,-0.78%,0.00%,2.33%,MCOL
13,05-11-2025,3.820,3.840,3.770,3.840,11.500,44.160.000,-0.26%,0.26%,-1.57%,0.26%,0.52%,2.34%,MCOL
14,04-11-2025,3.820,3.850,3.750,3.830,12.300,47.109.000,0.53%,1.32%,-1.32%,0.79%,0.79%,1.82%,MCOL
15,03-11-2025,3.780,3.850,3.780,3.800,55.800,212.040.000,0.00%,1.85%,0.00%,0.53%,1.85%,2.08%,MCOL
16,31-10-2025,3.780,3.780,3.770,3.780,20.200,76.356.000,0.80%,0.80%,0.53%,0.80%,0.00%,1.06%,MCOL
17,30-10-2025,3.760,3.780,3.740,3.750,17.200,64.500.000,0.00%,0.53%,-0.53%,-0.27%,0.53%,2.12%,MCOL
18,29-10-2025,3.790,3.790,3.700,3.760,15.000,56.400.000,0.26%,0.26%,-2.12%,-0.53%,0.00%,1.58%,MCOL
19,28-10-2025,3.780,3.790,3.730,3.780,25.300,95.634.000,0.00%,0.26%,-1.32%,0.00%,0.26%,1.06%,MCOL
20,27-10-2025,3.800,3.860,3.750,3.780,22.900,86.562.000,0.00%,1.58%,-1.32%,-0.53%,1.58%,2.59%,MCOL
21,24-10-2025,3.790,3.850,3.760,3.800,25.200,95.760.000,0.53%,2.12%,-0.27%,0.80%,1.58%,3.38%,MCOL
22,23-10-2025,3.720,3.800,3.720,3.770,41.900,157.963.000,-0.27%,1.88%,-0.27%,1.07%,2.15%,3.95%,MCOL
23,22-10-2025,3.650,3.730,3.650,3.730,42.900,160.017.000,0.27%,2.47%,0.27%,2.47%,2.19%,3.49%,MCOL
24,21-10-2025,3.600,3.650,3.600,3.640,14.100,51.324.000,-0.55%,0.83%,-0.55%,0.55%,1.39%,2.19%,MCOL
25,20-10-2025,3.570,3.800,3.570,3.620,23.100,83.622.000,0.00%,6.44%,0.00%,1.40%,6.44%,8.68%,MCOL
26,17-10-2025,3.600,3.600,3.470,3.570,49.300,176.001.000,-0.28%,-0.28%,-3.88%,-1.11%,0.00%,1.11%,MCOL
27,16-10-2025,3.570,3.700,3.560,3.610,27.200,98.192.000,0.00%,3.64%,-0.28%,1.12%,3.64%,4.32%,MCOL
28,15-10-2025,3.600,3.600,3.540,3.570,28.100,100.317.000,0.00%,0.00%,-1.67%,-0.83%,0.00%,1.39%,MCOL
29,14-10-2025,3.610,3.630,3.550,3.600,27.100,97.560.000,0.00%,0.55%,-1.66%,-0.28%,0.55%,1.38%,MCOL
30,13-10-2025,3.660,3.660,3.580,3.610,74.600,269.306.000,0.00%,0.00%,-2.19%,-1.37%,0.00%,1.91%,MCOL
31,10-10-2025,3.660,3.700,3.590,3.660,76.400,279.624.000,0.00%,1.09%,-1.91%,0.00%,1.09%,1.62%,MCOL
32,09-10-2025,3.730,3.740,3.640,3.660,20.900,76.494.000,0.00%,0.27%,-2.41%,-1.88%,0.27%,2.14%,MCOL
33,08-10-2025,3.680,3.730,3.660,3.730,9.900,36.927.000,0.00%,1.36%,-0.54%,1.36%,1.36%,2.68%,MCOL
34,07-10-2025,3.690,3.690,3.630,3.680,30.700,112.976.000,0.00%,0.00%,-1.63%,-0.27%,0.00%,0.27%,MCOL
