col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MCOR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MCOR
1,21-11-2025,73,73,71,72,4.046.400,291.340.800,1.39%,1.39%,-1.39%,0.00%,0.00%,2.74%,MCOR
2,20-11-2025,72,73,71,72,1.829.900,131.752.800,0.00%,1.39%,-1.39%,0.00%,1.39%,2.74%,MCOR
3,19-11-2025,72,73,71,72,3.308.400,238.204.800,-1.37%,0.00%,-2.74%,-1.37%,1.39%,2.74%,MCOR
4,18-11-2025,73,73,71,73,2.562.700,187.077.100,1.39%,1.39%,-1.39%,1.39%,0.00%,2.74%,MCOR
5,17-11-2025,72,73,71,72,5.492.600,395.467.200,0.00%,1.39%,-1.39%,0.00%,1.39%,2.74%,MCOR
6,14-11-2025,73,73,71,72,3.825.800,275.457.600,0.00%,0.00%,-2.74%,-1.37%,0.00%,1.37%,MCOR
7,13-11-2025,73,74,72,73,5.682.100,414.793.300,0.00%,1.37%,-1.37%,0.00%,1.37%,5.41%,MCOR
8,12-11-2025,73,74,70,73,13.127.000,958.271.000,0.00%,1.37%,-4.11%,0.00%,1.37%,1.35%,MCOR
9,11-11-2025,74,74,73,73,2.278.800,166.352.400,0.00%,0.00%,-1.35%,-1.35%,0.00%,2.70%,MCOR
10,10-11-2025,73,74,72,74,1.771.700,131.105.800,0.00%,1.37%,-1.37%,1.37%,1.37%,2.70%,MCOR
11,07-11-2025,74,74,72,73,9.028.200,659.058.600,0.00%,0.00%,-2.70%,-1.35%,0.00%,2.70%,MCOR
12,06-11-2025,74,74,72,74,6.509.100,481.673.400,0.00%,0.00%,-2.70%,0.00%,0.00%,2.70%,MCOR
13,05-11-2025,74,74,72,74,1.392.900,103.074.600,1.37%,1.37%,-1.37%,1.37%,0.00%,2.70%,MCOR
14,04-11-2025,74,75,72,73,5.105.900,372.730.700,0.00%,1.35%,-2.70%,-1.35%,1.35%,2.67%,MCOR
15,03-11-2025,73,75,73,74,5.585.600,413.334.400,0.00%,2.74%,0.00%,1.37%,2.74%,4.00%,MCOR
16,31-10-2025,72,74,72,73,8.475.100,618.682.300,0.00%,2.78%,0.00%,1.39%,2.78%,2.70%,MCOR
17,30-10-2025,72,74,72,72,12.038.700,866.786.400,0.00%,2.78%,0.00%,0.00%,2.78%,4.05%,MCOR
18,29-10-2025,73,74,71,72,7.217.700,519.674.400,2.82%,4.23%,0.00%,1.41%,1.37%,5.41%,MCOR
19,28-10-2025,72,73,70,71,7.223.100,512.840.100,0.00%,1.39%,-2.78%,-1.39%,1.39%,4.11%,MCOR
20,27-10-2025,71,72,70,72,6.824.300,491.349.600,0.00%,1.41%,-1.41%,1.41%,1.41%,1.39%,MCOR
21,24-10-2025,72,72,71,71,1.950.100,138.457.100,0.00%,0.00%,-1.39%,-1.39%,0.00%,1.39%,MCOR
22,23-10-2025,71,72,71,72,3.928.000,282.816.000,0.00%,1.41%,0.00%,1.41%,1.41%,1.39%,MCOR
23,22-10-2025,72,74,71,71,5.173.500,367.318.500,0.00%,2.78%,-1.39%,-1.39%,2.78%,4.05%,MCOR
24,21-10-2025,72,73,71,72,2.874.400,206.956.800,0.00%,1.39%,-1.39%,0.00%,1.39%,4.11%,MCOR
25,20-10-2025,70,72,70,72,6.925.700,498.650.400,0.00%,2.86%,0.00%,2.86%,2.86%,2.78%,MCOR
26,17-10-2025,71,72,70,70,4.469.100,312.837.000,0.00%,1.41%,-1.41%,-1.41%,1.41%,2.78%,MCOR
27,16-10-2025,70,72,70,71,2.339.300,166.090.300,0.00%,2.86%,0.00%,1.43%,2.86%,2.78%,MCOR
