col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MDIA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MDIA
1,21-11-2025,31,32,31,32,1.150.900,36.828.800,-3.13%,0.00%,-3.13%,0.00%,3.23%,3.13%,MDIA
2,20-11-2025,32,32,31,32,3.060.700,97.942.400,3.23%,3.23%,0.00%,3.23%,0.00%,3.13%,MDIA
3,19-11-2025,33,33,31,31,20.552.300,637.121.300,0.00%,0.00%,-6.06%,-6.06%,0.00%,3.03%,MDIA
4,18-11-2025,32,34,32,33,643.800,21.245.400,0.00%,6.25%,0.00%,3.13%,6.25%,8.82%,MDIA
5,17-11-2025,32,32,31,32,6.430.200,205.766.400,-5.88%,-5.88%,-8.82%,-5.88%,0.00%,-6.25%,MDIA
6,14-11-2025,35,35,34,34,375.300,12.760.200,0.00%,0.00%,-2.86%,-2.86%,0.00%,0.00%,MDIA
7,13-11-2025,37,37,35,35,1.538.000,53.830.000,2.78%,2.78%,-2.78%,-2.78%,0.00%,5.41%,MDIA
8,12-11-2025,35,37,35,36,2.255.400,81.194.400,2.94%,8.82%,2.94%,5.88%,5.71%,13.51%,MDIA
9,11-11-2025,33,34,32,34,1.861.900,63.304.600,0.00%,3.03%,-3.03%,3.03%,3.03%,5.88%,MDIA
10,10-11-2025,32,33,32,33,768.200,25.350.600,-3.03%,0.00%,-3.03%,0.00%,3.13%,3.03%,MDIA
11,07-11-2025,32,33,32,33,469.400,15.490.200,-3.03%,0.00%,-3.03%,0.00%,3.13%,3.03%,MDIA
12,06-11-2025,32,33,32,33,892.000,29.436.000,-3.03%,0.00%,-3.03%,0.00%,3.13%,6.06%,MDIA
13,05-11-2025,31,33,31,33,829.700,27.380.100,-6.06%,0.00%,-6.06%,0.00%,6.45%,3.03%,MDIA
14,04-11-2025,33,33,32,33,879.400,29.020.200,0.00%,0.00%,-3.03%,0.00%,0.00%,6.06%,MDIA
15,03-11-2025,36,36,31,33,1.242.800,41.012.400,5.88%,5.88%,-8.82%,-2.94%,0.00%,8.33%,MDIA
16,31-10-2025,35,35,33,34,1.469.300,49.956.200,0.00%,0.00%,-5.71%,-2.86%,0.00%,0.00%,MDIA
17,30-10-2025,35,36,35,35,925.500,32.392.500,2.94%,5.88%,2.94%,2.94%,2.86%,8.33%,MDIA
18,29-10-2025,34,34,33,34,1.101.700,37.457.800,0.00%,0.00%,-2.94%,0.00%,0.00%,2.94%,MDIA
19,28-10-2025,33,34,33,34,4.205.600,142.990.400,0.00%,3.03%,0.00%,3.03%,3.03%,2.94%,MDIA
20,27-10-2025,33,34,33,33,3.216.400,106.141.200,-2.94%,0.00%,-2.94%,-2.94%,3.03%,0.00%,MDIA
21,24-10-2025,34,34,34,34,1.107.100,37.641.400,-2.86%,-2.86%,-2.86%,-2.86%,0.00%,0.00%,MDIA
22,23-10-2025,34,36,34,35,6.068.200,212.387.000,3.03%,9.09%,3.03%,6.06%,5.88%,8.33%,MDIA
23,22-10-2025,35,35,33,33,1.651.400,54.496.200,6.06%,6.06%,0.00%,0.00%,0.00%,5.71%,MDIA
24,21-10-2025,33,33,33,33,2.314.900,76.391.700,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MDIA
25,20-10-2025,34,34,33,33,1.898.900,62.663.700,0.00%,0.00%,-2.94%,-2.94%,0.00%,0.00%,MDIA
26,17-10-2025,35,35,34,34,1.765.400,60.023.600,0.00%,0.00%,-2.86%,-2.86%,0.00%,0.00%,MDIA
27,16-10-2025,35,35,35,35,1.557.500,54.512.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MDIA
28,15-10-2025,35,35,35,35,4.445.200,155.582.000,-7.89%,-7.89%,-7.89%,-7.89%,0.00%,-8.57%,MDIA
29,14-10-2025,40,40,38,38,2.773.300,105.385.400,-4.76%,-4.76%,-9.52%,-9.52%,0.00%,-5.00%,MDIA
30,13-10-2025,46,46,42,42,6.452.500,271.005.000,9.52%,9.52%,0.00%,0.00%,0.00%,8.70%,MDIA
31,10-10-2025,42,42,42,42,4.521.900,189.919.800,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,MDIA
32,09-10-2025,39,39,39,39,3.723.800,145.228.200,8.33%,8.33%,8.33%,8.33%,0.00%,7.69%,MDIA
33,08-10-2025,37,37,36,36,7.131.900,256.748.400,8.82%,8.82%,5.88%,5.88%,0.00%,10.81%,MDIA
34,07-10-2025,33,34,33,34,6.392.000,217.328.000,0.00%,3.03%,0.00%,3.03%,3.03%,2.94%,MDIA
35,06-10-2025,33,33,33,33,21.208.600,699.883.800,-8.33%,-8.33%,-8.33%,-8.33%,0.00%,-9.09%,MDIA
36,03-10-2025,36,36,36,36,5.016.000,180.576.000,-7.69%,-7.69%,-7.69%,-7.69%,0.00%,-5.56%,MDIA
37,02-10-2025,39,39,38,39,5.546.100,216.297.900,-7.14%,-7.14%,-9.52%,-7.14%,0.00%,-7.69%,MDIA
38,01-10-2025,44,44,42,42,3.679.500,154.539.000,-2.22%,-2.22%,-6.67%,-6.67%,0.00%,13.64%,MDIA
39,30-09-2025,38,45,38,45,25.067.500,1.128.037.500,-9.52%,7.14%,-9.52%,7.14%,18.42%,6.67%,MDIA
40,29-09-2025,42,42,42,42,4.886.700,205.241.400,-8.70%,-8.70%,-8.70%,-8.70%,0.00%,-9.52%,MDIA
41,26-09-2025,46,46,46,46,7.550.500,347.323.000,-9.80%,-9.80%,-9.80%,-9.80%,0.00%,-10.87%,MDIA
42,25-09-2025,59,59,51,51,13.007.300,663.372.300,5.36%,5.36%,-8.93%,-8.93%,0.00%,5.08%,MDIA
43,24-09-2025,56,56,56,56,33.166.200,1.857.307.200,9.80%,9.80%,9.80%,9.80%,0.00%,8.93%,MDIA
44,23-09-2025,51,51,51,51,23.208.300,1.183.623.300,8.51%,8.51%,8.51%,8.51%,0.00%,7.84%,MDIA
45,22-09-2025,47,47,47,47,35.510.200,1.668.979.400,9.30%,9.30%,9.30%,9.30%,0.00%,10.64%,MDIA
46,19-09-2025,42,44,42,43,5.679.500,244.218.500,0.00%,4.76%,0.00%,2.38%,4.76%,6.82%,MDIA
47,18-09-2025,42,42,41,42,2.617.600,109.939.200,2.44%,2.44%,0.00%,2.44%,0.00%,2.38%,MDIA
48,17-09-2025,42,42,41,41,2.201.000,90.241.000,0.00%,0.00%,-2.38%,-2.38%,0.00%,2.38%,MDIA
49,16-09-2025,41,44,41,42,8.208.900,344.773.800,2.50%,10.00%,2.50%,5.00%,7.32%,9.09%,MDIA
50,15-09-2025,40,40,40,40,11.567.100,462.684.000,8.11%,8.11%,8.11%,8.11%,0.00%,7.50%,MDIA
51,12-09-2025,38,38,37,37,1.718.300,63.577.100,-2.56%,-2.56%,-5.13%,-5.13%,0.00%,2.63%,MDIA
52,11-09-2025,39,39,37,39,1.111.500,43.348.500,0.00%,0.00%,-5.13%,0.00%,0.00%,2.56%,MDIA
53,10-09-2025,41,41,38,39,2.368.800,92.383.200,0.00%,0.00%,-7.32%,-4.88%,0.00%,2.44%,MDIA
54,09-09-2025,44,44,40,41,14.592.800,598.304.800,10.00%,10.00%,0.00%,2.50%,0.00%,9.09%,MDIA
55,08-09-2025,40,40,40,40,7.798.100,311.924.000,8.11%,8.11%,8.11%,8.11%,0.00%,7.50%,MDIA
