col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MEDC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MEDC
1,21-11-2025,1.285,1.285,1.240,1.265,33.200.600,41.998.759.000,0.00%,0.00%,-3.50%,-1.56%,0.00%,1.17%,MEDC
2,20-11-2025,1.275,1.295,1.270,1.285,26.097.000,33.534.645.000,0.39%,1.97%,0.00%,1.18%,1.57%,3.47%,MEDC
3,19-11-2025,1.260,1.280,1.250,1.270,25.725.700,32.671.639.000,0.00%,1.59%,-0.79%,0.79%,1.59%,2.73%,MEDC
4,18-11-2025,1.290,1.290,1.245,1.260,44.713.300,56.338.758.000,0.00%,0.00%,-3.49%,-2.33%,0.00%,0.39%,MEDC
5,17-11-2025,1.305,1.310,1.285,1.290,21.213.200,27.365.028.000,0.77%,1.16%,-0.77%,-0.39%,0.38%,3.05%,MEDC
6,14-11-2025,1.285,1.300,1.270,1.295,26.069.000,33.759.355.000,0.00%,1.17%,-1.17%,0.78%,1.17%,2.69%,MEDC
7,13-11-2025,1.270,1.310,1.265,1.285,56.714.000,72.877.490.000,-0.78%,2.34%,-1.17%,0.39%,3.15%,3.44%,MEDC
8,12-11-2025,1.275,1.300,1.265,1.280,37.865.200,48.467.456.000,0.00%,1.96%,-0.78%,0.39%,1.96%,3.08%,MEDC
9,11-11-2025,1.305,1.305,1.260,1.275,67.075.200,85.520.880.000,-0.76%,-0.76%,-4.18%,-3.04%,0.00%,-0.38%,MEDC
10,10-11-2025,1.330,1.335,1.310,1.315,34.450.000,45.301.750.000,0.76%,1.14%,-0.76%,-0.38%,0.38%,1.87%,MEDC
11,07-11-2025,1.320,1.330,1.310,1.320,25.869.100,34.147.212.000,-0.75%,0.00%,-1.50%,-0.75%,0.76%,1.50%,MEDC
12,06-11-2025,1.330,1.335,1.310,1.330,24.875.500,33.084.415.000,-0.75%,-0.37%,-2.24%,-0.75%,0.38%,0.37%,MEDC
13,05-11-2025,1.365,1.365,1.330,1.340,34.003.500,45.564.690.000,-1.09%,-1.09%,-3.62%,-2.90%,0.00%,1.47%,MEDC
14,04-11-2025,1.345,1.385,1.345,1.380,52.743.400,72.785.892.000,0.37%,3.36%,0.37%,2.99%,2.97%,4.69%,MEDC
15,03-11-2025,1.340,1.360,1.320,1.340,35.495.000,47.563.300.000,0.75%,2.26%,-0.75%,0.75%,1.49%,4.04%,MEDC
16,31-10-2025,1.330,1.335,1.305,1.330,39.291.300,52.257.429.000,-0.37%,0.00%,-2.25%,-0.37%,0.38%,1.12%,MEDC
17,30-10-2025,1.320,1.355,1.320,1.335,35.514.700,47.412.124.500,0.76%,3.44%,0.76%,1.91%,2.65%,4.06%,MEDC
18,29-10-2025,1.310,1.325,1.300,1.310,33.148.900,43.425.059.000,0.00%,1.15%,-0.76%,0.00%,1.15%,1.89%,MEDC
19,28-10-2025,1.330,1.340,1.300,1.310,29.685.500,38.888.005.000,0.00%,0.75%,-2.26%,-1.50%,0.75%,3.36%,MEDC
20,27-10-2025,1.375,1.380,1.295,1.330,64.215.600,85.406.748.000,0.00%,0.36%,-5.82%,-3.27%,0.36%,1.45%,MEDC
21,24-10-2025,1.445,1.445,1.360,1.375,67.833.200,93.270.650.000,1.05%,1.05%,-4.90%,-3.85%,0.00%,3.46%,MEDC
22,23-10-2025,1.415,1.435,1.395,1.430,69.748.600,99.740.498.000,1.80%,3.24%,0.36%,2.88%,1.41%,4.18%,MEDC
23,22-10-2025,1.400,1.415,1.375,1.390,30.815.800,42.833.962.000,0.00%,1.07%,-1.79%,-0.71%,1.07%,3.53%,MEDC
24,21-10-2025,1.380,1.410,1.365,1.400,32.949.200,46.128.880.000,0.73%,2.92%,-0.36%,2.19%,2.17%,5.67%,MEDC
25,20-10-2025,1.350,1.380,1.330,1.370,36.794.700,50.408.739.000,0.37%,2.60%,-1.12%,1.86%,2.22%,4.35%,MEDC
