col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MEJA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MEJA
1,21-11-2025,116,126,113,126,111.426.100,14.039.688.600,0.87%,9.57%,-1.74%,9.57%,8.62%,14.29%,MEJA
2,20-11-2025,119,122,108,115,105.341.900,12.114.318.500,0.00%,2.52%,-9.24%,-3.36%,2.52%,4.92%,MEJA
3,19-11-2025,140,140,116,119,102.913.500,12.246.706.500,9.38%,9.38%,-9.38%,-7.03%,0.00%,8.57%,MEJA
4,18-11-2025,128,128,128,128,14.730.500,1.885.504.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MEJA
5,17-11-2025,129,129,128,128,15.437.900,1.976.051.200,-0.77%,-0.77%,-1.54%,-1.54%,0.00%,-0.78%,MEJA
6,14-11-2025,131,131,130,130,51.365.600,6.677.528.000,0.77%,0.77%,0.00%,0.00%,0.00%,0.76%,MEJA
7,13-11-2025,130,130,130,130,37.800.400,4.914.052.000,9.24%,9.24%,9.24%,9.24%,0.00%,8.46%,MEJA
8,12-11-2025,119,119,119,119,14.799.400,1.761.128.600,-9.85%,-9.85%,-9.85%,-9.85%,0.00%,-10.92%,MEJA
9,11-11-2025,132,132,132,132,4.347.400,573.856.800,-9.59%,-9.59%,-9.59%,-9.59%,0.00%,-10.61%,MEJA
10,10-11-2025,146,146,146,146,23.184.900,3.384.995.400,-9.88%,-9.88%,-9.88%,-9.88%,0.00%,-10.96%,MEJA
11,07-11-2025,162,162,162,162,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MEJA
12,06-11-2025,162,162,162,162,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MEJA
13,05-11-2025,162,162,162,162,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MEJA
14,04-11-2025,162,162,162,162,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MEJA
15,03-11-2025,162,162,162,162,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MEJA
16,31-10-2025,162,162,162,162,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MEJA
17,30-10-2025,162,162,162,162,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MEJA
