col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MENN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MENN
1,21-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
2,20-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
3,19-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
4,18-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
5,17-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
6,14-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
7,13-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
8,12-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
9,11-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
10,10-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
11,07-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
12,06-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
13,05-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
14,04-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
15,03-11-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
16,31-10-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
17,30-10-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MENN
18,29-10-2025,53,53,53,53,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,1.89%,MENN
19,28-10-2025,53,54,52,53,5.178.500,274.460.500,0.00%,1.89%,-1.89%,0.00%,1.89%,5.56%,MENN
20,27-10-2025,52,59,51,53,24.754.600,1.311.993.800,-3.70%,9.26%,-5.56%,-1.85%,13.46%,11.86%,MENN
21,24-10-2025,53,55,52,54,14.543.800,785.365.200,0.00%,3.77%,-1.89%,1.89%,3.77%,7.27%,MENN
22,23-10-2025,53,53,51,53,10.754.700,569.999.100,1.92%,1.92%,-1.92%,1.92%,0.00%,3.77%,MENN
23,22-10-2025,52,54,51,52,8.771.900,456.138.800,0.00%,3.85%,-1.92%,0.00%,3.85%,7.41%,MENN
24,21-10-2025,52,54,50,52,13.068.500,679.562.000,0.00%,3.85%,-3.85%,0.00%,3.85%,7.41%,MENN
25,20-10-2025,50,54,50,52,11.916.700,619.668.400,0.00%,8.00%,0.00%,4.00%,8.00%,7.41%,MENN
26,17-10-2025,52,54,50,50,15.784.700,789.235.000,0.00%,3.85%,-3.85%,-3.85%,3.85%,7.41%,MENN
27,16-10-2025,53,54,50,52,12.376.800,643.593.600,1.92%,3.85%,-3.85%,0.00%,1.89%,7.41%,MENN
