col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MERK
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MERK
1,21-11-2025,3.110,3.150,3.040,3.040,41.800,127.072.000,0.32%,1.61%,-1.94%,-1.94%,1.29%,2.86%,MERK
2,20-11-2025,3.100,3.110,3.060,3.100,58.200,180.420.000,0.00%,0.32%,-1.29%,0.00%,0.32%,1.93%,MERK
3,19-11-2025,3.100,3.100,3.050,3.100,5.000,15.500.000,0.00%,0.00%,-1.61%,0.00%,0.00%,1.29%,MERK
4,18-11-2025,3.080,3.160,3.060,3.100,11.200,34.720.000,0.00%,2.60%,-0.65%,0.65%,2.60%,3.48%,MERK
5,17-11-2025,3.050,3.090,3.050,3.080,33.200,102.256.000,-1.29%,0.00%,-1.29%,-0.32%,1.31%,0.97%,MERK
6,14-11-2025,3.060,3.100,3.060,3.090,15.000,46.350.000,-0.65%,0.65%,-0.65%,0.32%,1.31%,0.65%,MERK
7,13-11-2025,3.090,3.150,3.080,3.080,35.700,109.956.000,0.00%,1.94%,-0.32%,-0.32%,1.94%,2.22%,MERK
8,12-11-2025,3.110,3.110,3.080,3.090,33.200,102.588.000,0.00%,0.00%,-0.96%,-0.64%,0.00%,0.32%,MERK
9,11-11-2025,3.110,3.120,3.100,3.110,41.800,129.998.000,0.00%,0.32%,-0.32%,0.00%,0.32%,2.56%,MERK
10,10-11-2025,3.100,3.110,3.040,3.110,90.800,282.388.000,0.00%,0.32%,-1.94%,0.32%,0.32%,1.61%,MERK
11,07-11-2025,3.100,3.120,3.060,3.100,131.700,408.270.000,0.00%,0.65%,-1.29%,0.00%,0.65%,1.92%,MERK
12,06-11-2025,3.080,3.110,3.060,3.100,53.000,164.300.000,0.65%,1.63%,0.00%,1.31%,0.97%,2.89%,MERK
13,05-11-2025,3.030,3.080,3.020,3.060,43.700,133.722.000,0.00%,1.65%,-0.33%,0.99%,1.65%,3.90%,MERK
14,04-11-2025,3.110,3.110,2.960,3.030,109.000,330.270.000,0.00%,0.00%,-4.82%,-2.57%,0.00%,1.29%,MERK
15,03-11-2025,3.070,3.200,3.070,3.110,539.600,1.678.156.000,7.34%,11.89%,7.34%,8.74%,4.23%,12.50%,MERK
16,31-10-2025,2.870,2.870,2.800,2.860,19.000,54.340.000,0.00%,0.00%,-2.44%,-0.35%,0.00%,2.44%,MERK
17,30-10-2025,2.870,2.870,2.800,2.870,76.000,218.120.000,0.00%,0.00%,-2.44%,0.00%,0.00%,1.74%,MERK
18,29-10-2025,2.840,2.890,2.820,2.870,23.700,68.019.000,1.07%,2.85%,0.36%,2.14%,1.76%,2.77%,MERK
19,28-10-2025,2.870,2.870,2.810,2.810,47.000,132.070.000,0.00%,0.00%,-2.09%,-2.09%,0.00%,0.70%,MERK
20,27-10-2025,2.920,2.920,2.850,2.870,34.800,99.876.000,2.10%,2.10%,-0.35%,0.35%,0.00%,3.08%,MERK
21,24-10-2025,2.850,2.900,2.830,2.860,19.800,56.628.000,0.00%,1.75%,-0.70%,0.35%,1.75%,2.76%,MERK
22,23-10-2025,2.840,2.870,2.820,2.850,36.300,103.455.000,1.07%,2.14%,0.36%,1.42%,1.06%,2.09%,MERK
23,22-10-2025,2.820,2.850,2.810,2.810,26.700,75.027.000,0.36%,1.42%,0.00%,0.00%,1.06%,3.16%,MERK
24,21-10-2025,2.800,2.840,2.760,2.810,24.500,68.845.000,0.00%,1.43%,-1.43%,0.36%,1.43%,1.76%,MERK
25,20-10-2025,2.800,2.800,2.790,2.800,12.200,34.160.000,0.00%,0.00%,-0.36%,0.00%,0.00%,0.00%,MERK
26,17-10-2025,2.890,2.890,2.800,2.800,14.500,40.600.000,1.76%,1.76%,-1.41%,-1.41%,0.00%,3.46%,MERK
27,16-10-2025,2.830,2.840,2.790,2.840,42.400,120.416.000,0.35%,0.71%,-1.06%,0.71%,0.35%,1.41%,MERK
28,15-10-2025,2.820,2.830,2.800,2.820,6.800,19.176.000,-0.70%,-0.35%,-1.41%,-0.70%,0.35%,1.06%,MERK
29,14-10-2025,2.830,2.850,2.800,2.840,47.600,135.184.000,0.00%,0.71%,-1.06%,0.35%,0.71%,1.75%,MERK
30,13-10-2025,2.810,2.840,2.800,2.830,5.000,14.150.000,0.00%,1.07%,-0.36%,0.71%,1.07%,2.11%,MERK
31,10-10-2025,2.820,2.820,2.780,2.810,34.100,95.821.000,1.08%,1.08%,-0.36%,0.72%,0.00%,2.48%,MERK
32,09-10-2025,2.800,2.870,2.750,2.790,18.300,51.057.000,0.00%,2.50%,-1.79%,-0.36%,2.50%,2.79%,MERK
33,08-10-2025,2.820,2.820,2.790,2.800,25.700,71.960.000,0.00%,0.00%,-1.06%,-0.71%,0.00%,0.00%,MERK
34,07-10-2025,2.860,2.860,2.820,2.820,4.300,12.126.000,0.00%,0.00%,-1.40%,-1.40%,0.00%,1.40%,MERK
35,06-10-2025,2.840,2.870,2.820,2.860,15.000,42.900.000,0.00%,1.06%,-0.70%,0.70%,1.06%,2.79%,MERK
