col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MFIN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MFIN
1,21-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
2,20-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
3,19-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
4,18-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
5,17-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
6,14-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
7,13-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
8,12-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
9,11-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
10,10-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
11,07-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
12,06-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
13,05-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
14,04-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
15,03-11-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
16,31-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
17,30-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
18,29-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
19,28-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
20,27-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
21,24-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
22,23-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
23,22-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
24,21-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
25,20-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
26,17-10-2025,890,890,890,890,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFIN
