col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MFMI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MFMI
1,21-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
2,20-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
3,19-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
4,18-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
5,17-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
6,14-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,MFMI
7,12-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
8,11-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
9,10-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
10,07-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
11,06-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
12,05-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
13,04-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
14,03-11-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
15,31-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
16,30-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
17,29-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
18,28-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
19,27-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
20,24-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
21,23-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
22,22-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
23,21-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
24,20-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
25,17-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
26,16-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
27,15-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
28,14-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
29,13-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
30,10-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
31,09-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
32,08-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
33,07-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
34,06-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
35,03-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
36,02-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
37,01-10-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
38,30-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
39,29-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
40,26-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
41,25-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
42,24-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
43,23-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
44,22-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
45,19-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
46,18-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
47,17-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
48,16-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
49,15-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
50,12-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
51,11-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
52,10-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
53,09-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
54,08-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
55,04-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
56,03-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
57,02-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
58,01-09-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
59,29-08-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
60,28-08-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
61,27-08-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
62,26-08-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
63,25-08-2025,1.300,1.300,1.300,1.300,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MFMI
