col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MIDI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MIDI
1,21-11-2025,394,396,390,392,7.719.300,3.025.965.600,0.51%,1.02%,-0.51%,0.00%,0.51%,1.52%,MIDI
2,20-11-2025,400,400,390,392,8.279.300,3.245.485.600,1.52%,1.52%,-1.02%,-0.51%,0.00%,3.00%,MIDI
3,19-11-2025,394,398,388,394,149.303.500,58.825.579.000,0.51%,1.53%,-1.02%,0.51%,1.02%,2.01%,MIDI
4,18-11-2025,394,400,390,392,35.040.400,13.735.836.800,0.00%,1.52%,-1.02%,-0.51%,1.52%,3.50%,MIDI
5,17-11-2025,402,404,386,394,20.310.100,8.002.179.400,-0.50%,0.00%,-4.46%,-2.48%,0.50%,0.99%,MIDI
6,14-11-2025,406,406,400,404,6.849.900,2.767.359.600,0.50%,0.50%,-0.99%,0.00%,0.00%,1.48%,MIDI
7,13-11-2025,412,416,400,404,15.302.300,6.182.129.200,0.00%,0.97%,-2.91%,-1.94%,0.97%,1.92%,MIDI
8,12-11-2025,408,416,408,412,15.010.800,6.184.449.600,0.00%,1.96%,0.00%,0.98%,1.96%,2.88%,MIDI
9,11-11-2025,406,408,404,408,6.826.200,2.785.089.600,0.00%,0.49%,-0.49%,0.49%,0.49%,1.47%,MIDI
10,10-11-2025,408,408,402,406,6.218.100,2.524.548.600,0.49%,0.49%,-0.99%,0.00%,0.00%,0.98%,MIDI
11,07-11-2025,410,412,404,406,10.491.000,4.259.346.000,0.00%,0.49%,-1.46%,-0.98%,0.49%,1.94%,MIDI
12,06-11-2025,404,416,404,410,21.076.300,8.641.283.000,0.00%,2.97%,0.00%,1.49%,2.97%,3.37%,MIDI
13,05-11-2025,410,410,402,404,8.083.900,3.265.895.600,0.00%,0.00%,-1.95%,-1.46%,0.00%,2.44%,MIDI
14,04-11-2025,404,412,400,410,11.285.800,4.627.178.000,0.00%,1.98%,-0.99%,1.49%,1.98%,2.43%,MIDI
15,03-11-2025,412,414,402,404,14.808.800,5.982.755.200,-0.48%,0.00%,-2.90%,-2.42%,0.49%,2.90%,MIDI
16,31-10-2025,414,416,402,414,24.018.600,9.943.700.400,-0.48%,0.00%,-3.37%,-0.48%,0.48%,1.44%,MIDI
17,30-10-2025,418,420,410,416,12.040.400,5.008.806.400,0.00%,0.48%,-1.91%,-0.48%,0.48%,3.33%,MIDI
18,29-10-2025,410,424,406,418,13.647.600,5.704.696.800,0.00%,3.41%,-0.98%,1.95%,3.41%,5.66%,MIDI
19,28-10-2025,418,418,400,410,19.194.200,7.869.622.000,0.48%,0.48%,-3.85%,-1.44%,0.00%,1.91%,MIDI
20,27-10-2025,418,428,410,416,4.794.000,1.994.304.000,0.48%,2.88%,-1.44%,0.00%,2.39%,3.27%,MIDI
21,24-10-2025,422,428,414,416,13.230.700,5.503.971.200,0.48%,1.90%,-1.43%,-0.95%,1.42%,1.87%,MIDI
22,23-10-2025,422,430,420,420,4.768.800,2.002.896.000,-0.47%,1.42%,-0.94%,-0.94%,1.90%,2.79%,MIDI
23,22-10-2025,430,436,418,424,10.783.600,4.572.246.400,0.00%,1.40%,-2.79%,-1.40%,1.40%,2.75%,MIDI
24,21-10-2025,444,444,424,430,10.041.800,4.317.974.000,0.00%,0.00%,-4.50%,-3.15%,0.00%,4.05%,MIDI
25,20-10-2025,426,450,426,444,17.388.800,7.720.627.200,0.47%,6.13%,0.47%,4.72%,5.63%,7.56%,MIDI
26,17-10-2025,424,430,416,424,6.748.700,2.861.448.800,0.00%,1.42%,-1.89%,0.00%,1.42%,4.19%,MIDI
27,16-10-2025,418,428,412,424,5.750.500,2.438.212.000,0.00%,2.39%,-1.44%,1.44%,2.39%,4.67%,MIDI
28,15-10-2025,420,420,408,418,4.156.000,1.737.208.000,0.00%,0.00%,-2.86%,-0.48%,0.00%,1.90%,MIDI
29,14-10-2025,420,422,412,420,5.956.000,2.501.520.000,0.96%,1.44%,-0.96%,0.96%,0.48%,4.74%,MIDI
30,13-10-2025,406,424,402,416,5.039.100,2.096.265.600,-0.49%,3.92%,-1.47%,1.96%,4.43%,5.66%,MIDI
31,10-10-2025,408,412,400,408,3.310.100,1.350.520.800,0.49%,1.48%,-1.48%,0.49%,0.98%,2.43%,MIDI
32,09-10-2025,410,414,402,406,3.914.500,1.589.287.000,0.00%,0.98%,-1.95%,-0.98%,0.98%,2.42%,MIDI
33,08-10-2025,418,418,404,410,12.379.800,5.075.718.000,0.00%,0.00%,-3.35%,-1.91%,0.00%,0.96%,MIDI
34,07-10-2025,420,420,414,418,6.794.500,2.840.101.000,0.00%,0.00%,-1.43%,-0.48%,0.00%,1.43%,MIDI
35,06-10-2025,428,430,414,420,13.774.900,5.785.458.000,0.00%,0.47%,-3.27%,-1.87%,0.47%,3.26%,MIDI
36,03-10-2025,420,430,416,428,4.396.800,1.881.830.400,0.00%,2.38%,-0.95%,1.90%,2.38%,3.72%,MIDI
37,02-10-2025,414,422,414,420,1.791.900,752.598.000,0.00%,1.93%,0.00%,1.45%,1.93%,2.37%,MIDI
38,01-10-2025,432,432,412,414,13.490.300,5.584.984.200,-0.46%,-0.46%,-5.07%,-4.61%,0.00%,1.85%,MIDI
39,30-09-2025,424,438,424,434,22.143.100,9.610.105.400,0.47%,3.79%,0.47%,2.84%,3.30%,4.57%,MIDI
40,29-09-2025,436,438,418,422,24.152.300,10.192.270.600,0.00%,0.46%,-4.13%,-3.21%,0.46%,0.91%,MIDI
41,26-09-2025,434,440,434,436,1.562.300,681.162.800,0.46%,1.85%,0.46%,0.93%,1.38%,2.27%,MIDI
42,25-09-2025,440,444,430,432,12.019.400,5.192.380.800,0.00%,0.91%,-2.27%,-1.82%,0.91%,1.35%,MIDI
43,24-09-2025,452,454,438,440,11.538.500,5.076.940.000,0.00%,0.44%,-3.10%,-2.65%,0.44%,1.76%,MIDI
44,23-09-2025,446,454,446,452,3.133.400,1.416.296.800,0.00%,1.79%,0.00%,1.35%,1.79%,2.20%,MIDI
45,22-09-2025,448,454,444,446,9.282.600,4.140.039.600,0.45%,1.79%,-0.45%,0.00%,1.34%,2.20%,MIDI
46,19-09-2025,462,462,444,446,11.328.900,5.052.689.400,0.43%,0.43%,-3.48%,-3.04%,0.00%,0.87%,MIDI
47,18-09-2025,464,468,458,460,7.726.200,3.554.052.000,0.00%,0.86%,-1.29%,-0.86%,0.86%,2.99%,MIDI
48,17-09-2025,454,468,454,464,14.361.900,6.663.921.600,0.44%,3.54%,0.44%,2.65%,3.08%,5.13%,MIDI
49,16-09-2025,448,452,444,452,4.992.100,2.256.429.200,0.00%,0.89%,-0.89%,0.89%,0.89%,1.33%,MIDI
50,15-09-2025,450,454,446,448,5.267.800,2.359.974.400,0.45%,1.34%,-0.45%,0.00%,0.89%,1.32%,MIDI
51,12-09-2025,452,454,448,448,21.315.400,9.549.299.200,0.00%,0.44%,-0.88%,-0.88%,0.44%,0.88%,MIDI
52,11-09-2025,456,458,450,452,37.930.400,17.144.540.800,0.00%,0.44%,-1.32%,-0.88%,0.44%,2.18%,MIDI
53,10-09-2025,452,462,448,456,25.220.500,11.500.548.000,0.00%,2.21%,-0.88%,0.88%,2.21%,3.90%,MIDI
54,09-09-2025,450,454,444,452,2.918.800,1.319.297.600,0.00%,0.89%,-1.33%,0.44%,0.89%,3.08%,MIDI
55,08-09-2025,440,456,440,450,13.107.300,5.898.285.000,0.00%,3.64%,0.00%,2.27%,3.64%,4.39%,MIDI
56,04-09-2025,450,454,436,440,4.853.600,2.135.584.000,0.00%,0.89%,-3.11%,-2.22%,0.89%,2.64%,MIDI
57,03-09-2025,442,454,442,450,4.042.400,1.819.080.000,0.00%,2.71%,0.00%,1.81%,2.71%,4.41%,MIDI
58,02-09-2025,436,450,434,442,9.469.900,4.185.695.800,0.46%,3.69%,0.00%,1.84%,3.21%,4.89%,MIDI
59,01-09-2025,442,444,428,434,15.591.800,6.766.841.200,-1.34%,-0.89%,-4.46%,-3.13%,0.45%,0.00%,MIDI
60,29-08-2025,458,464,444,448,20.703.500,9.275.168.000,0.00%,1.31%,-3.06%,-2.18%,1.31%,1.72%,MIDI
61,28-08-2025,462,466,456,458,9.247.100,4.235.171.800,0.43%,1.30%,-0.87%,-0.43%,0.87%,1.72%,MIDI
62,27-08-2025,464,468,458,460,4.537.900,2.087.434.000,0.43%,1.30%,-0.87%,-0.43%,0.86%,2.56%,MIDI
63,26-08-2025,466,470,456,462,13.491.600,6.233.119.200,0.00%,0.86%,-2.15%,-0.86%,0.86%,1.28%,MIDI
64,25-08-2025,470,486,464,466,30.257.600,14.100.041.600,0.00%,3.40%,-1.28%,-0.85%,3.40%,3.70%,MIDI
65,22-08-2025,478,484,468,470,20.399.500,9.587.765.000,0.00%,1.26%,-2.09%,-1.67%,1.26%,3.72%,MIDI
66,21-08-2025,472,482,466,478,24.581.500,11.749.957.000,0.85%,2.99%,-0.43%,2.14%,2.12%,4.98%,MIDI
67,20-08-2025,464,472,458,468,7.213.100,3.375.730.800,1.31%,3.06%,0.00%,2.18%,1.72%,2.97%,MIDI
68,19-08-2025,466,474,458,458,5.430.700,2.487.260.600,0.43%,2.16%,-1.29%,-1.29%,1.72%,3.80%,MIDI
69,15-08-2025,464,470,456,464,13.978.700,6.486.116.800,0.87%,2.17%,-0.87%,0.87%,1.29%,3.83%,MIDI
70,14-08-2025,456,464,452,460,13.345.100,6.138.746.000,0.00%,1.75%,-0.88%,0.88%,1.75%,2.16%,MIDI
71,13-08-2025,470,474,454,456,15.843.200,7.224.499.200,0.43%,1.28%,-2.99%,-2.56%,0.85%,1.69%,MIDI
72,12-08-2025,472,478,466,468,11.597.000,5.427.396.000,-1.26%,0.00%,-2.51%,-2.09%,1.27%,3.35%,MIDI
73,11-08-2025,468,486,462,478,40.543.000,19.379.554.000,0.43%,4.29%,-0.86%,2.58%,3.85%,8.23%,MIDI
74,08-08-2025,446,468,446,466,24.741.700,11.529.632.200,0.00%,4.93%,0.00%,4.48%,4.93%,5.56%,MIDI
75,07-08-2025,444,460,442,446,27.872.500,12.431.135.000,0.00%,3.60%,-0.45%,0.45%,3.60%,4.78%,MIDI
76,06-08-2025,440,448,438,444,9.040.100,4.013.804.400,0.00%,1.82%,-0.45%,0.91%,1.82%,4.02%,MIDI
