col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MIKA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MIKA
1,21-11-2025,2.560,2.560,2.470,2.500,3.132.800,7.832.000.000,0.39%,0.39%,-3.14%,-1.96%,0.00%,1.17%,MIKA
2,20-11-2025,2.550,2.570,2.530,2.550,3.651.800,9.312.090.000,-0.39%,0.39%,-1.17%,-0.39%,0.78%,1.95%,MIKA
3,19-11-2025,2.530,2.620,2.520,2.560,4.333.700,11.094.272.000,0.00%,3.56%,-0.40%,1.19%,3.56%,3.82%,MIKA
4,18-11-2025,2.550,2.560,2.520,2.530,2.170.900,5.492.377.000,0.00%,0.39%,-1.18%,-0.78%,0.39%,1.56%,MIKA
5,17-11-2025,2.520,2.570,2.520,2.550,2.836.200,7.232.310.000,0.00%,1.98%,0.00%,1.19%,1.98%,1.95%,MIKA
6,14-11-2025,2.610,2.610,2.520,2.520,3.135.300,7.900.956.000,0.77%,0.77%,-2.70%,-2.70%,0.00%,2.30%,MIKA
7,13-11-2025,2.550,2.620,2.550,2.590,5.086.400,13.173.776.000,1.19%,3.97%,1.19%,2.78%,2.75%,4.20%,MIKA
8,12-11-2025,2.630,2.640,2.510,2.520,5.193.400,13.087.368.000,1.54%,1.93%,-3.09%,-2.70%,0.38%,4.17%,MIKA
9,11-11-2025,2.540,2.610,2.530,2.590,7.129.100,18.464.369.000,1.60%,4.40%,1.20%,3.60%,2.76%,4.21%,MIKA
10,10-11-2025,2.640,2.650,2.500,2.500,5.738.800,14.347.000.000,0.00%,0.38%,-5.30%,-5.30%,0.38%,0.75%,MIKA
