col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MINA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MINA
1,21-11-2025,232,238,224,226,260.661.900,58.909.589.400,0.00%,2.59%,-3.45%,-2.59%,2.59%,10.08%,MINA
2,20-11-2025,214,244,214,232,1.591.646.200,369.261.918.400,0.00%,14.02%,0.00%,8.41%,14.02%,14.75%,MINA
3,19-11-2025,230,232,208,214,760.632.500,162.775.355.000,0.00%,0.87%,-9.57%,-6.96%,0.87%,3.45%,MINA
4,18-11-2025,246,260,224,230,3.111.062.500,715.544.375.000,1.65%,7.44%,-7.44%,-4.96%,5.69%,30.77%,MINA
5,17-11-2025,180,242,180,242,3.425.569.700,828.987.867.400,0.00%,34.44%,0.00%,34.44%,34.44%,25.62%,MINA
6,14-11-2025,182,185,180,180,45.596.900,8.207.442.000,0.00%,1.65%,-1.10%,-1.10%,1.65%,1.62%,MINA
7,13-11-2025,186,189,182,182,101.777.200,18.523.450.400,0.54%,2.16%,-1.62%,-1.62%,1.61%,4.23%,MINA
8,12-11-2025,182,197,181,185,321.970.900,59.564.616.500,0.55%,8.84%,0.00%,2.21%,8.24%,9.14%,MINA
9,11-11-2025,184,185,179,181,84.940.200,15.374.176.200,0.55%,1.09%,-2.19%,-1.09%,0.54%,2.70%,MINA
10,10-11-2025,182,186,180,183,95.351.200,17.449.269.600,0.00%,2.20%,-1.10%,0.55%,2.20%,4.84%,MINA
11,07-11-2025,179,195,177,182,467.071.200,85.006.958.400,0.56%,9.55%,-0.56%,2.25%,8.94%,10.26%,MINA
12,06-11-2025,176,182,175,178,75.042.700,13.357.600.600,0.00%,3.41%,-0.57%,1.14%,3.41%,3.85%,MINA
13,05-11-2025,176,180,175,176,39.829.700,7.010.027.200,-0.56%,1.69%,-1.13%,-0.56%,2.27%,2.22%,MINA
14,04-11-2025,181,184,176,177,89.358.400,15.816.436.800,0.56%,2.22%,-2.22%,-1.67%,1.66%,3.26%,MINA
15,03-11-2025,178,186,178,180,73.195.600,13.175.208.000,0.00%,4.49%,0.00%,1.12%,4.49%,5.38%,MINA
16,31-10-2025,176,188,176,178,148.518.600,26.436.310.800,-2.22%,4.44%,-2.22%,-1.11%,6.82%,6.38%,MINA
17,30-10-2025,180,184,176,180,75.943.400,13.669.812.000,1.12%,3.37%,-1.12%,1.12%,2.22%,7.07%,MINA
18,29-10-2025,174,188,171,178,251.304.500,44.732.201.000,0.58%,8.67%,-1.16%,2.89%,8.05%,8.51%,MINA
19,28-10-2025,176,179,172,173,61.538.200,10.646.108.600,0.00%,1.70%,-2.27%,-1.70%,1.70%,6.15%,MINA
20,27-10-2025,187,202,168,176,343.153.000,60.394.928.000,0.54%,8.60%,-9.68%,-5.38%,8.02%,7.92%,MINA
21,24-10-2025,196,196,186,186,155.838.600,28.985.979.600,0.00%,0.00%,-5.10%,-5.10%,0.00%,11.22%,MINA
22,23-10-2025,174,208,174,196,751.399.700,147.274.341.200,-1.14%,18.18%,-1.14%,11.36%,19.54%,17.31%,MINA
23,22-10-2025,181,182,172,176,109.058.600,19.194.313.600,1.69%,2.25%,-3.37%,-1.12%,0.55%,2.20%,MINA
24,21-10-2025,183,187,178,178,137.747.300,24.519.019.400,0.55%,2.75%,-2.20%,-2.20%,2.19%,9.09%,MINA
25,20-10-2025,172,189,170,182,207.419.800,37.750.403.600,0.00%,9.88%,-1.16%,5.81%,9.88%,10.05%,MINA
26,17-10-2025,195,196,170,172,256.053.300,44.041.167.600,0.00%,0.51%,-12.82%,-11.79%,0.51%,0.51%,MINA
27,16-10-2025,204,206,195,195,131.650.000,25.671.750.000,0.00%,0.98%,-4.41%,-4.41%,0.98%,10.68%,MINA
28,15-10-2025,199,206,184,204,365.865.200,74.636.500.800,1.53%,5.10%,-6.12%,4.08%,3.52%,10.68%,MINA
29,14-10-2025,218,226,184,196,510.320.900,100.022.896.400,0.93%,4.63%,-14.81%,-9.26%,3.67%,7.08%,MINA
30,13-10-2025,218,232,210,216,301.487.000,65.121.192.000,-2.68%,3.57%,-6.25%,-3.57%,6.42%,4.31%,MINA
31,10-10-2025,224,236,222,224,315.713.200,70.719.756.800,0.00%,5.36%,-0.89%,0.00%,5.36%,6.78%,MINA
32,09-10-2025,238,244,220,224,389.811.000,87.317.664.000,0.85%,3.39%,-6.78%,-5.08%,2.52%,10.66%,MINA
33,08-10-2025,226,246,218,236,1.428.040.200,337.017.487.200,1.80%,10.81%,-1.80%,6.31%,8.85%,11.38%,MINA
34,07-10-2025,236,238,218,222,603.845.200,134.053.634.400,1.72%,2.59%,-6.03%,-4.31%,0.85%,14.29%,MINA
35,06-10-2025,218,254,204,232,2.590.417.000,600.976.744.000,1.87%,18.69%,-4.67%,8.41%,16.51%,31.89%,MINA
36,03-10-2025,174,228,173,214,4.241.908.200,907.768.354.800,0.58%,31.79%,0.00%,23.70%,31.03%,25.44%,MINA
37,02-10-2025,174,180,170,173,299.069.600,51.739.040.800,0.00%,3.45%,-2.30%,-0.57%,3.45%,6.11%,MINA
38,01-10-2025,170,174,169,174,120.445.600,20.957.534.400,0.59%,2.96%,0.00%,2.96%,2.35%,4.60%,MINA
39,30-09-2025,168,181,166,169,380.514.800,64.307.001.200,0.00%,7.74%,-1.19%,0.60%,7.74%,9.39%,MINA
40,29-09-2025,169,172,164,168,151.255.600,25.410.940.800,0.60%,2.38%,-2.38%,0.00%,1.78%,3.49%,MINA
41,26-09-2025,170,173,166,168,141.907.400,23.840.443.200,0.00%,1.76%,-2.35%,-1.18%,1.76%,1.73%,MINA
42,25-09-2025,175,180,170,170,237.508.800,40.376.496.000,2.34%,5.26%,-0.58%,-0.58%,2.86%,5.56%,MINA
43,24-09-2025,178,180,170,171,255.632.300,43.713.123.300,0.56%,1.69%,-3.95%,-3.39%,1.12%,3.89%,MINA
44,23-09-2025,180,184,173,177,480.423.300,85.034.924.100,1.69%,3.95%,-2.26%,0.00%,2.22%,8.15%,MINA
45,22-09-2025,171,185,169,177,694.079.100,122.852.000.700,1.18%,9.47%,0.00%,4.73%,8.19%,10.27%,MINA
46,19-09-2025,172,182,166,169,670.890.000,113.380.410.000,-6.52%,-1.09%,-9.78%,-8.15%,5.81%,15.38%,MINA
47,18-09-2025,159,202,154,184,2.342.708.700,431.058.400.800,0.63%,27.85%,-2.53%,16.46%,27.04%,21.78%,MINA
48,17-09-2025,158,165,158,158,87.426.100,13.813.323.800,-1.25%,3.13%,-1.25%,-1.25%,4.43%,3.64%,MINA
49,16-09-2025,168,168,159,160,145.457.400,23.273.184.000,0.60%,0.60%,-4.79%,-4.19%,0.00%,1.79%,MINA
50,15-09-2025,169,173,165,167,147.307.600,24.600.369.200,0.60%,2.98%,-1.79%,-0.60%,2.37%,8.09%,MINA
51,12-09-2025,162,173,159,168,300.601.800,50.501.102.400,1.25%,8.13%,-0.63%,5.00%,6.79%,8.67%,MINA
52,11-09-2025,164,167,158,160,121.238.900,19.398.224.000,0.00%,1.83%,-3.66%,-2.44%,1.83%,2.40%,MINA
53,10-09-2025,170,176,163,164,233.631.100,38.315.500.400,4.29%,7.98%,0.00%,0.61%,3.53%,12.50%,MINA
54,09-09-2025,160,171,154,163,243.530.800,39.695.520.400,0.00%,6.88%,-3.75%,1.88%,6.88%,6.43%,MINA
55,08-09-2025,177,178,160,160,263.847.900,42.215.664.000,0.00%,0.56%,-9.60%,-9.60%,0.56%,2.25%,MINA
56,04-09-2025,186,187,174,177,226.022.700,40.006.017.900,1.09%,1.63%,-5.43%,-3.80%,0.54%,3.21%,MINA
57,03-09-2025,193,193,181,184,217.810.800,40.077.187.200,2.12%,2.12%,-4.23%,-2.65%,0.00%,6.74%,MINA
58,02-09-2025,183,196,180,189,502.764.900,95.022.566.100,1.67%,8.89%,0.00%,5.00%,7.10%,15.82%,MINA
59,01-09-2025,166,189,165,180,341.378.700,61.448.166.000,-10.27%,2.16%,-10.81%,-2.70%,13.86%,12.70%,MINA
60,29-08-2025,175,212,165,185,1.248.537.600,230.979.456.000,-2.23%,18.44%,-7.82%,3.35%,21.14%,15.57%,MINA
61,28-08-2025,183,183,179,179,43.006.400,7.698.145.600,-1.08%,-1.08%,-3.24%,-3.24%,0.00%,4.37%,MINA
62,27-08-2025,175,185,175,185,64.013.400,11.842.479.000,0.00%,5.71%,0.00%,5.71%,5.71%,8.65%,MINA
63,26-08-2025,169,175,169,175,68.778.200,12.036.185.000,0.00%,3.55%,0.00%,3.55%,3.55%,3.43%,MINA
64,25-08-2025,169,169,169,169,44.382.600,7.500.659.400,9.74%,9.74%,9.74%,9.74%,0.00%,8.88%,MINA
65,22-08-2025,160,160,154,154,166.485.100,25.638.705.400,-6.43%,-6.43%,-9.94%,-9.94%,0.00%,-6.88%,MINA
66,21-08-2025,178,178,171,171,85.168.300,14.563.779.300,-5.82%,-5.82%,-9.52%,-9.52%,0.00%,2.25%,MINA
67,20-08-2025,174,199,174,189,196.587.600,37.155.056.400,-9.38%,3.65%,-9.38%,-1.56%,14.37%,3.52%,MINA
68,19-08-2025,192,192,192,192,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MINA
69,15-08-2025,192,192,192,192,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MINA
70,14-08-2025,192,192,192,192,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MINA
71,13-08-2025,192,192,192,192,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MINA
72,12-08-2025,192,192,192,192,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MINA
73,11-08-2025,192,192,192,192,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MINA
74,08-08-2025,192,192,192,192,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MINA
75,07-08-2025,192,192,192,192,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,14.58%,MINA
76,06-08-2025,170,210,164,192,2.597.772.500,498.772.320.000,4.29%,28.83%,0.61%,17.79%,23.53%,27.62%,MINA
77,05-08-2025,191,202,152,163,1.847.658.800,301.168.384.400,8.52%,14.77%,-13.64%,-7.39%,5.76%,12.87%,MINA
78,04-08-2025,176,176,176,176,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,MINA
79,01-08-2025,133,176,132,176,1.716.274.100,302.064.241.600,1.53%,34.35%,0.76%,34.35%,32.33%,27.84%,MINA
80,31-07-2025,130,138,127,131,554.062.700,72.582.213.700,0.00%,6.15%,-2.31%,0.77%,6.15%,8.70%,MINA
81,30-07-2025,137,143,126,130,658.300.400,85.579.052.000,1.48%,5.93%,-6.67%,-3.70%,4.38%,6.99%,MINA
82,29-07-2025,139,143,133,135,575.942.700,77.752.264.500,1.46%,4.38%,-2.92%,-1.46%,2.88%,16.78%,MINA
83,28-07-2025,121,146,119,137,1.533.930.900,210.148.533.300,-3.97%,15.87%,-5.56%,8.73%,20.66%,21.23%,MINA
84,25-07-2025,125,141,115,126,1.703.157.600,214.597.857.600,2.46%,15.57%,-5.74%,3.28%,12.80%,22.70%,MINA
85,24-07-2025,112,123,109,122,1.144.651.900,139.647.531.800,4.67%,14.95%,1.87%,14.02%,9.82%,19.51%,MINA
86,23-07-2025,103,111,99,107,466.182.400,49.881.516.800,0.98%,8.82%,-2.94%,4.90%,7.77%,12.61%,MINA
87,22-07-2025,105,109,97,102,524.663.200,53.515.646.400,0.00%,3.81%,-7.62%,-2.86%,3.81%,19.27%,MINA
88,21-07-2025,90,110,88,105,1.318.182.800,138.409.194.000,5.88%,29.41%,3.53%,23.53%,22.22%,25.45%,MINA
89,18-07-2025,84,86,82,85,133.673.400,11.362.239.000,0.00%,2.38%,-2.38%,1.19%,2.38%,4.65%,MINA
90,17-07-2025,87,89,82,84,160.203.100,13.457.060.400,0.00%,2.30%,-5.75%,-3.45%,2.30%,17.98%,MINA
91,16-07-2025,81,92,73,87,525.263.700,45.697.941.900,-1.22%,12.20%,-10.98%,6.10%,13.58%,15.22%,MINA
