col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MITI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MITI
1,21-11-2025,312,312,290,292,14.842.800,4.334.097.600,0.00%,0.00%,-7.05%,-6.41%,0.00%,0.64%,MITI
2,20-11-2025,324,326,310,312,4.767.500,1.487.460.000,-0.61%,0.00%,-4.91%,-4.29%,0.62%,6.75%,MITI
3,19-11-2025,310,326,304,326,10.240.400,3.338.370.400,0.00%,5.16%,-1.94%,5.16%,5.16%,6.75%,MITI
4,18-11-2025,310,312,304,310,2.457.000,761.670.000,0.00%,0.65%,-1.94%,0.00%,0.65%,5.13%,MITI
5,17-11-2025,300,324,296,310,14.008.700,4.342.697.000,-0.66%,7.28%,-1.99%,2.65%,8.00%,7.41%,MITI
6,14-11-2025,312,314,300,302,3.391.600,1.024.263.200,0.00%,0.64%,-3.85%,-3.21%,0.64%,4.46%,MITI
7,13-11-2025,314,314,300,312,5.737.000,1.789.944.000,-0.63%,-0.63%,-5.06%,-1.27%,0.00%,1.91%,MITI
8,12-11-2025,320,322,308,316,5.301.600,1.675.305.600,0.63%,1.26%,-3.14%,-0.63%,0.63%,4.97%,MITI
9,11-11-2025,308,334,306,318,28.241.200,8.980.701.600,4.05%,12.84%,3.38%,7.43%,8.44%,14.37%,MITI
10,10-11-2025,298,300,286,296,2.161.400,639.774.400,-0.67%,0.00%,-4.67%,-1.33%,0.67%,3.33%,MITI
11,07-11-2025,300,300,290,300,2.421.200,726.360.000,0.00%,0.00%,-3.33%,0.00%,0.00%,1.33%,MITI
12,06-11-2025,296,308,296,300,1.666.500,499.950.000,-1.33%,2.67%,-1.33%,0.00%,4.05%,12.99%,MITI
13,05-11-2025,308,308,268,300,5.326.400,1.597.920.000,0.00%,0.00%,-12.99%,-2.60%,0.00%,1.95%,MITI
14,04-11-2025,308,308,302,308,788.200,242.765.600,0.00%,0.00%,-1.95%,0.00%,0.00%,1.30%,MITI
15,03-11-2025,308,310,304,308,659.900,203.249.200,1.32%,1.97%,0.00%,1.32%,0.65%,2.58%,MITI
16,31-10-2025,308,310,302,304,1.442.200,438.428.800,0.65%,1.31%,-1.31%,-0.65%,0.65%,1.94%,MITI
17,30-10-2025,320,320,304,306,1.706.900,522.311.400,1.91%,1.91%,-3.18%,-2.55%,0.00%,5.00%,MITI
18,29-10-2025,314,326,304,314,1.607.700,504.817.800,0.64%,4.49%,-2.56%,0.64%,3.82%,6.75%,MITI
