col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MKAP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MKAP
1,21-11-2025,342,342,338,340,64.100,21.794.000,0.59%,0.59%,-0.59%,0.00%,0.00%,0.58%,MKAP
2,20-11-2025,340,342,340,340,12.500,4.250.000,0.00%,0.59%,0.00%,0.00%,0.59%,4.09%,MKAP
3,19-11-2025,340,340,328,340,376.200,127.908.000,0.00%,0.00%,-3.53%,0.00%,0.00%,0.00%,MKAP
4,18-11-2025,340,342,340,340,42.300,14.382.000,-0.58%,0.00%,-0.58%,-0.58%,0.59%,0.58%,MKAP
5,17-11-2025,342,342,340,342,59.900,20.485.800,0.00%,0.00%,-0.58%,0.00%,0.00%,1.17%,MKAP
6,14-11-2025,338,342,338,342,70.500,24.111.000,0.00%,1.18%,0.00%,1.18%,1.18%,1.17%,MKAP
7,13-11-2025,342,342,338,338,113.600,38.396.800,0.00%,0.00%,-1.17%,-1.17%,0.00%,1.75%,MKAP
8,12-11-2025,340,342,336,342,155.000,53.010.000,0.00%,0.59%,-1.18%,0.59%,0.59%,0.58%,MKAP
9,11-11-2025,346,346,340,340,135.100,45.934.000,0.00%,0.00%,-1.73%,-1.73%,0.00%,0.58%,MKAP
10,10-11-2025,344,346,344,346,47.500,16.435.000,-0.58%,0.00%,-0.58%,0.00%,0.58%,0.58%,MKAP
11,07-11-2025,348,348,344,346,117.100,40.516.600,-0.57%,-0.57%,-1.71%,-1.14%,0.00%,2.30%,MKAP
12,06-11-2025,346,350,340,350,341.300,119.455.000,-0.57%,0.57%,-2.30%,0.57%,1.16%,1.71%,MKAP
13,05-11-2025,346,348,344,348,125.100,43.534.800,-0.57%,0.00%,-1.15%,0.00%,0.58%,1.15%,MKAP
14,04-11-2025,346,348,344,348,74.400,25.891.200,-0.57%,0.00%,-1.15%,0.00%,0.58%,0.57%,MKAP
15,03-11-2025,348,348,346,348,42.500,14.790.000,0.00%,0.00%,-0.57%,0.00%,0.00%,0.00%,MKAP
16,31-10-2025,350,352,348,348,56.400,19.627.200,0.00%,0.57%,-0.57%,-0.57%,0.57%,2.27%,MKAP
