col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MLBI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MLBI
1,21-11-2025,5.850,5.875,5.800,5.825,713.000,4.153.225.000,0.00%,0.43%,-0.85%,-0.43%,0.43%,0.43%,MLBI
2,20-11-2025,5.850,5.875,5.850,5.850,195.200,1.141.920.000,0.00%,0.43%,0.00%,0.00%,0.43%,0.85%,MLBI
3,19-11-2025,5.850,5.900,5.825,5.850,104.400,610.740.000,0.00%,0.85%,-0.43%,0.00%,0.85%,1.27%,MLBI
4,18-11-2025,5.850,5.900,5.825,5.850,429.700,2.513.745.000,0.00%,0.85%,-0.43%,0.00%,0.85%,1.69%,MLBI
5,17-11-2025,5.800,5.875,5.800,5.850,226.400,1.324.440.000,0.00%,1.29%,0.00%,0.86%,1.29%,1.28%,MLBI
6,14-11-2025,5.800,5.825,5.800,5.800,757.700,4.394.660.000,0.00%,0.43%,0.00%,0.00%,0.43%,0.86%,MLBI
7,13-11-2025,5.800,5.825,5.775,5.800,79.300,459.940.000,0.00%,0.43%,-0.43%,0.00%,0.43%,1.29%,MLBI
8,12-11-2025,5.775,5.800,5.750,5.800,182.600,1.059.080.000,-0.43%,0.00%,-0.86%,0.00%,0.43%,0.43%,MLBI
9,11-11-2025,5.800,5.825,5.775,5.800,144.000,835.200.000,0.00%,0.43%,-0.43%,0.00%,0.43%,0.43%,MLBI
10,10-11-2025,5.850,5.875,5.800,5.800,231.300,1.341.540.000,0.86%,1.29%,0.00%,0.00%,0.43%,1.28%,MLBI
11,07-11-2025,5.825,5.875,5.800,5.800,365.300,2.118.740.000,0.43%,1.29%,0.00%,0.00%,0.86%,1.28%,MLBI
12,06-11-2025,5.800,5.875,5.800,5.800,160.900,933.220.000,0.00%,1.29%,0.00%,0.00%,1.29%,1.28%,MLBI
13,05-11-2025,5.950,5.975,5.800,5.800,312.200,1.810.760.000,0.00%,0.42%,-2.52%,-2.52%,0.42%,1.67%,MLBI
14,04-11-2025,5.875,5.975,5.875,5.950,15.700,93.415.000,0.00%,1.70%,0.00%,1.28%,1.70%,2.09%,MLBI
15,03-11-2025,5.900,5.950,5.850,5.875,26.700,156.862.500,0.43%,1.28%,-0.43%,0.00%,0.85%,2.94%,MLBI
16,31-10-2025,5.950,5.975,5.775,5.875,760.300,4.466.762.500,0.42%,0.84%,-2.53%,-0.84%,0.42%,3.35%,MLBI
17,30-10-2025,5.950,6.000,5.775,5.925,660.700,3.914.647.500,0.00%,0.84%,-2.94%,-0.42%,0.84%,1.67%,MLBI
18,29-10-2025,5.900,6.000,5.900,5.950,22.600,134.470.000,0.00%,1.69%,0.00%,0.85%,1.69%,2.08%,MLBI
19,28-10-2025,5.950,6.000,5.875,5.900,48.900,288.510.000,0.85%,1.69%,-0.42%,0.00%,0.84%,2.08%,MLBI
20,27-10-2025,5.950,5.975,5.875,5.900,21.600,127.440.000,0.00%,0.42%,-1.26%,-0.84%,0.42%,2.09%,MLBI
21,24-10-2025,5.925,5.975,5.850,5.950,123.400,734.230.000,0.42%,1.27%,-0.85%,0.85%,0.84%,2.09%,MLBI
