col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MLIA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MLIA
1,21-11-2025,338,340,336,340,2.450.300,833.102.000,0.00%,0.59%,-0.59%,0.59%,0.59%,1.18%,MLIA
2,20-11-2025,338,340,336,338,2.380.800,804.710.400,0.00%,0.59%,-0.59%,0.00%,0.59%,1.18%,MLIA
3,19-11-2025,338,340,336,338,3.147.900,1.063.990.200,0.00%,0.59%,-0.59%,0.00%,0.59%,1.18%,MLIA
4,18-11-2025,338,340,336,338,3.120.100,1.054.593.800,0.00%,0.59%,-0.59%,0.00%,0.59%,1.18%,MLIA
5,17-11-2025,340,340,336,338,3.490.600,1.179.822.800,0.00%,0.00%,-1.18%,-0.59%,0.00%,0.59%,MLIA
6,14-11-2025,338,340,338,340,3.300.100,1.122.034.000,0.00%,0.59%,0.00%,0.59%,0.59%,1.18%,MLIA
7,13-11-2025,340,340,336,338,3.077.300,1.040.127.400,0.59%,0.59%,-0.59%,0.00%,0.00%,0.59%,MLIA
8,12-11-2025,340,340,338,338,3.001.900,1.014.642.200,0.00%,0.00%,-0.59%,-0.59%,0.00%,1.18%,MLIA
9,11-11-2025,340,342,336,340,3.129.600,1.064.064.000,0.00%,0.59%,-1.18%,0.00%,0.59%,1.75%,MLIA
10,10-11-2025,338,340,336,340,2.805.200,953.768.000,0.00%,0.59%,-0.59%,0.59%,0.59%,1.18%,MLIA
11,07-11-2025,342,342,336,338,2.507.200,847.433.600,0.59%,0.59%,-1.18%,-0.59%,0.00%,1.17%,MLIA
12,06-11-2025,342,342,338,340,3.570.600,1.214.004.000,0.59%,0.59%,-0.59%,0.00%,0.00%,0.58%,MLIA
13,05-11-2025,344,344,340,340,1.641.100,557.974.000,0.00%,0.00%,-1.16%,-1.16%,0.00%,1.16%,MLIA
14,04-11-2025,342,344,340,344,3.105.900,1.068.429.600,0.00%,0.58%,-0.58%,0.58%,0.58%,1.74%,MLIA
15,03-11-2025,344,344,338,342,4.227.400,1.445.770.800,0.00%,0.00%,-1.74%,-0.58%,0.00%,5.23%,MLIA
