col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MLPL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MLPL
1,21-11-2025,136,139,135,136,63.543.100,8.641.861.600,-0.73%,1.46%,-1.46%,-0.73%,2.21%,2.16%,MLPL
2,20-11-2025,142,142,136,137,102.870.900,14.093.313.300,2.16%,2.16%,-2.16%,-1.44%,0.00%,2.82%,MLPL
3,19-11-2025,140,143,138,139,70.934.000,9.859.826.000,0.72%,2.88%,-0.72%,0.00%,2.14%,3.50%,MLPL
4,18-11-2025,144,145,138,139,87.841.800,12.210.010.200,0.00%,0.69%,-4.17%,-3.47%,0.69%,4.83%,MLPL
5,17-11-2025,142,145,138,144,140.943.000,20.295.792.000,0.00%,2.11%,-2.82%,1.41%,2.11%,2.76%,MLPL
6,14-11-2025,145,153,141,142,250.373.400,35.553.022.800,0.69%,6.25%,-2.08%,-1.39%,5.52%,5.88%,MLPL
7,13-11-2025,152,158,144,144,513.318.700,73.917.892.800,0.66%,4.64%,-4.64%,-4.64%,3.95%,12.66%,MLPL
8,12-11-2025,140,153,138,151,758.340.800,114.509.460.800,0.72%,10.07%,-0.72%,8.63%,9.29%,12.42%,MLPL
9,11-11-2025,139,148,134,139,600.007.300,83.401.014.700,1.46%,8.03%,-2.19%,1.46%,6.47%,11.49%,MLPL
10,10-11-2025,131,138,131,137,173.716.500,23.799.160.500,0.77%,6.15%,0.77%,5.38%,5.34%,6.52%,MLPL
11,07-11-2025,131,132,129,130,50.562.500,6.573.125.000,0.00%,0.76%,-1.53%,-0.76%,0.76%,2.27%,MLPL
12,06-11-2025,131,133,129,131,71.586.400,9.377.818.400,0.77%,2.31%,-0.77%,0.77%,1.53%,5.26%,MLPL
13,05-11-2025,130,132,126,130,105.145.600,13.668.928.000,0.00%,1.54%,-3.08%,0.00%,1.54%,3.03%,MLPL
14,04-11-2025,136,137,128,130,123.914.800,16.108.924.000,0.00%,0.74%,-5.88%,-4.41%,0.74%,3.65%,MLPL
15,03-11-2025,134,137,132,136,87.520.300,11.902.760.800,0.75%,3.01%,-0.75%,2.26%,2.24%,3.65%,MLPL
16,31-10-2025,133,137,132,133,87.383.300,11.621.978.900,0.76%,3.79%,0.00%,0.76%,3.01%,5.11%,MLPL
17,30-10-2025,131,139,130,132,209.596.100,27.666.685.200,0.00%,6.11%,-0.76%,0.76%,6.11%,7.91%,MLPL
18,29-10-2025,134,135,128,131,81.034.100,10.615.467.100,0.75%,1.50%,-3.76%,-1.50%,0.75%,4.44%,MLPL
19,28-10-2025,134,137,129,133,143.780.900,19.122.859.700,0.75%,3.01%,-3.01%,0.00%,2.24%,7.30%,MLPL
20,27-10-2025,138,140,127,133,317.556.500,42.235.014.500,0.00%,1.45%,-7.97%,-3.62%,1.45%,1.43%,MLPL
21,24-10-2025,149,157,138,138,428.648.100,59.153.437.800,1.36%,6.80%,-6.12%,-6.12%,5.37%,8.28%,MLPL
22,23-10-2025,150,151,144,147,144.634.500,21.261.271.500,0.00%,0.67%,-4.00%,-2.00%,0.67%,1.99%,MLPL
23,22-10-2025,156,160,148,150,267.593.000,40.138.950.000,1.30%,3.90%,-3.90%,-2.60%,2.56%,8.13%,MLPL
24,21-10-2025,153,163,147,154,259.677.900,39.990.396.600,-3.16%,3.16%,-6.96%,-2.53%,6.54%,6.13%,MLPL
25,20-10-2025,160,169,153,158,255.111.100,40.307.553.800,2.56%,8.33%,-1.92%,1.28%,5.63%,8.88%,MLPL
26,17-10-2025,178,179,154,156,382.120.900,59.610.860.400,0.00%,0.56%,-13.48%,-12.36%,0.56%,0.56%,MLPL
27,16-10-2025,190,197,178,178,226.435.600,40.305.536.800,2.15%,5.91%,-4.30%,-4.30%,3.68%,8.12%,MLPL
28,15-10-2025,191,196,181,186,145.962.900,27.149.099.400,1.06%,3.70%,-4.23%,-1.59%,2.62%,5.61%,MLPL
29,14-10-2025,200,216,185,189,424.418.000,80.215.002.000,0.50%,8.54%,-7.04%,-5.03%,8.00%,10.19%,MLPL
30,13-10-2025,216,222,194,199,429.619.900,85.494.360.100,-4.42%,-1.77%,-14.16%,-11.95%,2.78%,1.80%,MLPL
31,10-10-2025,226,234,218,226,140.717.500,31.802.155.000,0.00%,3.54%,-3.54%,0.00%,3.54%,5.13%,MLPL
32,09-10-2025,242,258,222,226,293.578.600,66.348.763.600,-1.63%,4.88%,-9.76%,-8.13%,6.61%,4.65%,MLPL
33,08-10-2025,246,246,246,246,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,5.69%,MLPL
34,07-10-2025,246,274,232,246,1.156.669.200,284.540.623.200,5.13%,17.09%,-0.85%,5.13%,11.38%,22.63%,MLPL
35,06-10-2025,220,246,212,234,399.300.500,93.436.317.000,0.92%,12.84%,-2.75%,7.34%,11.82%,11.38%,MLPL
36,03-10-2025,234,234,218,218,207.410.200,45.215.423.600,1.74%,1.74%,-5.22%,-5.22%,0.00%,1.71%,MLPL
37,02-10-2025,238,252,230,230,432.566.100,99.490.203.000,3.48%,9.57%,0.00%,0.00%,5.88%,13.49%,MLPL
38,01-10-2025,240,240,218,230,360.244.400,82.856.212.000,0.84%,0.84%,-8.40%,-3.36%,0.00%,9.17%,MLPL
39,30-09-2025,230,252,218,238,1.745.434.800,415.413.482.400,9.52%,20.00%,3.81%,13.33%,9.57%,37.70%,MLPL
40,29-09-2025,157,210,157,210,2.141.427.200,449.699.712.000,0.64%,34.62%,0.64%,34.62%,33.76%,29.05%,MLPL
41,26-09-2025,151,160,149,156,136.517.000,21.296.652.000,0.00%,5.96%,-1.32%,3.31%,5.96%,7.50%,MLPL
42,25-09-2025,159,159,148,151,178.422.000,26.941.722.000,1.92%,1.92%,-5.13%,-3.21%,0.00%,1.89%,MLPL
43,24-09-2025,162,164,156,156,149.798.600,23.368.581.600,0.00%,1.23%,-3.70%,-3.70%,1.23%,3.66%,MLPL
44,23-09-2025,160,164,158,162,189.806.900,30.748.717.800,1.91%,4.46%,0.64%,3.18%,2.50%,5.49%,MLPL
45,22-09-2025,161,165,155,157,199.050.100,31.250.865.700,1.26%,3.77%,-2.52%,-1.26%,2.48%,4.24%,MLPL
46,19-09-2025,170,172,158,159,247.891.300,39.414.716.700,0.59%,1.78%,-6.51%,-5.92%,1.18%,4.65%,MLPL
47,18-09-2025,165,177,164,169,721.204.400,121.883.543.600,3.13%,10.63%,2.50%,5.63%,7.27%,14.69%,MLPL
48,17-09-2025,153,181,151,160,1.470.455.100,235.272.816.000,-1.29%,16.77%,-2.58%,3.23%,18.30%,18.23%,MLPL
49,16-09-2025,156,162,148,155,488.080.200,75.652.431.000,0.00%,3.85%,-5.13%,-0.64%,3.85%,10.49%,MLPL
50,15-09-2025,145,157,145,156,329.364.200,51.380.815.200,0.69%,9.03%,0.69%,8.33%,8.28%,12.74%,MLPL
51,12-09-2025,138,146,137,144,271.650.000,39.117.600.000,0.00%,5.80%,-0.72%,4.35%,5.80%,8.90%,MLPL
52,11-09-2025,135,140,133,138,138.120.000,19.060.560.000,1.50%,5.26%,0.00%,3.76%,3.70%,7.86%,MLPL
53,10-09-2025,138,139,129,133,69.977.900,9.307.060.700,1.47%,2.21%,-5.15%,-2.21%,0.72%,10.79%,MLPL
54,09-09-2025,133,137,124,136,141.157.000,19.197.352.000,0.00%,3.01%,-6.77%,2.26%,3.01%,2.92%,MLPL
55,08-09-2025,136,144,133,133,180.130.500,23.957.356.500,0.00%,5.88%,-2.21%,-2.21%,5.88%,6.25%,MLPL
56,04-09-2025,141,142,135,136,71.561.100,9.732.309.600,0.71%,1.43%,-3.57%,-2.86%,0.71%,2.11%,MLPL
57,03-09-2025,148,148,139,140,102.026.700,14.283.738.000,1.37%,1.37%,-4.79%,-4.11%,0.00%,8.78%,MLPL
58,02-09-2025,135,149,135,146,287.884.300,42.031.107.800,1.50%,12.03%,1.50%,9.77%,10.37%,19.46%,MLPL
59,01-09-2025,128,138,120,133,161.398.000,21.465.934.000,-6.57%,0.73%,-12.41%,-2.92%,7.81%,5.80%,MLPL
60,29-08-2025,145,146,130,137,458.109.500,62.761.001.500,-3.97%,-3.31%,-13.91%,-9.27%,0.69%,-1.37%,MLPL
61,28-08-2025,148,156,148,151,228.896.500,34.563.371.500,0.68%,6.12%,0.68%,2.72%,5.41%,6.41%,MLPL
62,27-08-2025,154,158,146,147,248.979.600,36.600.001.200,0.65%,3.27%,-4.58%,-3.92%,2.60%,3.16%,MLPL
63,26-08-2025,171,171,153,153,559.338.800,85.578.836.400,0.59%,0.59%,-10.00%,-10.00%,0.00%,15.20%,MLPL
64,25-08-2025,150,172,145,170,1.350.372.500,229.563.325.000,4.17%,19.44%,0.69%,18.06%,14.67%,18.60%,MLPL
65,22-08-2025,143,149,140,144,243.635.200,35.083.468.800,0.00%,4.20%,-2.10%,0.70%,4.20%,7.38%,MLPL
66,21-08-2025,142,152,138,143,403.615.800,57.717.059.400,0.71%,7.80%,-2.13%,1.42%,7.04%,11.18%,MLPL
67,20-08-2025,154,159,135,141,804.291.000,113.405.031.000,0.65%,3.92%,-11.76%,-7.84%,3.25%,15.09%,MLPL
68,19-08-2025,135,153,135,153,1.008.313.000,154.271.889.000,1.50%,15.04%,1.50%,15.04%,13.33%,18.30%,MLPL
69,15-08-2025,128,140,125,133,490.885.500,65.287.771.500,1.59%,11.11%,-0.79%,5.56%,9.38%,11.43%,MLPL
70,14-08-2025,125,137,124,126,579.490.600,73.015.815.600,1.63%,11.38%,0.81%,2.44%,9.60%,13.14%,MLPL
71,13-08-2025,119,125,119,123,146.110.100,17.971.542.300,0.00%,5.04%,0.00%,3.36%,5.04%,6.40%,MLPL
72,12-08-2025,120,126,117,119,234.474.300,27.902.441.700,0.00%,5.00%,-2.50%,-0.83%,5.00%,6.35%,MLPL
73,11-08-2025,119,128,118,120,286.840.900,34.420.908.000,0.85%,8.47%,0.00%,1.69%,7.56%,9.38%,MLPL
