col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MLPT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MLPT
1,21-11-2025,75.950,76.000,75.500,75.500,2.300,173.650.000,0.00%,0.07%,-0.59%,-0.59%,0.07%,1.32%,MLPT
2,20-11-2025,77.450,77.450,75.000,75.950,10.900,827.855.000,0.00%,0.00%,-3.16%,-1.94%,0.00%,0.03%,MLPT
3,19-11-2025,78.000,78.000,77.425,77.450,3.600,278.820.000,0.00%,0.00%,-0.74%,-0.71%,0.00%,0.38%,MLPT
4,18-11-2025,77.700,78.000,77.700,78.000,9.900,772.200.000,-0.38%,0.00%,-0.38%,0.00%,0.39%,0.71%,MLPT
5,17-11-2025,77.550,78.200,77.450,78.000,7.300,569.400.000,0.03%,0.87%,-0.10%,0.61%,0.84%,0.90%,MLPT
6,14-11-2025,78.200,78.500,77.500,77.525,3.800,294.595.000,0.00%,0.38%,-0.90%,-0.86%,0.38%,0.48%,MLPT
7,13-11-2025,78.575,79.500,78.125,78.200,5.500,430.100.000,0.00%,1.18%,-0.57%,-0.48%,1.18%,2.89%,MLPT
8,12-11-2025,77.400,80.900,77.200,78.575,12.200,958.615.000,0.95%,5.51%,0.68%,2.48%,4.52%,6.06%,MLPT
9,11-11-2025,79.500,79.500,76.000,76.675,10.900,835.757.500,0.00%,0.00%,-4.40%,-3.55%,0.00%,0.88%,MLPT
10,10-11-2025,78.850,79.500,78.800,79.500,7.900,628.050.000,0.06%,0.89%,0.00%,0.89%,0.82%,1.13%,MLPT
11,07-11-2025,79.800,79.800,78.600,78.800,7.700,606.760.000,0.22%,0.22%,-1.29%,-1.04%,0.00%,0.25%,MLPT
12,06-11-2025,79.800,80.475,79.600,79.625,16.800,1.337.700.000,0.03%,0.88%,-0.22%,-0.19%,0.85%,1.21%,MLPT
13,05-11-2025,80.000,81.500,79.500,79.775,6.600,526.515.000,0.76%,2.64%,0.13%,0.47%,1.88%,2.76%,MLPT
14,04-11-2025,80.800,80.800,79.250,79.400,16.300,1.294.220.000,1.00%,1.00%,-0.94%,-0.75%,0.00%,1.92%,MLPT
15,03-11-2025,81.725,81.750,79.250,80.000,16.700,1.336.000.000,2.16%,2.19%,-0.94%,0.00%,0.03%,2.14%,MLPT
16,31-10-2025,82.000,82.250,80.000,80.000,14.500,1.160.000.000,1.23%,1.54%,-1.23%,-1.23%,0.30%,1.85%,MLPT
17,30-10-2025,80.725,82.050,80.725,81.000,18.600,1.506.600.000,0.91%,2.56%,0.91%,1.25%,1.64%,3.72%,MLPT
18,29-10-2025,85.250,85.250,79.000,80.000,39.400,3.152.000.000,0.53%,0.53%,-6.84%,-5.66%,0.00%,12.67%,MLPT
19,28-10-2025,74.450,85.925,74.450,84.800,103.200,8.751.360.000,0.57%,16.08%,0.57%,14.56%,15.41%,14.46%,MLPT
20,27-10-2025,84.750,84.750,73.500,74.025,57.900,4.286.047.500,0.00%,0.00%,-13.27%,-12.65%,0.00%,2.65%,MLPT
21,24-10-2025,85.500,85.500,82.500,84.750,29.500,2.500.125.000,0.00%,0.00%,-3.51%,-0.88%,0.00%,4.12%,MLPT
22,23-10-2025,85.025,89.200,81.975,85.500,83.300,7.122.150.000,0.03%,4.94%,-3.56%,0.59%,4.91%,13.68%,MLPT
23,22-10-2025,77.000,93.875,77.000,85.000,188.100,15.988.500.000,-14.73%,3.96%,-14.73%,-5.87%,21.92%,3.81%,MLPT
24,21-10-2025,106.200,106.200,90.300,90.300,134.700,12.163.410.000,-0.02%,-0.02%,-14.99%,-14.99%,0.00%,-0.02%,MLPT
25,20-10-2025,124.950,124.950,106.225,106.225,13.900,1.476.527.500,0.00%,0.00%,-14.99%,-14.99%,0.00%,0.00%,MLPT
26,17-10-2025,147.000,147.625,124.950,124.950,19.600,2.449.020.000,0.00%,0.43%,-15.00%,-15.00%,0.43%,5.45%,MLPT
27,16-10-2025,164.200,175.000,139.575,147.000,47.000,6.909.000.000,0.00%,6.58%,-15.00%,-10.48%,6.58%,6.17%,MLPT
28,15-10-2025,193.150,193.150,164.200,164.200,64.500,10.590.900.000,0.00%,0.00%,-14.99%,-14.99%,0.00%,1.68%,MLPT
29,14-10-2025,204.150,204.150,189.900,193.150,29.600,5.717.240.000,0.04%,0.04%,-6.95%,-5.35%,0.00%,2.03%,MLPT
30,13-10-2025,200.000,210.250,200.000,204.075,44.700,9.122.152.500,0.00%,5.13%,0.00%,2.04%,5.13%,21.77%,MLPT
31,10-10-2025,191.900,202.900,164.475,200.000,38.000,7.600.000.000,0.00%,5.73%,-14.29%,4.22%,5.73%,5.45%,MLPT
32,09-10-2025,225.700,232.000,191.850,191.900,69.800,13.394.620.000,0.00%,2.79%,-15.00%,-14.98%,2.79%,15.09%,MLPT
33,08-10-2025,219.100,257.875,197.000,225.700,62.600,14.128.820.000,1.95%,20.00%,-8.33%,5.03%,17.70%,16.67%,MLPT
34,07-10-2025,216.925,216.925,214.900,214.900,39.000,8.381.100.000,9.99%,9.99%,8.96%,8.96%,0.00%,10.11%,MLPT
35,06-10-2025,195.000,197.225,195.000,197.225,37.100,7.317.047.500,8.76%,10.00%,8.76%,10.00%,1.14%,9.09%,MLPT
36,03-10-2025,179.300,179.300,179.300,179.300,3.200,573.760.000,10.00%,10.00%,10.00%,10.00%,0.00%,17.18%,MLPT
37,02-10-2025,148.500,163.000,148.500,163.000,5.400,880.200.000,0.20%,9.99%,0.20%,9.99%,9.76%,9.82%,MLPT
