col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MMIX
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MMIX
1,21-11-2025,244,252,236,238,6.043.700,1.438.400.600,0.00%,3.28%,-3.28%,-2.46%,3.28%,3.17%,MMIX
2,20-11-2025,244,252,244,244,4.580.300,1.117.593.200,-3.17%,0.00%,-3.17%,-3.17%,3.28%,4.76%,MMIX
3,19-11-2025,240,254,240,252,12.364.200,3.115.778.400,-4.76%,0.79%,-4.76%,0.00%,5.83%,3.94%,MMIX
4,18-11-2025,260,262,244,252,5.594.600,1.409.839.200,0.00%,0.77%,-6.15%,-3.08%,0.77%,7.63%,MMIX
5,17-11-2025,268,274,242,260,12.571.000,3.268.460.000,2.29%,4.58%,-7.63%,-0.76%,2.24%,10.95%,MMIX
6,14-11-2025,246,276,244,262,15.695.700,4.112.273.400,0.00%,12.20%,-0.81%,6.50%,12.20%,13.04%,MMIX
7,13-11-2025,240,252,240,246,6.262.600,1.540.599.600,0.00%,5.00%,0.00%,2.50%,5.00%,11.11%,MMIX
8,12-11-2025,228,240,224,240,6.414.400,1.539.456.000,0.00%,5.26%,-1.75%,5.26%,5.26%,6.67%,MMIX
9,11-11-2025,234,234,224,228,5.621.100,1.281.610.800,0.00%,0.00%,-4.27%,-2.56%,0.00%,6.84%,MMIX
10,10-11-2025,228,244,218,234,10.044.200,2.350.342.800,-5.79%,0.83%,-9.92%,-3.31%,7.02%,2.46%,MMIX
11,07-11-2025,248,248,238,242,4.132.100,999.968.200,0.00%,0.00%,-4.03%,-2.42%,0.00%,3.23%,MMIX
12,06-11-2025,254,260,240,248,5.269.600,1.306.860.800,0.00%,2.36%,-5.51%,-2.36%,2.36%,5.38%,MMIX
13,05-11-2025,274,278,246,254,8.020.000,2.037.080.000,5.38%,6.92%,-5.38%,-2.31%,1.46%,8.63%,MMIX
14,04-11-2025,258,278,254,260,10.230.600,2.659.956.000,0.00%,7.75%,-1.55%,0.78%,7.75%,10.07%,MMIX
15,03-11-2025,254,260,250,258,5.713.100,1.473.979.800,0.00%,2.36%,-1.57%,1.57%,2.36%,3.85%,MMIX
16,31-10-2025,266,266,250,254,4.730.200,1.201.470.800,3.10%,3.10%,-3.10%,-1.55%,0.00%,6.77%,MMIX
17,30-10-2025,266,270,248,258,7.389.900,1.906.594.200,0.00%,1.50%,-6.77%,-3.01%,1.50%,8.89%,MMIX
18,29-10-2025,250,300,246,266,20.528.000,5.460.448.000,2.46%,22.95%,0.82%,9.02%,20.00%,27.33%,MMIX
19,28-10-2025,226,258,218,244,7.864.000,1.918.816.000,0.00%,14.16%,-3.54%,7.96%,14.16%,13.95%,MMIX
20,27-10-2025,256,256,222,226,6.699.800,1.514.154.800,-0.78%,-0.78%,-13.95%,-12.40%,0.00%,3.13%,MMIX
21,24-10-2025,270,296,248,258,20.176.400,5.205.511.200,-44.21%,-38.84%,-48.76%,-46.69%,9.63%,-61.49%,MMIX
