col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MMLP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MMLP
1,21-11-2025,565,565,560,565,2.820.300,1.593.469.500,0.00%,0.00%,-0.88%,0.00%,0.00%,0.88%,MMLP
2,20-11-2025,565,565,560,565,4.029.700,2.276.780.500,-0.88%,-0.88%,-1.75%,-0.88%,0.00%,0.00%,MMLP
3,19-11-2025,570,570,565,570,5.712.800,3.256.296.000,0.00%,0.00%,-0.88%,0.00%,0.00%,0.88%,MMLP
4,18-11-2025,570,570,565,570,1.721.800,981.426.000,0.00%,0.00%,-0.88%,0.00%,0.00%,0.88%,MMLP
5,17-11-2025,570,570,565,570,2.178.900,1.241.973.000,0.00%,0.00%,-0.88%,0.00%,0.00%,0.88%,MMLP
6,14-11-2025,565,570,565,570,2.488.300,1.418.331.000,0.00%,0.88%,0.00%,0.88%,0.88%,1.75%,MMLP
7,13-11-2025,565,565,560,565,9.220.700,5.209.695.500,0.00%,0.00%,-0.88%,0.00%,0.00%,0.88%,MMLP
8,12-11-2025,560,565,560,565,3.004.600,1.697.599.000,-0.88%,0.00%,-0.88%,0.00%,0.89%,0.88%,MMLP
9,11-11-2025,560,565,560,565,3.442.600,1.945.069.000,-0.88%,0.00%,-0.88%,0.00%,0.89%,0.88%,MMLP
10,10-11-2025,565,565,560,565,1.471.600,831.454.000,0.00%,0.00%,-0.88%,0.00%,0.00%,0.88%,MMLP
11,07-11-2025,565,565,560,565,1.126.200,636.303.000,0.89%,0.89%,0.00%,0.89%,0.00%,0.88%,MMLP
12,06-11-2025,565,565,560,560,1.996.800,1.118.208.000,0.89%,0.89%,0.00%,0.00%,0.00%,1.77%,MMLP
13,05-11-2025,560,565,555,560,4.265.200,2.388.512.000,0.00%,0.89%,-0.89%,0.00%,0.89%,1.77%,MMLP
14,04-11-2025,560,560,555,560,2.364.800,1.324.288.000,0.90%,0.90%,0.00%,0.90%,0.00%,0.89%,MMLP
15,03-11-2025,560,560,555,555,1.492.900,828.559.500,0.90%,0.90%,0.00%,0.00%,0.00%,0.89%,MMLP
16,31-10-2025,560,560,555,555,8.771.500,4.868.182.500,0.00%,0.00%,-0.89%,-0.89%,0.00%,0.89%,MMLP
17,30-10-2025,560,565,555,560,4.623.900,2.589.384.000,0.00%,0.89%,-0.89%,0.00%,0.89%,1.77%,MMLP
18,29-10-2025,560,565,555,560,29.000.300,16.240.168.000,0.90%,1.80%,0.00%,0.90%,0.89%,1.77%,MMLP
19,28-10-2025,560,560,555,555,5.130.600,2.847.483.000,0.00%,0.00%,-0.89%,-0.89%,0.00%,0.89%,MMLP
20,27-10-2025,560,560,555,560,4.927.900,2.759.624.000,0.00%,0.00%,-0.89%,0.00%,0.00%,0.89%,MMLP
21,24-10-2025,560,565,555,560,6.295.100,3.525.256.000,0.00%,0.89%,-0.89%,0.00%,0.89%,1.77%,MMLP
22,23-10-2025,560,565,555,560,6.666.800,3.733.408.000,-0.88%,0.00%,-1.77%,-0.88%,0.89%,0.88%,MMLP
23,22-10-2025,560,565,560,565,2.351.900,1.328.823.500,0.00%,0.89%,0.00%,0.89%,0.89%,0.88%,MMLP
24,21-10-2025,560,565,560,560,3.101.900,1.737.064.000,0.00%,0.89%,0.00%,0.00%,0.89%,1.77%,MMLP
25,20-10-2025,560,565,555,560,5.172.100,2.896.376.000,0.00%,0.89%,-0.89%,0.00%,0.89%,1.77%,MMLP
26,17-10-2025,555,560,555,560,9.055.000,5.070.800.000,-0.89%,0.00%,-0.89%,0.00%,0.90%,0.89%,MMLP
27,16-10-2025,560,565,555,560,5.242.900,2.936.024.000,0.00%,0.89%,-0.89%,0.00%,0.89%,1.77%,MMLP
28,15-10-2025,555,560,555,560,3.283.800,1.838.928.000,0.00%,0.90%,0.00%,0.90%,0.90%,0.89%,MMLP
29,14-10-2025,560,560,555,555,11.330.600,6.288.483.000,0.00%,0.00%,-0.89%,-0.89%,0.00%,0.89%,MMLP
30,13-10-2025,560,565,555,560,7.115.700,3.984.792.000,-0.88%,0.00%,-1.77%,-0.88%,0.89%,1.77%,MMLP
31,10-10-2025,565,565,555,565,8.121.100,4.588.421.500,0.00%,0.00%,-1.77%,0.00%,0.00%,1.77%,MMLP
32,09-10-2025,565,565,555,565,26.931.300,15.216.184.500,0.00%,0.00%,-1.77%,0.00%,0.00%,1.77%,MMLP
33,08-10-2025,560,565,555,565,16.066.500,9.077.572.500,0.90%,1.80%,0.00%,1.80%,0.89%,1.77%,MMLP
