col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MPIX
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MPIX
1,21-11-2025,70,71,69,69,4.072.600,281.009.400,0.00%,1.43%,-1.43%,-1.43%,1.43%,1.41%,MPIX
2,20-11-2025,72,72,70,70,6.966.300,487.641.000,0.00%,0.00%,-2.78%,-2.78%,0.00%,1.39%,MPIX
3,19-11-2025,73,75,71,72,17.529.100,1.262.095.200,0.00%,2.74%,-2.74%,-1.37%,2.74%,9.33%,MPIX
4,18-11-2025,70,74,68,73,36.763.100,2.683.706.300,1.45%,7.25%,-1.45%,5.80%,5.71%,8.11%,MPIX
5,17-11-2025,69,70,68,69,5.476.100,377.850.900,0.00%,1.45%,-1.45%,0.00%,1.45%,1.43%,MPIX
6,14-11-2025,70,72,69,69,9.237.500,637.387.500,0.00%,2.86%,-1.43%,-1.43%,2.86%,5.56%,MPIX
7,13-11-2025,68,70,68,70,13.392.600,937.482.000,0.00%,2.94%,0.00%,2.94%,2.94%,4.29%,MPIX
8,12-11-2025,67,68,67,68,3.783.200,257.257.600,0.00%,1.49%,0.00%,1.49%,1.49%,4.41%,MPIX
9,11-11-2025,67,69,65,67,4.153.900,278.311.300,0.00%,2.99%,-2.99%,0.00%,2.99%,5.80%,MPIX
10,10-11-2025,66,69,65,67,6.530.000,437.510.000,0.00%,4.55%,-1.52%,1.52%,4.55%,7.25%,MPIX
11,07-11-2025,67,67,64,66,4.949.200,326.647.200,1.52%,1.52%,-3.03%,0.00%,0.00%,1.49%,MPIX
12,06-11-2025,67,68,66,66,3.885.800,256.462.800,0.00%,1.49%,-1.49%,-1.49%,1.49%,2.94%,MPIX
13,05-11-2025,67,68,66,67,7.536.100,504.918.700,-2.90%,-1.45%,-4.35%,-2.90%,1.49%,5.88%,MPIX
14,04-11-2025,65,70,64,69,16.696.800,1.152.079.200,0.00%,7.69%,-1.54%,6.15%,7.69%,10.00%,MPIX
15,03-11-2025,64,65,63,65,3.041.300,197.684.500,0.00%,1.56%,-1.56%,1.56%,1.56%,1.54%,MPIX
16,31-10-2025,65,66,64,64,2.862.200,183.180.800,0.00%,1.54%,-1.54%,-1.54%,1.54%,3.03%,MPIX
17,30-10-2025,66,66,64,65,4.201.800,273.117.000,1.54%,1.54%,-1.54%,0.00%,0.00%,4.55%,MPIX
18,29-10-2025,64,68,63,65,38.075.300,2.474.894.500,-1.54%,4.62%,-3.08%,0.00%,6.25%,5.88%,MPIX
19,28-10-2025,67,67,64,65,10.226.700,664.735.500,1.52%,1.52%,-3.03%,-1.52%,0.00%,1.49%,MPIX
20,27-10-2025,67,68,66,66,14.162.500,934.725.000,-1.47%,0.00%,-2.94%,-2.94%,1.49%,1.47%,MPIX
