col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MPMX
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MPMX
1,21-11-2025,965,970,960,965,2.133.100,2.058.441.500,-0.52%,0.00%,-1.03%,-0.52%,0.52%,0.52%,MPMX
2,20-11-2025,965,970,965,970,1.531.300,1.485.361.000,0.00%,0.52%,0.00%,0.52%,0.52%,0.52%,MPMX
3,19-11-2025,965,970,965,965,1.376.200,1.328.033.000,0.00%,0.52%,0.00%,0.00%,0.52%,0.52%,MPMX
4,18-11-2025,975,975,965,965,1.359.400,1.311.821.000,0.52%,0.52%,-0.52%,-0.52%,0.00%,1.03%,MPMX
5,17-11-2025,970,975,965,970,1.242.300,1.205.031.000,0.52%,1.04%,0.00%,0.52%,0.52%,1.54%,MPMX
6,14-11-2025,965,970,960,965,1.768.800,1.706.892.000,0.00%,0.52%,-0.52%,0.00%,0.52%,1.03%,MPMX
7,13-11-2025,970,970,960,965,1.586.900,1.531.358.500,0.00%,0.00%,-1.03%,-0.52%,0.00%,0.52%,MPMX
8,12-11-2025,970,970,965,970,2.459.300,2.385.521.000,0.52%,0.52%,0.00%,0.52%,0.00%,0.52%,MPMX
9,11-11-2025,970,975,965,965,3.233.900,3.120.713.500,0.00%,0.52%,-0.52%,-0.52%,0.52%,1.03%,MPMX
10,10-11-2025,970,975,965,970,3.641.500,3.532.255.000,0.52%,1.04%,0.00%,0.52%,0.52%,1.03%,MPMX
11,07-11-2025,970,970,965,965,2.907.100,2.805.351.500,0.00%,0.00%,-0.52%,-0.52%,0.00%,0.52%,MPMX
12,06-11-2025,965,970,965,970,1.280.700,1.242.279.000,0.52%,1.04%,0.52%,1.04%,0.52%,1.03%,MPMX
13,05-11-2025,970,970,960,960,1.589.900,1.526.304.000,0.00%,0.00%,-1.03%,-1.03%,0.00%,1.03%,MPMX
14,04-11-2025,970,975,960,970,5.555.500,5.388.835.000,0.00%,0.52%,-1.03%,0.00%,0.52%,1.03%,MPMX
15,03-11-2025,970,970,965,970,2.352.800,2.282.216.000,0.00%,0.00%,-0.52%,0.00%,0.00%,0.52%,MPMX
16,31-10-2025,970,970,965,970,1.450.500,1.406.985.000,0.52%,0.52%,0.00%,0.52%,0.00%,0.52%,MPMX
17,30-10-2025,970,975,965,965,3.894.200,3.757.903.000,0.52%,1.04%,0.00%,0.00%,0.52%,1.54%,MPMX
18,29-10-2025,970,980,960,965,6.806.200,6.567.983.000,1.04%,2.08%,0.00%,0.52%,1.03%,3.57%,MPMX
19,28-10-2025,955,970,945,960,10.154.000,9.747.840.000,1.06%,2.65%,0.00%,1.59%,1.57%,3.61%,MPMX
20,27-10-2025,940,950,935,945,3.024.500,2.858.152.500,0.00%,1.06%,-0.53%,0.53%,1.06%,1.58%,MPMX
21,24-10-2025,935,945,935,940,2.988.900,2.809.566.000,0.00%,1.07%,0.00%,0.53%,1.07%,1.59%,MPMX
22,23-10-2025,930,940,930,935,2.495.100,2.332.918.500,0.00%,1.08%,0.00%,0.54%,1.08%,1.60%,MPMX
23,22-10-2025,930,935,925,930,3.095.900,2.879.187.000,0.00%,0.54%,-0.54%,0.00%,0.54%,1.07%,MPMX
24,21-10-2025,930,940,925,930,3.210.500,2.985.765.000,0.00%,1.08%,-0.54%,0.00%,1.08%,2.13%,MPMX
25,20-10-2025,920,935,920,930,1.445.200,1.344.036.000,0.00%,1.63%,0.00%,1.09%,1.63%,1.60%,MPMX
26,17-10-2025,925,930,920,920,4.192.800,3.857.376.000,0.54%,1.09%,0.00%,0.00%,0.54%,1.08%,MPMX
27,16-10-2025,925,930,920,920,1.642.800,1.511.376.000,0.54%,1.09%,0.00%,0.00%,0.54%,1.08%,MPMX
28,15-10-2025,925,930,920,920,2.321.100,2.135.412.000,0.00%,0.54%,-0.54%,-0.54%,0.54%,0.54%,MPMX
29,14-10-2025,935,935,925,925,3.177.300,2.939.002.500,0.54%,0.54%,-0.54%,-0.54%,0.00%,1.07%,MPMX
30,13-10-2025,935,935,925,930,3.165.400,2.943.822.000,0.00%,0.00%,-1.07%,-0.53%,0.00%,0.53%,MPMX
31,10-10-2025,930,935,930,935,1.015.800,949.773.000,0.00%,0.54%,0.00%,0.54%,0.54%,1.07%,MPMX
32,09-10-2025,930,935,925,930,2.898.900,2.695.977.000,0.54%,1.08%,0.00%,0.54%,0.54%,1.07%,MPMX
33,08-10-2025,930,935,925,925,2.884.600,2.668.255.000,0.00%,0.54%,-0.54%,-0.54%,0.54%,1.07%,MPMX
34,07-10-2025,930,935,925,930,2.867.800,2.667.054.000,0.00%,0.54%,-0.54%,0.00%,0.54%,1.07%,MPMX
35,06-10-2025,930,935,925,930,3.007.200,2.796.696.000,0.00%,0.54%,-0.54%,0.00%,0.54%,1.07%,MPMX
36,03-10-2025,925,935,925,930,2.812.100,2.615.253.000,-1.07%,0.00%,-1.07%,-0.53%,1.08%,0.53%,MPMX
37,02-10-2025,930,935,930,935,1.748.800,1.635.128.000,0.00%,0.54%,0.00%,0.54%,0.54%,0.53%,MPMX
38,01-10-2025,940,940,930,930,2.003.400,1.863.162.000,0.53%,0.53%,-0.53%,-0.53%,0.00%,1.06%,MPMX
39,30-09-2025,935,940,930,935,2.336.800,2.184.908.000,0.00%,0.53%,-0.53%,0.00%,0.53%,0.53%,MPMX
