col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MPOW
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MPOW
1,21-11-2025,113,133,113,121,31.683.400,3.833.691.400,0.00%,17.70%,0.00%,7.08%,17.70%,15.04%,MPOW
2,20-11-2025,116,116,113,113,1.804.300,203.885.900,0.87%,0.87%,-1.74%,-1.74%,0.00%,1.72%,MPOW
3,19-11-2025,116,117,114,115,1.619.700,186.265.500,0.87%,1.74%,-0.87%,0.00%,0.86%,2.56%,MPOW
4,18-11-2025,115,116,114,115,759.000,87.285.000,0.00%,0.87%,-0.87%,0.00%,0.87%,1.72%,MPOW
5,17-11-2025,117,117,114,115,910.400,104.696.000,2.63%,2.63%,0.00%,0.88%,0.00%,3.42%,MPOW
6,14-11-2025,117,117,113,114,2.244.100,255.827.400,0.00%,0.00%,-3.42%,-2.56%,0.00%,2.56%,MPOW
7,13-11-2025,117,120,114,117,5.537.400,647.875.800,0.86%,3.45%,-1.72%,0.86%,2.56%,4.17%,MPOW
8,12-11-2025,116,118,115,116,1.588.300,184.242.800,-0.85%,0.85%,-1.71%,-0.85%,1.72%,1.69%,MPOW
9,11-11-2025,118,118,116,117,2.768.800,323.949.600,0.85%,0.85%,-0.85%,0.00%,0.00%,1.69%,MPOW
10,10-11-2025,116,118,116,117,1.883.600,220.381.200,-0.85%,0.85%,-0.85%,0.00%,1.72%,1.69%,MPOW
11,07-11-2025,118,118,116,117,2.950.300,345.185.100,1.72%,1.72%,0.00%,0.86%,0.00%,1.69%,MPOW
12,06-11-2025,116,123,116,116,9.401.600,1.090.585.600,0.87%,6.96%,0.87%,0.87%,6.03%,7.32%,MPOW
13,05-11-2025,115,125,114,115,31.219.800,3.590.277.000,0.88%,9.65%,0.00%,0.88%,8.70%,8.80%,MPOW
14,04-11-2025,115,117,114,114,3.072.900,350.310.600,0.00%,1.74%,-0.87%,-0.87%,1.74%,3.42%,MPOW
15,03-11-2025,115,121,113,115,8.371.100,962.676.500,0.88%,6.14%,-0.88%,0.88%,5.22%,5.79%,MPOW
16,31-10-2025,118,119,114,114,5.113.900,582.984.600,0.00%,0.85%,-3.39%,-3.39%,0.85%,6.72%,MPOW
17,30-10-2025,119,136,111,118,98.131.500,11.579.517.000,5.31%,20.35%,-1.77%,4.42%,14.29%,21.32%,MPOW
18,29-10-2025,111,116,107,113,2.602.400,294.071.200,0.91%,5.45%,-2.73%,2.73%,4.50%,6.90%,MPOW
19,28-10-2025,111,113,108,110,840.000,92.400.000,-0.89%,0.89%,-3.57%,-1.79%,1.80%,2.65%,MPOW
20,27-10-2025,112,114,110,112,470.500,52.696.000,-0.88%,0.88%,-2.65%,-0.88%,1.79%,2.63%,MPOW
21,24-10-2025,114,115,111,113,124.500,14.068.500,0.00%,0.88%,-2.63%,-0.88%,0.88%,3.48%,MPOW
22,23-10-2025,112,115,111,114,440.900,50.262.600,-0.88%,1.77%,-1.77%,0.88%,2.68%,4.35%,MPOW
23,22-10-2025,111,116,110,113,1.189.100,134.368.300,0.91%,5.45%,0.00%,2.73%,4.50%,5.17%,MPOW
24,21-10-2025,112,113,110,110,402.400,44.264.000,1.82%,2.73%,0.00%,0.00%,0.89%,4.42%,MPOW
25,20-10-2025,108,117,108,110,5.861.500,644.765.000,0.93%,9.35%,0.93%,2.80%,8.33%,9.40%,MPOW
26,17-10-2025,113,113,106,107,1.184.600,126.752.200,0.89%,0.89%,-5.36%,-4.46%,0.00%,2.65%,MPOW
27,16-10-2025,111,114,110,112,1.078.200,120.758.400,0.00%,2.70%,-0.90%,0.90%,2.70%,3.51%,MPOW
28,15-10-2025,114,114,110,111,1.156.800,128.404.800,0.88%,0.88%,-2.65%,-1.77%,0.00%,2.63%,MPOW
29,14-10-2025,114,114,111,113,1.359.200,153.589.600,0.00%,0.00%,-2.63%,-0.88%,0.00%,0.88%,MPOW
30,13-10-2025,114,115,113,114,522.400,59.553.600,0.00%,0.88%,-0.88%,0.00%,0.88%,0.87%,MPOW
31,10-10-2025,116,117,114,114,1.057.100,120.509.400,0.00%,0.86%,-1.72%,-1.72%,0.86%,1.71%,MPOW
32,09-10-2025,117,117,115,116,680.500,78.938.000,0.86%,0.86%,-0.86%,0.00%,0.00%,2.56%,MPOW
33,08-10-2025,115,117,114,116,1.540.400,178.686.400,-0.86%,0.86%,-1.72%,0.00%,1.74%,3.42%,MPOW
34,07-10-2025,115,118,113,116,1.997.900,231.756.400,0.00%,2.61%,-1.74%,0.87%,2.61%,4.24%,MPOW
35,06-10-2025,115,116,113,115,2.017.200,231.978.000,0.00%,0.87%,-1.74%,0.00%,0.87%,0.86%,MPOW
36,03-10-2025,116,117,115,115,1.900.500,218.557.500,0.87%,1.74%,0.00%,0.00%,0.86%,1.71%,MPOW
37,02-10-2025,116,118,115,115,1.404.600,161.529.000,0.87%,2.61%,0.00%,0.00%,1.72%,4.24%,MPOW
38,01-10-2025,119,119,113,115,5.450.500,626.807.500,0.85%,0.85%,-4.24%,-2.54%,0.00%,1.68%,MPOW
39,30-09-2025,128,129,117,118,10.268.500,1.211.683.000,0.00%,0.78%,-8.59%,-7.81%,0.78%,13.18%,MPOW
40,29-09-2025,113,133,112,128,46.957.500,6.010.560.000,-0.88%,16.67%,-1.75%,12.28%,17.70%,15.04%,MPOW
41,26-09-2025,114,115,113,114,260.900,29.742.600,0.00%,0.88%,-0.88%,0.00%,0.88%,2.61%,MPOW
42,25-09-2025,117,117,112,114,1.265.500,144.267.000,0.00%,0.00%,-4.27%,-2.56%,0.00%,0.85%,MPOW
43,24-09-2025,117,119,116,117,956.400,111.898.800,0.00%,1.71%,-0.85%,0.00%,1.71%,3.36%,MPOW
44,23-09-2025,118,120,115,117,1.161.400,135.883.800,0.00%,1.69%,-2.54%,-0.85%,1.69%,5.00%,MPOW
45,22-09-2025,116,119,114,118,1.677.600,197.956.800,0.87%,3.48%,-0.87%,2.61%,2.59%,3.36%,MPOW
46,19-09-2025,118,119,115,115,1.214.800,139.702.000,0.00%,0.85%,-2.54%,-2.54%,0.85%,1.68%,MPOW
47,18-09-2025,120,122,117,118,1.711.400,201.945.200,1.69%,3.39%,-0.85%,0.00%,1.67%,3.28%,MPOW
48,17-09-2025,120,122,118,118,2.554.700,301.454.600,0.84%,2.52%,-0.84%,-0.84%,1.67%,4.92%,MPOW
49,16-09-2025,118,128,116,119,16.317.100,1.941.734.900,1.72%,10.34%,0.00%,2.59%,8.47%,10.16%,MPOW
50,15-09-2025,117,118,115,116,1.255.200,145.603.200,0.00%,0.85%,-1.71%,-0.85%,0.85%,3.39%,MPOW
51,12-09-2025,115,119,114,117,681.800,79.770.600,0.00%,3.48%,-0.87%,1.74%,3.48%,5.88%,MPOW
52,11-09-2025,112,117,112,115,569.400,65.481.000,0.00%,4.46%,0.00%,2.68%,4.46%,4.27%,MPOW
53,10-09-2025,117,117,112,112,422.900,47.364.800,2.63%,2.63%,-1.75%,-1.75%,0.00%,5.98%,MPOW
54,09-09-2025,118,118,110,114,1.049.600,119.654.400,3.51%,3.51%,-3.51%,0.00%,0.00%,3.39%,MPOW
55,08-09-2025,117,120,114,114,773.600,88.190.400,0.00%,2.56%,-2.56%,-2.56%,2.56%,3.33%,MPOW
56,04-09-2025,118,119,116,117,672.200,78.647.400,0.00%,0.85%,-1.69%,-0.85%,0.85%,1.68%,MPOW
57,03-09-2025,119,120,117,118,1.019.800,120.336.400,0.85%,1.69%,-0.85%,0.00%,0.84%,4.17%,MPOW
58,02-09-2025,115,122,115,118,2.197.000,259.246.000,1.77%,7.96%,1.77%,4.42%,6.09%,13.11%,MPOW
59,01-09-2025,106,116,106,113,3.658.000,413.354.000,-10.92%,-2.52%,-10.92%,-5.04%,9.43%,0.86%,MPOW
60,29-08-2025,123,123,115,119,4.298.100,511.473.900,0.00%,0.00%,-6.50%,-3.25%,0.00%,0.81%,MPOW
61,28-08-2025,123,125,122,123,2.020.100,248.472.300,0.00%,1.63%,-0.81%,0.00%,1.63%,1.60%,MPOW
62,27-08-2025,124,127,123,123,2.490.100,306.282.300,0.00%,2.42%,-0.81%,-0.81%,2.42%,3.15%,MPOW
63,26-08-2025,127,128,123,124,2.268.800,281.331.200,0.79%,1.59%,-2.38%,-1.59%,0.79%,4.69%,MPOW
64,25-08-2025,123,135,122,126,13.658.400,1.720.958.400,0.00%,9.76%,-0.81%,2.44%,9.76%,9.63%,MPOW
65,22-08-2025,125,127,122,123,3.916.100,481.680.300,1.63%,3.25%,-0.81%,0.00%,1.60%,4.72%,MPOW
66,21-08-2025,122,139,121,123,42.754.700,5.258.828.100,0.00%,13.93%,-0.82%,0.82%,13.93%,13.67%,MPOW
67,20-08-2025,122,123,120,122,2.626.500,320.433.000,0.00%,0.82%,-1.64%,0.00%,0.82%,2.44%,MPOW
68,19-08-2025,121,122,120,122,603.400,73.614.800,0.83%,1.67%,0.00%,1.67%,0.83%,1.64%,MPOW
69,15-08-2025,121,124,120,120,2.579.200,309.504.000,0.00%,2.48%,-0.83%,-0.83%,2.48%,2.42%,MPOW
70,14-08-2025,121,123,121,121,1.434.700,173.598.700,-0.82%,0.82%,-0.82%,-0.82%,1.65%,1.63%,MPOW
71,13-08-2025,122,130,121,122,4.433.600,540.899.200,-0.81%,5.69%,-1.63%,-0.81%,6.56%,6.15%,MPOW
72,12-08-2025,128,128,122,123,2.816.200,346.392.600,2.40%,2.40%,-2.40%,-1.60%,0.00%,6.25%,MPOW
73,11-08-2025,124,132,120,125,9.197.500,1.149.687.500,0.00%,6.45%,-3.23%,0.81%,6.45%,7.58%,MPOW
74,08-08-2025,127,129,122,124,7.458.200,924.816.800,1.60%,3.20%,-2.40%,-0.80%,1.57%,4.65%,MPOW
75,07-08-2025,128,129,123,125,6.510.200,813.775.000,3.23%,4.03%,-0.81%,0.81%,0.78%,3.88%,MPOW
76,06-08-2025,130,134,124,124,28.267.600,3.505.182.400,6.56%,9.84%,1.64%,1.64%,3.08%,10.45%,MPOW
77,05-08-2025,125,129,120,122,4.095.400,499.638.800,0.00%,3.20%,-4.00%,-2.40%,3.20%,5.43%,MPOW
78,04-08-2025,129,129,122,125,9.474.500,1.184.312.500,0.00%,0.00%,-5.43%,-3.10%,0.00%,3.88%,MPOW
79,01-08-2025,140,140,124,129,15.427.400,1.990.134.600,6.06%,6.06%,-6.06%,-2.27%,0.00%,21.43%,MPOW
80,31-07-2025,131,142,110,132,103.148.500,13.615.602.000,3.97%,12.70%,-12.70%,4.76%,8.40%,16.90%,MPOW
81,30-07-2025,120,127,118,126,6.386.900,804.749.400,0.00%,5.83%,-1.67%,5.00%,5.83%,7.87%,MPOW
82,29-07-2025,119,120,117,120,1.110.400,133.248.000,0.85%,1.69%,-0.85%,1.69%,0.84%,1.67%,MPOW
83,28-07-2025,122,122,118,118,5.662.600,668.186.800,-2.40%,-2.40%,-5.60%,-5.60%,0.00%,5.74%,MPOW
84,25-07-2025,116,129,115,125,16.442.500,2.055.312.500,0.00%,11.21%,-0.86%,7.76%,11.21%,12.40%,MPOW
85,24-07-2025,116,117,113,116,657.600,76.281.600,0.00%,0.86%,-2.59%,0.00%,0.86%,1.71%,MPOW
86,23-07-2025,117,120,115,116,1.119.300,129.838.800,-0.85%,1.69%,-2.54%,-1.69%,2.56%,4.17%,MPOW
87,22-07-2025,115,119,115,118,837.700,98.848.600,-1.71%,1.71%,-1.71%,0.85%,3.48%,5.04%,MPOW
88,21-07-2025,115,118,113,117,865.500,101.263.500,-0.86%,1.72%,-2.59%,0.86%,2.61%,2.54%,MPOW
89,18-07-2025,116,117,115,116,754.800,87.556.800,0.87%,1.74%,0.00%,0.87%,0.86%,3.42%,MPOW
90,17-07-2025,114,118,113,115,2.063.300,237.279.500,0.88%,4.42%,0.00%,1.77%,3.51%,5.08%,MPOW
91,16-07-2025,114,115,112,113,948.900,107.225.700,0.88%,1.77%,-0.88%,0.00%,0.88%,3.48%,MPOW
92,15-07-2025,115,115,111,113,1.048.200,118.446.600,0.00%,0.00%,-3.48%,-1.74%,0.00%,0.00%,MPOW
93,14-07-2025,117,118,115,115,1.317.000,151.455.000,-0.85%,0.00%,-2.54%,-2.54%,0.85%,0.85%,MPOW
94,11-07-2025,119,120,117,118,1.496.100,176.539.800,0.00%,0.84%,-1.68%,-0.84%,0.84%,2.50%,MPOW
95,10-07-2025,119,122,117,119,3.168.600,377.063.400,0.00%,2.52%,-1.68%,0.00%,2.52%,4.10%,MPOW
96,09-07-2025,121,121,117,119,3.844.000,457.436.000,1.68%,1.68%,-1.68%,0.00%,0.00%,3.31%,MPOW
97,08-07-2025,123,125,117,119,6.467.900,769.680.100,0.82%,2.46%,-4.10%,-2.46%,1.63%,2.40%,MPOW
98,07-07-2025,131,140,122,122,43.546.400,5.312.660.800,9.17%,16.67%,1.67%,1.67%,6.87%,15.71%,MPOW
99,04-07-2025,120,123,118,120,1.234.000,148.080.000,0.00%,2.50%,-1.67%,0.00%,2.50%,3.25%,MPOW
100,03-07-2025,119,122,119,120,457.900,54.948.000,-0.83%,1.67%,-0.83%,0.00%,2.52%,2.46%,MPOW
101,02-07-2025,122,123,119,120,877.200,105.264.000,0.00%,0.82%,-2.46%,-1.64%,0.82%,2.44%,MPOW
102,01-07-2025,126,127,120,122,1.896.300,231.348.600,1.61%,2.42%,-3.23%,-1.61%,0.79%,6.30%,MPOW
