col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MPRO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MPRO
1,21-11-2025,9.000,9.200,8.600,9.000,20.500,184.500.000,0.00%,2.22%,-4.44%,0.00%,2.22%,8.15%,MPRO
2,20-11-2025,8.700,9.250,8.450,9.000,46.500,418.500.000,0.00%,6.32%,-2.87%,3.45%,6.32%,14.32%,MPRO
3,19-11-2025,8.200,9.700,7.925,8.700,143.900,1.251.930.000,1.23%,19.75%,-2.16%,7.41%,18.29%,23.20%,MPRO
4,18-11-2025,8.500,8.500,7.450,8.100,21.800,176.580.000,0.00%,0.00%,-12.35%,-4.71%,0.00%,5.88%,MPRO
5,17-11-2025,9.400,9.400,8.000,8.500,104.200,885.700.000,2.45%,2.45%,-12.81%,-7.36%,0.00%,2.93%,MPRO
6,14-11-2025,9.900,10.300,9.125,9.175,142.200,1.304.685.000,0.25%,4.30%,-7.59%,-7.09%,4.04%,12.62%,MPRO
7,13-11-2025,10.800,10.800,9.000,9.875,207.300,2.047.087.500,20.00%,20.00%,0.00%,9.72%,0.00%,30.56%,MPRO
8,12-11-2025,7.550,9.000,7.500,9.000,56.800,511.200.000,0.67%,20.00%,0.00%,20.00%,19.21%,22.22%,MPRO
9,11-11-2025,7.000,8.000,7.000,7.500,98.200,736.500.000,0.00%,14.29%,0.00%,7.14%,14.29%,15.63%,MPRO
10,10-11-2025,6.750,7.200,6.750,7.000,46.900,328.300.000,-3.57%,2.86%,-3.57%,0.00%,6.67%,8.33%,MPRO
11,07-11-2025,6.950,7.150,6.600,7.000,117.600,823.200.000,0.00%,2.88%,-5.04%,0.72%,2.88%,4.55%,MPRO
12,06-11-2025,7.025,7.250,6.825,6.950,15.300,106.335.000,0.00%,3.20%,-2.85%,-1.07%,3.20%,6.21%,MPRO
13,05-11-2025,7.050,7.150,6.800,7.025,136.300,957.507.500,0.36%,1.78%,-3.20%,0.00%,1.42%,9.09%,MPRO
14,04-11-2025,6.575,7.025,6.500,7.025,82.500,579.562.500,0.00%,6.84%,-1.14%,6.84%,6.84%,8.19%,MPRO
15,03-11-2025,6.450,6.600,6.450,6.575,4.100,26.957.500,-0.77%,1.54%,-0.77%,1.15%,2.33%,1.89%,MPRO
16,31-10-2025,6.475,6.700,6.475,6.500,2.600,16.900.000,-1.89%,1.52%,-1.89%,-1.52%,3.47%,4.10%,MPRO
