col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MRAT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MRAT
1,21-11-2025,364,368,352,362,747.700,270.667.400,0.00%,1.10%,-3.30%,-0.55%,1.10%,5.43%,MRAT
2,20-11-2025,350,372,348,364,753.100,274.128.400,0.00%,6.29%,-0.57%,4.00%,6.29%,7.53%,MRAT
3,19-11-2025,348,356,344,350,646.400,226.240.000,0.00%,2.30%,-1.15%,0.57%,2.30%,2.25%,MRAT
4,18-11-2025,356,356,348,348,220.500,76.734.000,0.56%,0.56%,-1.69%,-1.69%,0.00%,1.12%,MRAT
5,17-11-2025,362,366,352,354,171.200,60.604.800,1.69%,2.81%,-1.12%,-0.56%,1.10%,3.28%,MRAT
6,14-11-2025,370,370,354,356,590.200,210.111.200,0.00%,0.00%,-4.32%,-3.78%,0.00%,2.16%,MRAT
7,13-11-2025,380,384,362,370,1.129.500,417.915.000,0.00%,1.05%,-4.74%,-2.63%,1.05%,3.65%,MRAT
8,12-11-2025,382,386,370,380,629.000,239.020.000,0.00%,1.05%,-3.14%,-0.52%,1.05%,2.07%,MRAT
9,11-11-2025,390,392,378,382,839.000,320.498.000,1.04%,1.55%,-2.07%,-1.04%,0.51%,2.55%,MRAT
10,10-11-2025,382,466,382,386,4.534.800,1.750.432.800,-0.52%,21.35%,-0.52%,0.52%,21.99%,18.88%,MRAT
11,07-11-2025,388,390,378,384,331.000,127.104.000,1.04%,1.56%,-1.56%,0.00%,0.52%,2.56%,MRAT
12,06-11-2025,386,390,380,384,395.700,151.948.800,0.00%,1.04%,-1.55%,-0.52%,1.04%,3.59%,MRAT
13,05-11-2025,398,398,376,386,684.500,264.217.000,0.00%,0.00%,-5.53%,-3.02%,0.00%,4.02%,MRAT
14,04-11-2025,386,470,382,398,5.099.200,2.029.481.600,-1.53%,19.90%,-2.55%,1.53%,21.76%,18.72%,MRAT
15,03-11-2025,406,406,382,392,1.136.400,445.468.800,-0.49%,-0.49%,-6.37%,-3.92%,0.00%,6.40%,MRAT
16,31-10-2025,402,412,380,408,1.529.400,623.995.200,-2.43%,0.00%,-7.77%,-0.97%,2.49%,2.43%,MRAT
17,30-10-2025,414,414,402,412,531.900,219.142.800,0.00%,0.00%,-2.90%,-0.48%,0.00%,2.90%,MRAT
18,29-10-2025,418,418,402,414,652.600,270.176.400,0.00%,0.00%,-3.83%,-0.96%,0.00%,1.44%,MRAT
19,28-10-2025,428,428,412,418,619.800,259.076.400,0.47%,0.47%,-3.29%,-1.88%,0.00%,0.93%,MRAT
20,27-10-2025,448,448,424,426,512.700,218.410.200,0.00%,0.00%,-5.36%,-4.91%,0.00%,5.36%,MRAT
21,24-10-2025,440,490,424,448,2.366.600,1.060.236.800,2.33%,13.95%,-1.40%,4.19%,11.36%,14.69%,MRAT
22,23-10-2025,434,438,418,430,1.796.700,772.581.000,0.00%,0.92%,-3.69%,-0.92%,0.92%,4.57%,MRAT
23,22-10-2025,432,458,418,434,779.000,338.086.000,0.00%,6.02%,-3.24%,0.46%,6.02%,8.30%,MRAT
24,21-10-2025,424,448,420,432,708.400,306.028.800,0.00%,5.66%,-0.94%,1.89%,5.66%,7.14%,MRAT
25,20-10-2025,428,496,416,424,3.367.300,1.427.735.200,0.00%,15.89%,-2.80%,-0.93%,15.89%,16.94%,MRAT
26,17-10-2025,458,466,412,428,1.395.400,597.231.200,0.00%,1.75%,-10.04%,-6.55%,1.75%,7.30%,MRAT
27,16-10-2025,540,540,432,458,5.657.400,2.591.089.200,8.43%,8.43%,-13.25%,-8.03%,0.00%,15.19%,MRAT
28,15-10-2025,560,645,458,498,16.075.700,8.005.698.600,6.67%,22.86%,-12.76%,-5.14%,15.18%,34.57%,MRAT
29,14-10-2025,422,525,422,525,6.837.900,3.589.897.500,0.48%,25.00%,0.48%,25.00%,24.41%,38.29%,MRAT
30,13-10-2025,336,420,324,420,6.265.600,2.631.552.000,0.00%,25.00%,-3.57%,25.00%,25.00%,21.43%,MRAT
