col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MSIN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MSIN
1,21-11-2025,498,500,490,498,36.777.100,18.314.995.800,0.00%,0.40%,-1.61%,0.00%,0.40%,1.60%,MSIN
2,20-11-2025,500,500,492,498,24.952.300,12.426.245.400,0.40%,0.40%,-1.20%,0.00%,0.00%,1.60%,MSIN
3,19-11-2025,500,500,492,498,26.446.700,13.170.456.600,0.40%,0.40%,-1.20%,0.00%,0.00%,2.00%,MSIN
4,18-11-2025,505,505,490,498,32.023.900,15.947.902.200,1.00%,1.00%,-2.00%,-0.40%,0.00%,1.78%,MSIN
5,17-11-2025,500,500,496,500,27.335.500,13.667.750.000,0.00%,0.00%,-0.80%,0.00%,0.00%,1.20%,MSIN
6,14-11-2025,505,505,494,500,22.170.900,11.085.450.000,1.00%,1.00%,-1.20%,0.00%,0.00%,1.39%,MSIN
7,13-11-2025,505,505,498,500,44.821.400,22.410.700.000,0.00%,0.00%,-1.39%,-0.99%,0.00%,1.78%,MSIN
8,12-11-2025,505,505,496,505,31.989.800,16.154.849.000,1.00%,1.00%,-0.80%,1.00%,0.00%,1.39%,MSIN
9,11-11-2025,505,505,498,500,26.121.900,13.060.950.000,1.00%,1.00%,-0.40%,0.00%,0.00%,1.78%,MSIN
10,10-11-2025,510,515,496,500,30.175.800,15.087.900.000,0.00%,0.98%,-2.75%,-1.96%,0.98%,1.94%,MSIN
11,07-11-2025,525,530,505,510,29.592.100,15.091.971.000,0.00%,0.95%,-3.81%,-2.86%,0.95%,3.77%,MSIN
12,06-11-2025,515,535,510,525,65.570.400,34.424.460.000,1.98%,5.94%,0.99%,3.96%,3.88%,8.79%,MSIN
13,05-11-2025,505,505,488,505,27.963.600,14.121.618.000,0.00%,0.00%,-3.37%,0.00%,0.00%,0.99%,MSIN
14,04-11-2025,505,520,500,505,29.885.900,15.092.379.500,0.00%,2.97%,-0.99%,0.00%,2.97%,3.85%,MSIN
15,03-11-2025,505,505,500,505,32.074.500,16.197.622.500,0.00%,0.00%,-0.99%,0.00%,0.00%,0.99%,MSIN
16,31-10-2025,505,505,500,505,25.070.400,12.660.552.000,0.00%,0.00%,-0.99%,0.00%,0.00%,1.39%,MSIN
17,30-10-2025,510,510,498,505,29.448.100,14.871.290.500,0.99%,0.99%,-1.39%,0.00%,0.00%,2.35%,MSIN
18,29-10-2025,505,510,498,505,26.471.600,13.368.158.000,1.00%,2.00%,-0.40%,1.00%,0.99%,3.92%,MSIN
19,28-10-2025,492,505,490,500,20.818.100,10.409.050.000,0.41%,3.06%,0.00%,2.04%,2.64%,3.76%,MSIN
20,27-10-2025,520,520,486,490,33.153.700,16.245.313.000,0.97%,0.97%,-5.63%,-4.85%,0.00%,1.92%,MSIN
21,24-10-2025,520,525,510,515,29.385.800,15.133.687.000,0.97%,1.94%,-0.97%,0.00%,0.96%,3.81%,MSIN
22,23-10-2025,515,520,505,515,35.942.700,18.510.490.500,0.00%,0.97%,-1.94%,0.00%,0.97%,2.88%,MSIN
23,22-10-2025,525,530,505,515,28.494.200,14.674.513.000,0.96%,1.92%,-2.88%,-0.96%,0.95%,5.66%,MSIN
24,21-10-2025,505,520,500,520,30.117.000,15.660.840.000,1.00%,4.00%,0.00%,4.00%,2.97%,3.85%,MSIN
25,20-10-2025,525,525,500,500,35.647.900,17.823.950.000,0.96%,0.96%,-3.85%,-3.85%,0.00%,2.86%,MSIN
26,17-10-2025,525,530,510,520,29.292.200,15.231.944.000,0.00%,0.95%,-2.86%,-0.95%,0.95%,5.66%,MSIN
27,16-10-2025,540,540,500,525,28.217.600,14.814.240.000,0.93%,0.93%,-6.54%,-1.87%,0.00%,5.56%,MSIN
28,15-10-2025,515,555,510,535,42.468.500,22.720.647.500,0.98%,8.82%,0.00%,4.90%,7.77%,8.11%,MSIN
29,14-10-2025,550,550,510,510,25.358.900,12.933.039.000,0.92%,0.92%,-6.42%,-6.42%,0.00%,2.73%,MSIN
30,13-10-2025,560,560,535,545,28.892.200,15.746.249.000,0.90%,0.90%,-3.60%,-1.80%,0.00%,1.79%,MSIN
31,10-10-2025,570,570,550,555,31.392.400,17.422.782.000,0.88%,0.88%,-2.65%,-1.77%,0.00%,3.51%,MSIN
32,09-10-2025,560,565,550,565,36.662.500,20.714.312.500,0.90%,1.80%,-0.90%,1.80%,0.89%,3.54%,MSIN
33,08-10-2025,570,575,545,555,38.126.400,21.160.152.000,0.88%,1.77%,-3.54%,-1.77%,0.88%,4.35%,MSIN
34,07-10-2025,560,575,550,565,40.014.300,22.608.079.500,0.90%,3.60%,-0.90%,1.80%,2.68%,5.22%,MSIN
35,06-10-2025,555,565,545,555,40.255.400,22.341.747.000,0.91%,2.73%,-0.91%,0.91%,1.80%,4.42%,MSIN
36,03-10-2025,560,565,540,550,26.700.700,14.685.385.000,0.90%,1.80%,-2.70%,-0.90%,0.89%,6.19%,MSIN
37,02-10-2025,540,560,530,555,21.497.400,11.931.057.000,0.93%,4.67%,-0.93%,3.74%,3.70%,9.82%,MSIN
38,01-10-2025,530,535,505,535,22.725.900,12.158.356.500,0.95%,1.90%,-3.81%,1.90%,0.94%,1.87%,MSIN
39,30-09-2025,555,560,525,525,18.195.800,9.552.795.000,0.91%,1.82%,-4.55%,-4.55%,0.90%,4.46%,MSIN
40,29-09-2025,555,560,535,550,24.029.400,13.216.170.000,0.91%,1.82%,-2.73%,0.00%,0.90%,2.68%,MSIN
41,26-09-2025,570,570,545,550,17.407.000,9.573.850.000,0.88%,0.88%,-3.54%,-2.65%,0.00%,2.63%,MSIN
42,25-09-2025,575,575,555,565,25.608.300,14.468.689.500,0.88%,0.88%,-2.63%,-0.88%,0.00%,5.22%,MSIN
43,24-09-2025,565,585,545,570,29.019.700,16.541.229.000,0.89%,4.46%,-2.68%,1.79%,3.54%,6.84%,MSIN
44,23-09-2025,565,565,545,560,23.132.200,12.954.032.000,0.89%,0.89%,-2.68%,0.00%,0.00%,3.54%,MSIN
45,22-09-2025,565,565,545,560,22.266.400,12.469.184.000,0.89%,0.89%,-2.68%,0.00%,0.00%,7.08%,MSIN
46,19-09-2025,570,570,525,560,14.227.400,7.967.344.000,0.88%,0.88%,-7.08%,-0.88%,0.00%,8.77%,MSIN
47,18-09-2025,590,595,520,565,23.433.500,13.239.927.500,0.85%,1.71%,-11.11%,-3.42%,0.85%,2.52%,MSIN
48,17-09-2025,630,630,580,585,23.436.200,13.710.177.000,0.80%,0.80%,-7.20%,-6.40%,0.00%,2.38%,MSIN
49,16-09-2025,660,660,615,625,16.547.800,10.342.375.000,0.76%,0.76%,-6.11%,-4.58%,0.00%,10.61%,MSIN
50,15-09-2025,595,670,590,655,63.248.000,41.427.440.000,0.85%,13.56%,0.00%,11.02%,12.61%,14.93%,MSIN
51,12-09-2025,595,595,570,590,16.104.000,9.501.360.000,0.85%,0.85%,-3.39%,0.00%,0.00%,7.56%,MSIN
52,11-09-2025,605,605,550,590,16.299.800,9.616.882.000,0.83%,0.83%,-8.33%,-1.67%,0.00%,2.48%,MSIN
53,10-09-2025,610,615,590,600,17.056.400,10.233.840.000,0.83%,1.65%,-2.48%,-0.83%,0.82%,13.01%,MSIN
54,09-09-2025,595,615,535,605,45.310.500,27.412.852.500,0.85%,4.24%,-9.32%,2.54%,3.36%,7.32%,MSIN
55,08-09-2025,670,675,570,590,54.830.400,32.349.936.000,0.75%,1.50%,-14.29%,-11.28%,0.75%,22.96%,MSIN
56,04-09-2025,540,665,520,665,161.612.300,107.472.179.500,0.93%,24.30%,-2.80%,24.30%,23.15%,21.80%,MSIN
57,03-09-2025,535,540,520,535,37.859.300,20.254.725.500,0.94%,1.89%,-1.89%,0.94%,0.93%,5.56%,MSIN
58,02-09-2025,515,540,510,530,32.572.500,17.263.425.000,0.98%,5.88%,0.00%,3.92%,4.85%,14.44%,MSIN
59,01-09-2025,488,530,462,510,65.699.500,33.506.745.000,-1.61%,6.85%,-6.85%,2.82%,8.61%,9.06%,MSIN
60,29-08-2025,570,570,482,496,37.789.400,18.743.542.400,0.88%,0.88%,-14.69%,-12.21%,0.00%,13.33%,MSIN
61,28-08-2025,505,585,494,565,69.245.700,39.123.820.500,1.00%,17.00%,-1.20%,13.00%,15.84%,18.29%,MSIN
62,27-08-2025,484,505,478,500,46.392.100,23.196.050.000,0.41%,4.77%,-0.83%,3.73%,4.34%,5.74%,MSIN
63,26-08-2025,484,490,476,482,29.505.200,14.221.506.400,0.41%,1.66%,-1.24%,0.00%,1.24%,2.86%,MSIN
64,25-08-2025,492,492,476,482,28.279.000,13.630.478.000,0.41%,0.41%,-2.86%,-1.63%,0.00%,0.81%,MSIN
65,22-08-2025,498,498,488,490,28.140.900,13.789.041.000,0.40%,0.40%,-1.61%,-1.21%,0.00%,2.01%,MSIN
