col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MSKY
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MSKY
1,21-11-2025,82,83,81,82,2.744.300,225.032.600,0.00%,1.22%,-1.22%,0.00%,1.22%,2.41%,MSKY
2,20-11-2025,82,84,81,82,5.915.800,485.095.600,0.00%,2.44%,-1.22%,0.00%,2.44%,3.57%,MSKY
3,19-11-2025,83,84,81,82,6.501.800,533.147.600,0.00%,1.20%,-2.41%,-1.20%,1.20%,2.38%,MSKY
4,18-11-2025,83,85,82,83,7.157.700,594.089.100,-1.19%,1.19%,-2.38%,-1.19%,2.41%,4.71%,MSKY
5,17-11-2025,82,86,81,84,20.527.400,1.724.301.600,0.00%,4.88%,-1.22%,2.44%,4.88%,5.81%,MSKY
6,14-11-2025,88,91,81,82,19.248.200,1.578.352.400,3.53%,7.06%,-4.71%,-3.53%,3.41%,10.99%,MSKY
7,13-11-2025,82,98,81,85,165.454.400,14.063.624.000,2.50%,22.50%,1.25%,6.25%,19.51%,18.37%,MSKY
8,12-11-2025,81,82,80,80,4.477.800,358.224.000,0.00%,1.23%,-1.23%,-1.23%,1.23%,2.44%,MSKY
9,11-11-2025,81,83,80,81,5.442.600,440.850.600,-1.22%,1.22%,-2.44%,-1.22%,2.47%,3.61%,MSKY
10,10-11-2025,81,82,80,82,3.327.300,272.838.600,1.25%,2.50%,0.00%,2.50%,1.23%,2.44%,MSKY
11,07-11-2025,82,82,80,80,3.606.600,288.528.000,1.23%,1.23%,-1.23%,-1.23%,0.00%,3.66%,MSKY
12,06-11-2025,79,87,79,81,27.318.100,2.212.766.100,1.28%,11.54%,1.28%,3.85%,10.13%,10.34%,MSKY
13,05-11-2025,80,82,78,78,17.889.200,1.395.357.600,0.00%,2.50%,-2.50%,-2.50%,2.50%,4.88%,MSKY
14,04-11-2025,80,81,78,80,4.005.800,320.464.000,0.00%,1.25%,-2.50%,0.00%,1.25%,2.47%,MSKY
