col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MSTI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MSTI
1,21-11-2025,1.430,1.430,1.415,1.420,1.187.700,1.686.534.000,0.00%,0.00%,-1.05%,-0.70%,0.00%,0.35%,MSTI
2,20-11-2025,1.430,1.440,1.425,1.430,888.300,1.270.269.000,0.00%,0.70%,-0.35%,0.00%,0.70%,0.69%,MSTI
3,19-11-2025,1.430,1.445,1.430,1.430,1.089.500,1.557.985.000,0.00%,1.05%,0.00%,0.00%,1.05%,1.73%,MSTI
4,18-11-2025,1.425,1.435,1.420,1.430,776.500,1.110.395.000,-0.35%,0.35%,-0.70%,0.00%,0.70%,1.05%,MSTI
5,17-11-2025,1.430,1.430,1.420,1.430,1.197.000,1.711.710.000,0.35%,0.35%,-0.35%,0.35%,0.00%,0.70%,MSTI
6,14-11-2025,1.425,1.430,1.420,1.425,2.646.700,3.771.547.500,-0.70%,-0.35%,-1.05%,-0.70%,0.35%,0.35%,MSTI
7,13-11-2025,1.430,1.445,1.425,1.435,4.224.600,6.062.301.000,-1.38%,-0.34%,-1.72%,-1.03%,1.05%,1.38%,MSTI
8,12-11-2025,1.450,1.455,1.425,1.450,2.282.100,3.309.045.000,0.00%,0.34%,-1.72%,0.00%,0.34%,2.41%,MSTI
9,11-11-2025,1.430,1.450,1.420,1.450,3.048.700,4.420.615.000,0.35%,1.75%,-0.35%,1.75%,1.40%,2.07%,MSTI
10,10-11-2025,1.420,1.460,1.420,1.425,1.037.800,1.478.865.000,0.00%,2.82%,0.00%,0.35%,2.82%,2.74%,MSTI
11,07-11-2025,1.455,1.455,1.420,1.420,953.200,1.353.544.000,0.34%,0.34%,-2.07%,-2.07%,0.00%,3.09%,MSTI
12,06-11-2025,1.410,1.460,1.410,1.450,2.075.600,3.009.620.000,0.00%,3.55%,0.00%,2.84%,3.55%,5.48%,MSTI
13,05-11-2025,1.380,1.430,1.380,1.410,1.800.300,2.538.423.000,-1.78%,1.78%,-1.78%,0.36%,3.62%,2.10%,MSTI
14,04-11-2025,1.445,1.450,1.400,1.405,3.364.900,4.727.684.500,0.35%,0.69%,-2.78%,-2.43%,0.35%,2.41%,MSTI
15,03-11-2025,1.425,1.440,1.415,1.440,1.192.100,1.716.624.000,1.42%,2.49%,0.71%,2.49%,1.05%,2.78%,MSTI
16,31-10-2025,1.465,1.465,1.400,1.405,4.447.900,6.249.299.500,0.34%,0.34%,-4.11%,-3.77%,0.00%,2.39%,MSTI
17,30-10-2025,1.460,1.500,1.430,1.460,5.263.000,7.683.980.000,-3.31%,-0.66%,-5.30%,-3.31%,2.74%,-0.33%,MSTI
18,29-10-2025,1.515,1.520,1.505,1.510,2.181.800,3.294.518.000,0.00%,0.33%,-0.66%,-0.33%,0.33%,0.99%,MSTI
19,28-10-2025,1.535,1.545,1.505,1.515,3.918.000,5.935.770.000,0.00%,0.65%,-1.95%,-1.30%,0.65%,2.27%,MSTI
20,27-10-2025,1.540,1.545,1.510,1.535,2.737.300,4.201.755.500,0.33%,0.65%,-1.63%,0.00%,0.32%,1.29%,MSTI
21,24-10-2025,1.525,1.550,1.525,1.535,1.125.300,1.727.335.500,0.00%,1.64%,0.00%,0.66%,1.64%,1.61%,MSTI
22,23-10-2025,1.550,1.575,1.525,1.525,2.929.900,4.468.097.500,0.00%,1.61%,-1.61%,-1.61%,1.61%,1.90%,MSTI
23,22-10-2025,1.595,1.595,1.545,1.550,1.788.700,2.772.485.000,0.00%,0.00%,-3.13%,-2.82%,0.00%,0.63%,MSTI
24,21-10-2025,1.595,1.620,1.585,1.595,1.910.400,3.047.088.000,0.31%,1.89%,-0.31%,0.31%,1.57%,2.78%,MSTI
25,20-10-2025,1.575,1.620,1.575,1.590,1.488.300,2.366.397.000,0.64%,3.51%,0.64%,1.60%,2.86%,4.94%,MSTI
26,17-10-2025,1.580,1.605,1.540,1.565,2.910.900,4.555.558.500,0.32%,1.90%,-2.22%,-0.63%,1.58%,2.18%,MSTI
27,16-10-2025,1.590,1.600,1.570,1.575,1.913.600,3.013.920.000,0.63%,1.27%,-0.63%,-0.32%,0.63%,1.88%,MSTI
28,15-10-2025,1.580,1.610,1.570,1.580,2.500.900,3.951.422.000,0.96%,2.88%,0.32%,0.96%,1.90%,2.80%,MSTI
29,14-10-2025,1.585,1.605,1.565,1.565,2.403.000,3.760.695.000,0.32%,1.58%,-0.95%,-0.95%,1.26%,2.80%,MSTI
30,13-10-2025,1.595,1.665,1.560,1.580,5.823.500,9.201.130.000,0.00%,4.39%,-2.19%,-0.94%,4.39%,6.01%,MSTI
31,10-10-2025,1.575,1.600,1.565,1.595,2.069.600,3.301.012.000,0.64%,2.24%,0.00%,1.92%,1.59%,5.00%,MSTI
32,09-10-2025,1.520,1.600,1.520,1.565,4.603.300,7.204.164.500,0.00%,5.26%,0.00%,2.96%,5.26%,6.25%,MSTI
33,08-10-2025,1.530,1.545,1.500,1.520,3.747.600,5.696.352.000,-0.65%,0.32%,-2.60%,-1.30%,0.98%,1.29%,MSTI
34,07-10-2025,1.535,1.555,1.525,1.540,1.808.300,2.784.782.000,0.33%,1.63%,-0.33%,0.65%,1.30%,2.57%,MSTI
35,06-10-2025,1.560,1.560,1.515,1.530,2.564.200,3.923.226.000,0.00%,0.00%,-2.88%,-1.92%,0.00%,0.00%,MSTI
36,03-10-2025,1.595,1.615,1.560,1.560,2.004.300,3.126.708.000,0.00%,1.25%,-2.19%,-2.19%,1.25%,2.79%,MSTI
37,02-10-2025,1.595,1.635,1.570,1.595,3.359.100,5.357.764.500,0.63%,3.15%,-0.95%,0.63%,2.51%,5.20%,MSTI
38,01-10-2025,1.565,1.595,1.550,1.585,1.566.500,2.482.902.500,0.00%,1.92%,-0.96%,1.28%,1.92%,3.13%,MSTI
39,30-09-2025,1.560,1.565,1.545,1.565,1.076.400,1.684.566.000,0.65%,0.97%,-0.32%,0.97%,0.32%,1.60%,MSTI
40,29-09-2025,1.545,1.560,1.540,1.550,878.000,1.360.900.000,0.32%,1.30%,0.00%,0.65%,0.97%,1.92%,MSTI
41,26-09-2025,1.550,1.565,1.530,1.540,1.729.200,2.662.968.000,0.00%,0.97%,-1.29%,-0.65%,0.97%,2.24%,MSTI
42,25-09-2025,1.535,1.565,1.530,1.550,2.471.000,3.830.050.000,0.66%,2.62%,0.33%,1.64%,1.95%,3.19%,MSTI
43,24-09-2025,1.530,1.540,1.515,1.525,787.800,1.201.395.000,0.33%,0.98%,-0.66%,0.00%,0.65%,2.27%,MSTI
44,23-09-2025,1.505,1.535,1.505,1.525,739.200,1.127.280.000,-0.66%,1.32%,-0.66%,0.66%,1.99%,1.63%,MSTI
45,22-09-2025,1.550,1.555,1.510,1.515,2.336.700,3.540.100.500,0.32%,0.65%,-2.27%,-1.94%,0.32%,1.61%,MSTI
46,19-09-2025,1.550,1.565,1.530,1.545,1.710.700,2.643.031.500,0.00%,0.97%,-1.29%,-0.32%,0.97%,1.60%,MSTI
47,18-09-2025,1.565,1.570,1.540,1.550,2.864.000,4.439.200.000,0.00%,0.32%,-1.60%,-0.96%,0.32%,2.55%,MSTI
48,17-09-2025,1.535,1.565,1.530,1.565,1.549.600,2.425.124.000,0.00%,1.95%,-0.33%,1.95%,1.95%,2.56%,MSTI
