col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MTDL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MTDL
1,21-11-2025,615,615,590,595,9.286.400,5.525.408.000,0.00%,0.00%,-4.07%,-3.25%,0.00%,2.44%,MTDL
2,20-11-2025,605,615,600,615,3.217.400,1.978.701.000,0.00%,1.65%,-0.83%,1.65%,1.65%,2.44%,MTDL
3,19-11-2025,600,610,600,605,4.302.600,2.603.073.000,0.00%,1.67%,0.00%,0.83%,1.67%,2.46%,MTDL
4,18-11-2025,595,605,595,600,2.890.000,1.734.000.000,0.00%,1.68%,0.00%,0.84%,1.68%,2.48%,MTDL
5,17-11-2025,595,605,590,595,6.228.300,3.705.838.500,0.00%,1.68%,-0.84%,0.00%,1.68%,2.48%,MTDL
6,14-11-2025,600,610,590,595,10.985.600,6.536.432.000,-0.83%,0.83%,-2.48%,-1.65%,1.67%,1.64%,MTDL
7,13-11-2025,615,615,600,605,4.321.600,2.614.568.000,0.82%,0.82%,-1.64%,-0.82%,0.00%,2.44%,MTDL
8,12-11-2025,605,620,600,610,7.047.800,4.299.158.000,0.83%,3.33%,0.00%,1.67%,2.48%,3.23%,MTDL
9,11-11-2025,600,605,600,600,1.832.000,1.099.200.000,0.00%,0.83%,0.00%,0.00%,0.83%,1.65%,MTDL
10,10-11-2025,600,605,595,600,5.213.700,3.128.220.000,0.84%,1.68%,0.00%,0.84%,0.83%,1.65%,MTDL
11,07-11-2025,600,605,595,595,7.662.800,4.559.366.000,0.00%,0.83%,-0.83%,-0.83%,0.83%,1.65%,MTDL
12,06-11-2025,605,605,595,600,10.004.600,6.002.760.000,0.83%,0.83%,-0.83%,0.00%,0.00%,0.83%,MTDL
13,05-11-2025,610,610,600,600,3.254.900,1.952.940.000,0.00%,0.00%,-1.64%,-1.64%,0.00%,1.64%,MTDL
14,04-11-2025,610,620,600,610,3.958.900,2.414.929.000,0.00%,1.64%,-1.64%,0.00%,1.64%,3.23%,MTDL
15,03-11-2025,615,620,600,610,4.084.700,2.491.667.000,0.82%,1.64%,-1.64%,0.00%,0.81%,4.03%,MTDL
16,31-10-2025,605,615,595,610,6.203.400,3.784.074.000,0.00%,1.65%,-1.65%,0.83%,1.65%,2.44%,MTDL
17,30-10-2025,605,610,600,605,5.382.900,3.256.654.500,0.00%,0.83%,-0.83%,0.00%,0.83%,2.46%,MTDL
18,29-10-2025,600,610,595,605,9.416.500,5.696.982.500,0.84%,2.52%,0.00%,1.68%,1.67%,3.28%,MTDL
19,28-10-2025,595,605,590,595,8.772.400,5.219.578.000,0.00%,1.68%,-0.84%,0.00%,1.68%,2.48%,MTDL
20,27-10-2025,605,605,590,595,7.507.100,4.466.724.500,0.83%,0.83%,-1.67%,-0.83%,0.00%,2.48%,MTDL
21,24-10-2025,605,620,590,600,5.704.100,3.422.460.000,0.00%,2.48%,-2.48%,-0.83%,2.48%,4.84%,MTDL
22,23-10-2025,590,605,590,605,3.884.100,2.349.880.500,0.00%,2.54%,0.00%,2.54%,2.54%,2.48%,MTDL
23,22-10-2025,605,610,590,590,7.792.600,4.597.634.000,-0.82%,0.00%,-3.28%,-3.28%,0.83%,3.28%,MTDL
24,21-10-2025,600,610,590,610,4.693.800,2.863.218.000,0.00%,1.67%,-1.67%,1.67%,1.67%,3.28%,MTDL
25,20-10-2025,590,610,590,600,3.946.300,2.367.780.000,0.00%,3.39%,0.00%,1.69%,3.39%,3.28%,MTDL
26,17-10-2025,620,625,590,590,5.533.100,3.264.529.000,0.00%,0.81%,-4.84%,-4.84%,0.81%,4.00%,MTDL
27,16-10-2025,610,625,600,620,3.951.400,2.449.868.000,0.00%,2.46%,-1.64%,1.64%,2.46%,5.60%,MTDL
28,15-10-2025,595,610,590,610,5.493.800,3.351.218.000,1.71%,4.27%,0.85%,4.27%,2.52%,4.10%,MTDL
29,14-10-2025,600,605,585,585,6.780.000,3.966.300.000,0.00%,0.83%,-2.50%,-2.50%,0.83%,3.31%,MTDL
30,13-10-2025,600,605,585,600,5.796.200,3.477.720.000,-0.83%,0.00%,-3.31%,-0.83%,0.83%,0.00%,MTDL
31,10-10-2025,610,615,605,605,4.412.500,2.669.562.500,0.83%,1.65%,0.00%,0.00%,0.82%,2.44%,MTDL
32,09-10-2025,610,610,600,605,4.103.800,2.482.799.000,0.00%,0.00%,-1.64%,-0.82%,0.00%,1.64%,MTDL
33,08-10-2025,610,615,600,610,4.552.900,2.777.269.000,0.00%,0.82%,-1.64%,0.00%,0.82%,2.44%,MTDL
34,07-10-2025,605,610,600,610,4.287.300,2.615.253.000,0.00%,0.83%,-0.83%,0.83%,0.83%,0.82%,MTDL
35,06-10-2025,620,620,605,605,3.173.200,1.919.786.000,0.00%,0.00%,-2.42%,-2.42%,0.00%,1.61%,MTDL
36,03-10-2025,630,630,610,620,4.420.700,2.740.834.000,1.61%,1.61%,-1.61%,0.00%,0.00%,3.97%,MTDL
37,02-10-2025,610,630,605,620,5.286.300,3.277.506.000,0.83%,4.13%,0.00%,2.48%,3.28%,4.76%,MTDL
38,01-10-2025,605,610,600,605,6.189.900,3.744.889.500,0.83%,1.67%,0.00%,0.83%,0.83%,1.64%,MTDL
39,30-09-2025,610,615,600,600,4.737.800,2.842.680.000,0.83%,1.65%,-0.83%,-0.83%,0.82%,2.44%,MTDL
40,29-09-2025,620,630,600,605,7.133.100,4.315.525.500,0.00%,1.61%,-3.23%,-2.42%,1.61%,1.59%,MTDL
41,26-09-2025,620,625,620,620,2.517.500,1.560.850.000,0.00%,0.81%,0.00%,0.00%,0.81%,1.60%,MTDL
42,25-09-2025,630,635,615,620,7.081.600,4.390.592.000,0.00%,0.79%,-2.38%,-1.59%,0.79%,2.36%,MTDL
43,24-09-2025,635,635,620,630,4.363.400,2.748.942.000,0.79%,0.79%,-1.59%,0.00%,0.00%,2.36%,MTDL
44,23-09-2025,640,645,620,630,4.514.000,2.843.820.000,0.79%,1.57%,-2.36%,-0.79%,0.78%,6.20%,MTDL
45,22-09-2025,605,640,605,635,8.952.500,5.684.837.500,0.00%,5.79%,0.00%,4.96%,5.79%,5.47%,MTDL
46,19-09-2025,605,615,605,605,3.882.000,2.348.610.000,0.00%,1.65%,0.00%,0.00%,1.65%,2.44%,MTDL
47,18-09-2025,620,620,600,605,7.516.800,4.547.664.000,0.00%,0.00%,-3.23%,-2.42%,0.00%,2.42%,MTDL
48,17-09-2025,625,625,605,620,6.423.600,3.982.632.000,0.81%,0.81%,-2.42%,0.00%,0.00%,0.80%,MTDL
49,16-09-2025,640,645,620,620,5.413.300,3.356.246.000,0.00%,0.78%,-3.13%,-3.13%,0.78%,3.10%,MTDL
50,15-09-2025,625,645,625,640,6.844.900,4.380.736.000,0.00%,3.20%,0.00%,2.40%,3.20%,3.88%,MTDL
51,12-09-2025,685,685,620,625,13.993.500,8.745.937.500,11.38%,11.38%,0.81%,1.63%,0.00%,11.68%,MTDL
52,11-09-2025,605,630,605,615,9.649.800,5.934.627.000,0.83%,5.00%,0.83%,2.50%,4.13%,5.56%,MTDL
53,10-09-2025,600,615,595,600,7.988.000,4.792.800.000,-0.83%,1.65%,-1.65%,-0.83%,2.50%,4.07%,MTDL
54,09-09-2025,620,625,590,605,8.003.900,4.842.359.500,0.81%,1.63%,-4.07%,-1.63%,0.81%,4.80%,MTDL
55,08-09-2025,600,635,595,615,10.664.300,6.558.544.500,0.00%,5.83%,-0.83%,2.50%,5.83%,7.09%,MTDL
56,04-09-2025,600,605,590,600,7.996.100,4.797.660.000,0.00%,0.83%,-1.67%,0.00%,0.83%,2.48%,MTDL
57,03-09-2025,595,605,590,600,4.599.800,2.759.880.000,0.00%,1.68%,-0.84%,0.84%,1.68%,3.31%,MTDL
58,02-09-2025,595,605,585,595,5.510.600,3.278.807.000,0.85%,2.54%,-0.85%,0.85%,1.68%,7.44%,MTDL
59,01-09-2025,580,595,560,590,8.274.900,4.882.191.000,-1.69%,0.85%,-5.08%,0.00%,2.59%,3.36%,MTDL
60,29-08-2025,605,605,575,590,8.302.700,4.898.593.000,-0.82%,-0.82%,-5.74%,-3.28%,0.00%,0.83%,MTDL
61,28-08-2025,615,620,600,610,11.258.400,6.867.624.000,0.00%,0.81%,-2.44%,-0.81%,0.81%,5.65%,MTDL
62,27-08-2025,585,615,585,615,25.664.200,15.783.483.000,0.00%,5.13%,0.00%,5.13%,5.13%,5.69%,MTDL
63,26-08-2025,595,600,580,585,6.946.400,4.063.644.000,0.85%,1.69%,-1.69%,-0.85%,0.84%,2.50%,MTDL
64,25-08-2025,590,595,585,590,24.633.400,14.533.706.000,0.00%,0.85%,-0.85%,0.00%,0.85%,2.52%,MTDL
65,22-08-2025,585,595,580,590,8.187.400,4.830.566.000,0.86%,2.59%,0.00%,1.72%,1.71%,3.36%,MTDL
66,21-08-2025,590,595,575,580,7.611.500,4.414.670.000,0.85%,1.71%,-1.71%,-0.85%,0.85%,2.52%,MTDL
67,20-08-2025,585,600,580,585,18.295.800,10.703.043.000,0.00%,2.56%,-0.85%,0.00%,2.56%,2.50%,MTDL
68,19-08-2025,600,605,585,585,23.459.600,13.723.866.000,1.69%,2.54%,-0.85%,-0.85%,0.83%,4.13%,MTDL
69,15-08-2025,585,600,580,590,6.476.300,3.821.017.000,0.00%,2.56%,-0.85%,0.85%,2.56%,3.33%,MTDL
70,14-08-2025,595,600,580,585,9.915.300,5.800.450.500,0.85%,1.69%,-1.69%,-0.85%,0.84%,3.33%,MTDL
71,13-08-2025,595,600,580,590,6.826.500,4.027.635.000,0.85%,1.69%,-1.69%,0.00%,0.84%,1.67%,MTDL
72,12-08-2025,590,605,590,590,6.717.400,3.963.266.000,0.00%,2.54%,0.00%,0.00%,2.54%,4.96%,MTDL
73,11-08-2025,590,605,575,590,8.408.400,4.960.956.000,0.00%,2.54%,-2.54%,0.00%,2.54%,4.96%,MTDL
74,08-08-2025,590,595,575,590,6.896.700,4.069.053.000,0.00%,0.85%,-2.54%,0.00%,0.85%,0.84%,MTDL
75,07-08-2025,595,605,590,590,6.920.800,4.083.272.000,0.00%,1.68%,-0.84%,-0.84%,1.68%,2.48%,MTDL
76,06-08-2025,610,620,590,595,4.973.300,2.959.113.500,0.00%,1.64%,-3.28%,-2.46%,1.64%,3.23%,MTDL
77,05-08-2025,600,615,600,610,3.927.100,2.395.531.000,1.69%,4.24%,1.69%,3.39%,2.50%,4.07%,MTDL
78,04-08-2025,610,615,590,590,9.733.100,5.742.529.000,0.83%,1.65%,-2.48%,-2.48%,0.82%,4.07%,MTDL
79,01-08-2025,595,610,590,605,9.176.600,5.551.843.000,0.00%,2.52%,-0.84%,1.68%,2.52%,5.74%,MTDL
80,31-07-2025,590,600,575,595,14.968.800,8.906.436.000,0.85%,2.56%,-1.71%,1.71%,1.69%,6.67%,MTDL
81,30-07-2025,575,585,560,585,11.995.900,7.017.601.500,0.88%,2.63%,-1.75%,2.63%,1.74%,4.27%,MTDL
82,29-07-2025,565,575,560,570,10.927.100,6.228.447.000,0.00%,1.77%,-0.88%,0.88%,1.77%,2.61%,MTDL
83,28-07-2025,575,580,560,565,10.308.300,5.824.189.500,1.77%,2.65%,-0.88%,0.00%,0.87%,4.31%,MTDL
84,25-07-2025,560,565,555,565,9.143.600,5.166.134.000,0.00%,0.89%,-0.89%,0.89%,0.89%,2.65%,MTDL
85,24-07-2025,555,570,550,560,5.279.800,2.956.688.000,0.00%,2.70%,-0.90%,0.90%,2.70%,3.51%,MTDL
86,23-07-2025,565,565,550,555,15.983.400,8.870.787.000,0.00%,0.00%,-2.65%,-1.77%,0.00%,0.88%,MTDL
87,22-07-2025,560,570,560,565,5.375.300,3.037.044.500,0.00%,1.79%,0.00%,0.89%,1.79%,2.63%,MTDL
88,21-07-2025,560,570,555,560,6.164.800,3.452.288.000,0.00%,1.79%,-0.89%,0.00%,1.79%,2.63%,MTDL
89,18-07-2025,575,575,555,560,7.643.500,4.280.360.000,2.68%,2.68%,-0.89%,0.00%,0.00%,2.61%,MTDL
90,17-07-2025,570,575,560,560,4.578.300,2.563.848.000,0.00%,0.88%,-1.75%,-1.75%,0.88%,3.48%,MTDL
