col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MTEL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MTEL
1,21-11-2025,570,570,560,570,10.905.600,6.216.192.000,0.00%,0.00%,-1.75%,0.00%,0.00%,1.75%,MTEL
2,20-11-2025,565,575,560,570,11.194.500,6.380.865.000,-0.88%,0.88%,-1.75%,0.00%,1.77%,1.74%,MTEL
3,19-11-2025,570,575,565,570,15.685.900,8.940.963.000,0.00%,0.88%,-0.88%,0.00%,0.88%,3.48%,MTEL
4,18-11-2025,555,570,555,570,16.448.700,9.375.759.000,-0.89%,1.79%,-0.89%,1.79%,2.70%,3.51%,MTEL
5,17-11-2025,555,560,550,560,11.019.200,6.170.752.000,-0.89%,0.00%,-1.79%,0.00%,0.90%,1.79%,MTEL
6,14-11-2025,560,560,550,560,4.439.200,2.485.952.000,0.00%,0.00%,-1.79%,0.00%,0.00%,1.79%,MTEL
7,13-11-2025,555,560,550,560,15.725.700,8.806.392.000,0.91%,1.82%,0.00%,1.82%,0.90%,1.79%,MTEL
8,12-11-2025,560,560,550,550,7.901.300,4.345.715.000,0.00%,0.00%,-1.79%,-1.79%,0.00%,0.89%,MTEL
9,11-11-2025,560,565,555,560,3.777.400,2.115.344.000,0.00%,0.89%,-0.89%,0.00%,0.89%,1.77%,MTEL
10,10-11-2025,565,565,555,560,5.107.700,2.860.312.000,0.89%,0.89%,-0.89%,0.00%,0.00%,2.65%,MTEL
11,07-11-2025,555,560,550,560,5.683.400,3.182.704.000,0.00%,0.90%,-0.90%,0.90%,0.90%,1.79%,MTEL
12,06-11-2025,560,560,550,555,6.583.700,3.653.953.500,0.00%,0.00%,-1.79%,-0.89%,0.00%,1.79%,MTEL
13,05-11-2025,555,560,550,560,3.764.200,2.107.952.000,0.00%,0.90%,-0.90%,0.90%,0.90%,1.79%,MTEL
14,04-11-2025,560,560,550,555,12.657.500,7.024.912.500,0.00%,0.00%,-1.79%,-0.89%,0.00%,1.79%,MTEL
15,03-11-2025,560,560,550,560,18.442.100,10.327.576.000,0.00%,0.00%,-1.79%,0.00%,0.00%,1.79%,MTEL
16,31-10-2025,565,565,550,560,24.649.900,13.803.944.000,0.89%,0.89%,-1.79%,0.00%,0.00%,0.88%,MTEL
17,30-10-2025,570,575,560,560,10.742.000,6.015.520.000,0.00%,0.88%,-1.75%,-1.75%,0.88%,0.87%,MTEL
18,29-10-2025,580,595,570,570,16.901.800,9.634.026.000,0.00%,2.59%,-1.72%,-1.72%,2.59%,5.04%,MTEL
19,28-10-2025,575,585,565,580,11.116.000,6.447.280.000,1.77%,3.54%,0.00%,2.65%,1.74%,5.13%,MTEL
20,27-10-2025,570,570,555,565,4.044.400,2.285.086.000,0.00%,0.00%,-2.63%,-0.88%,0.00%,1.75%,MTEL
21,24-10-2025,570,575,560,570,9.324.000,5.314.680.000,0.00%,0.88%,-1.75%,0.00%,0.88%,3.48%,MTEL
22,23-10-2025,555,570,555,570,9.626.100,5.486.877.000,-0.89%,1.79%,-0.89%,1.79%,2.70%,2.63%,MTEL
23,22-10-2025,570,570,555,560,6.526.600,3.654.896.000,1.79%,1.79%,-0.89%,0.00%,0.00%,3.51%,MTEL
