col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MTFN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MTFN
1,21-11-2025,16,16,15,15,18.070.200,271.053.000,0.00%,0.00%,-6.25%,-6.25%,0.00%,6.25%,MTFN
2,20-11-2025,15,16,15,16,53.029.400,848.470.400,0.00%,6.67%,0.00%,6.67%,6.67%,6.25%,MTFN
3,19-11-2025,15,16,15,15,115.810.900,1.737.163.500,-6.25%,0.00%,-6.25%,-6.25%,6.67%,6.25%,MTFN
4,18-11-2025,15,16,15,16,68.248.900,1.091.982.400,-6.25%,0.00%,-6.25%,0.00%,6.67%,0.00%,MTFN
5,17-11-2025,16,16,16,16,35.330.500,565.288.000,-5.88%,-5.88%,-5.88%,-5.88%,0.00%,-6.25%,MTFN
6,14-11-2025,17,17,17,17,31.816.300,540.877.100,-5.56%,-5.56%,-5.56%,-5.56%,0.00%,-5.88%,MTFN
7,13-11-2025,20,20,18,18,142.593.600,2.566.684.800,0.00%,0.00%,-10.00%,-10.00%,0.00%,0.00%,MTFN
8,12-11-2025,20,20,20,20,40.406.300,808.126.000,5.26%,5.26%,5.26%,5.26%,0.00%,5.00%,MTFN
9,11-11-2025,19,19,19,19,67.993.200,1.291.870.800,5.56%,5.56%,5.56%,5.56%,0.00%,5.26%,MTFN
10,10-11-2025,18,18,18,18,109.269.800,1.966.856.400,5.88%,5.88%,5.88%,5.88%,0.00%,5.56%,MTFN
11,07-11-2025,17,17,17,17,36.186.300,615.167.100,6.25%,6.25%,6.25%,6.25%,0.00%,5.88%,MTFN
12,06-11-2025,16,16,16,16,55.382.000,886.112.000,6.67%,6.67%,6.67%,6.67%,0.00%,6.25%,MTFN
13,05-11-2025,15,15,15,15,48.316.400,724.746.000,7.14%,7.14%,7.14%,7.14%,0.00%,13.33%,MTFN
14,04-11-2025,13,14,13,14,55.006.400,770.089.600,0.00%,7.69%,0.00%,7.69%,7.69%,7.14%,MTFN
15,03-11-2025,13,13,13,13,93.707.100,1.218.192.300,8.33%,8.33%,8.33%,8.33%,0.00%,7.69%,MTFN
16,31-10-2025,12,13,12,12,70.259.700,843.116.400,-7.69%,0.00%,-7.69%,-7.69%,8.33%,0.00%,MTFN
17,30-10-2025,14,14,13,13,93.896.800,1.220.658.400,0.00%,0.00%,-7.14%,-7.14%,0.00%,0.00%,MTFN
18,29-10-2025,14,14,14,14,89.667.900,1.255.350.600,-6.67%,-6.67%,-6.67%,-6.67%,0.00%,-7.14%,MTFN
19,28-10-2025,15,15,15,15,41.534.400,623.016.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MTFN
20,27-10-2025,16,16,15,15,64.686.600,970.299.000,6.67%,6.67%,0.00%,0.00%,0.00%,6.25%,MTFN
21,24-10-2025,15,15,15,15,37.677.900,565.168.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,MTFN
22,23-10-2025,17,17,15,15,218.138.800,3.272.082.000,6.25%,6.25%,-6.25%,-6.25%,0.00%,5.88%,MTFN
23,22-10-2025,16,16,16,16,25.867.400,413.878.400,6.67%,6.67%,6.67%,6.67%,0.00%,6.25%,MTFN
24,21-10-2025,15,15,15,15,35.940.300,539.104.500,7.14%,7.14%,7.14%,7.14%,0.00%,6.67%,MTFN
25,20-10-2025,14,14,14,14,151.902.500,2.126.635.000,-6.67%,-6.67%,-6.67%,-6.67%,0.00%,-7.14%,MTFN
26,17-10-2025,16,16,15,15,211.162.400,3.167.436.000,0.00%,0.00%,-6.25%,-6.25%,0.00%,0.00%,MTFN
27,16-10-2025,16,16,16,16,88.960.800,1.423.372.800,-5.88%,-5.88%,-5.88%,-5.88%,0.00%,-6.25%,MTFN
28,15-10-2025,17,17,17,17,120.029.700,2.040.504.900,-5.56%,-5.56%,-5.56%,-5.56%,0.00%,-5.88%,MTFN
29,14-10-2025,19,19,18,18,171.708.200,3.090.747.600,-5.00%,-5.00%,-10.00%,-10.00%,0.00%,-5.26%,MTFN
30,13-10-2025,20,21,20,20,195.214.200,3.904.284.000,-9.09%,-4.55%,-9.09%,-9.09%,5.00%,0.00%,MTFN
31,10-10-2025,21,22,21,22,148.891.200,3.275.606.400,-8.70%,-4.35%,-8.70%,-4.35%,4.76%,-4.55%,MTFN
32,09-10-2025,23,24,23,23,163.242.300,3.754.572.900,0.00%,4.35%,0.00%,0.00%,4.35%,12.50%,MTFN
33,08-10-2025,21,23,21,23,190.888.100,4.390.426.300,0.00%,9.52%,0.00%,9.52%,9.52%,13.04%,MTFN
34,07-10-2025,20,22,20,21,485.360.400,10.192.568.400,-9.09%,0.00%,-9.09%,-4.55%,10.00%,0.00%,MTFN
35,06-10-2025,22,22,22,22,56.813.400,1.249.894.800,-8.33%,-8.33%,-8.33%,-8.33%,0.00%,-9.09%,MTFN
36,03-10-2025,24,24,24,24,58.199.200,1.396.780.800,-7.69%,-7.69%,-7.69%,-7.69%,0.00%,-8.33%,MTFN
37,02-10-2025,28,28,26,26,145.027.500,3.770.715.000,0.00%,0.00%,-7.14%,-7.14%,0.00%,7.14%,MTFN
