col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MUTU
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MUTU
1,21-11-2025,123,123,117,120,10.495.000,1.259.400.000,1.65%,1.65%,-3.31%,-0.83%,0.00%,4.88%,MUTU
2,20-11-2025,120,140,117,121,185.708.100,22.470.680.100,2.56%,19.66%,0.00%,3.42%,16.67%,21.43%,MUTU
3,19-11-2025,111,123,110,117,13.006.800,1.521.795.600,0.00%,10.81%,-0.90%,5.41%,10.81%,9.76%,MUTU
4,18-11-2025,114,116,111,111,4.742.400,526.406.400,0.00%,1.75%,-2.63%,-2.63%,1.75%,2.59%,MUTU
5,17-11-2025,116,117,113,114,3.971.700,452.773.800,0.87%,1.74%,-1.74%,-0.87%,0.86%,4.27%,MUTU
6,14-11-2025,118,119,112,115,6.474.900,744.613.500,0.85%,1.71%,-4.27%,-1.71%,0.85%,100.00%,MUTU
7,12-11-2025,120,123,112,114,22.495.500,2.564.487.000,0.00%,2.50%,-6.67%,-5.00%,2.50%,13.82%,MUTU
8,11-11-2025,108,120,106,120,19.731.200,2.367.744.000,0.93%,12.15%,-0.93%,12.15%,11.11%,14.17%,MUTU
9,10-11-2025,106,108,103,107,4.529.200,484.624.400,0.00%,1.89%,-2.83%,0.94%,1.89%,1.85%,MUTU
10,07-11-2025,108,111,106,106,1.384.300,146.735.800,0.00%,2.78%,-1.85%,-1.85%,2.78%,3.60%,MUTU
11,06-11-2025,107,111,107,108,2.446.500,264.222.000,0.00%,3.74%,0.00%,0.93%,3.74%,3.60%,MUTU
12,05-11-2025,112,112,107,107,6.409.700,685.837.900,0.00%,0.00%,-4.46%,-4.46%,0.00%,5.36%,MUTU
13,04-11-2025,108,113,106,112,8.873.000,993.776.000,0.00%,4.63%,-1.85%,3.70%,4.63%,8.85%,MUTU
14,03-11-2025,104,108,103,108,5.417.200,585.057.600,0.00%,3.85%,-0.96%,3.85%,3.85%,5.56%,MUTU
15,31-10-2025,103,104,102,104,21.864.300,2.273.887.200,0.00%,0.97%,-0.97%,0.97%,0.97%,2.88%,MUTU
16,30-10-2025,104,105,101,103,26.673.700,2.747.391.100,0.00%,0.96%,-2.88%,-0.96%,0.96%,3.81%,MUTU
17,29-10-2025,103,104,101,104,1.971.500,205.036.000,0.98%,1.96%,-0.98%,1.96%,0.97%,3.85%,MUTU
18,28-10-2025,103,104,100,102,3.689.200,376.298.400,0.00%,0.97%,-2.91%,-0.97%,0.97%,2.88%,MUTU
19,27-10-2025,103,105,101,103,4.459.000,459.277.000,-0.96%,0.96%,-2.88%,-0.96%,1.94%,1.90%,MUTU
20,24-10-2025,106,110,103,104,8.417.100,875.378.400,0.95%,4.76%,-1.90%,-0.95%,3.77%,6.36%,MUTU
21,23-10-2025,106,107,103,105,3.533.900,371.059.500,0.00%,0.94%,-2.83%,-0.94%,0.94%,4.67%,MUTU
22,22-10-2025,108,108,102,106,4.835.500,512.563.000,0.00%,0.00%,-5.56%,-1.85%,0.00%,1.85%,MUTU
