col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),MYOR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,MYOR
1,21-11-2025,2.100,2.120,2.100,2.110,5.886.200,12.419.882.000,-0.94%,0.00%,-0.94%,-0.47%,0.95%,0.94%,MYOR
2,20-11-2025,2.100,2.120,2.100,2.120,5.172.300,10.965.276.000,0.00%,0.95%,0.00%,0.95%,0.95%,0.94%,MYOR
3,19-11-2025,2.120,2.140,2.100,2.100,9.072.100,19.051.410.000,0.00%,0.94%,-0.94%,-0.94%,0.94%,2.80%,MYOR
4,18-11-2025,2.120,2.120,2.080,2.120,4.557.200,9.661.264.000,0.00%,0.00%,-1.89%,0.00%,0.00%,0.47%,MYOR
5,17-11-2025,2.120,2.150,2.110,2.120,8.171.600,17.323.792.000,0.95%,2.38%,0.48%,0.95%,1.42%,3.26%,MYOR
6,14-11-2025,2.100,2.140,2.080,2.100,12.346.100,25.926.810.000,0.00%,1.90%,-0.95%,0.00%,1.90%,100.00%,MYOR
7,12-11-2025,2.050,2.150,2.040,2.120,36.696.200,77.795.944.000,0.00%,4.88%,-0.49%,3.41%,4.88%,5.58%,MYOR
8,11-11-2025,2.060,2.070,2.030,2.050,13.501.900,27.678.895.000,0.49%,0.98%,-0.98%,0.00%,0.49%,1.45%,MYOR
9,10-11-2025,2.050,2.070,2.040,2.050,14.483.300,29.690.765.000,0.00%,0.98%,-0.49%,0.00%,0.98%,2.90%,MYOR
10,07-11-2025,2.030,2.060,2.010,2.050,19.661.100,40.305.255.000,0.00%,1.48%,-0.99%,0.99%,1.48%,1.46%,MYOR
11,06-11-2025,2.120,2.130,2.030,2.030,33.682.800,68.376.084.000,0.00%,0.47%,-4.25%,-4.25%,0.47%,2.35%,MYOR
12,05-11-2025,2.140,2.150,2.080,2.120,22.832.100,48.404.052.000,-0.93%,-0.46%,-3.70%,-1.85%,0.47%,1.40%,MYOR
13,04-11-2025,2.190,2.210,2.120,2.160,15.204.000,32.840.640.000,0.46%,1.38%,-2.75%,-0.92%,0.91%,2.71%,MYOR
14,03-11-2025,2.170,2.200,2.150,2.180,17.660.000,38.498.800.000,1.88%,3.29%,0.94%,2.35%,1.38%,3.18%,MYOR
15,31-10-2025,2.240,2.250,2.130,2.130,15.722.400,33.488.712.000,0.00%,0.45%,-4.91%,-4.91%,0.45%,0.44%,MYOR
16,30-10-2025,2.370,2.380,2.240,2.240,15.496.000,34.711.040.000,0.85%,1.28%,-4.68%,-4.68%,0.42%,5.46%,MYOR
17,29-10-2025,2.270,2.370,2.250,2.350,14.008.100,32.919.035.000,1.34%,5.80%,0.45%,4.91%,4.41%,9.70%,MYOR
18,28-10-2025,2.170,2.280,2.140,2.240,20.876.200,46.762.688.000,1.40%,6.54%,0.00%,4.67%,5.07%,8.33%,MYOR
19,27-10-2025,2.130,2.150,2.090,2.140,5.535.400,11.845.756.000,0.95%,1.90%,-0.95%,1.42%,0.94%,2.33%,MYOR
