col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),NANO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,NANO
1,21-11-2025,55,55,52,54,17.163.800,926.845.200,0.00%,0.00%,-5.45%,-1.82%,0.00%,1.82%,NANO
2,20-11-2025,55,56,54,55,7.715.700,424.363.500,0.00%,1.82%,-1.82%,0.00%,1.82%,3.57%,NANO
3,19-11-2025,57,58,54,55,10.501.600,577.588.000,1.79%,3.57%,-3.57%,-1.79%,1.75%,10.34%,NANO
4,18-11-2025,54,57,52,56,24.115.700,1.350.479.200,1.89%,7.55%,-1.89%,5.66%,5.56%,7.02%,NANO
5,17-11-2025,56,56,53,53,30.746.400,1.629.559.200,0.00%,0.00%,-5.36%,-5.36%,0.00%,1.79%,NANO
6,14-11-2025,57,58,55,56,11.104.300,621.840.800,0.00%,1.75%,-3.51%,-1.75%,1.75%,5.17%,NANO
7,13-11-2025,56,58,55,57,10.725.500,611.353.500,0.00%,3.57%,-1.79%,1.79%,3.57%,5.17%,NANO
8,12-11-2025,59,62,55,56,39.431.900,2.208.186.400,0.00%,5.08%,-6.78%,-5.08%,5.08%,14.52%,NANO
9,11-11-2025,54,59,53,59,42.959.200,2.534.592.800,0.00%,9.26%,-1.85%,9.26%,9.26%,11.86%,NANO
10,10-11-2025,54,55,52,54,10.785.200,582.400.800,1.89%,3.77%,-1.89%,1.89%,1.85%,5.45%,NANO
11,07-11-2025,54,55,52,53,12.119.600,642.338.800,1.89%,3.77%,-1.89%,0.00%,1.85%,7.27%,NANO
12,06-11-2025,55,55,51,53,17.209.200,912.087.600,0.00%,0.00%,-7.27%,-3.64%,0.00%,1.82%,NANO
13,05-11-2025,56,57,54,55,7.924.100,435.825.500,0.00%,1.79%,-3.57%,-1.79%,1.79%,5.26%,NANO
14,04-11-2025,55,57,54,56,10.191.900,570.746.400,0.00%,3.64%,-1.82%,1.82%,3.64%,5.26%,NANO
15,03-11-2025,57,57,54,55,9.309.900,512.044.500,1.79%,1.79%,-3.57%,-1.79%,0.00%,1.75%,NANO
16,31-10-2025,57,59,56,56,8.982.500,503.020.000,0.00%,3.51%,-1.75%,-1.75%,3.51%,3.39%,NANO
17,30-10-2025,64,64,57,57,22.768.500,1.297.804.500,8.47%,8.47%,-3.39%,-3.39%,0.00%,21.88%,NANO
18,29-10-2025,50,59,50,59,35.190.800,2.076.257.200,-7.41%,9.26%,-7.41%,9.26%,18.00%,11.86%,NANO
19,28-10-2025,54,57,52,54,12.831.700,692.911.800,-1.82%,3.64%,-5.45%,-1.82%,5.56%,12.28%,NANO
20,27-10-2025,50,56,50,55,11.742.900,645.859.500,-9.09%,1.82%,-9.09%,0.00%,12.00%,1.79%,NANO
21,24-10-2025,57,58,55,55,7.006.400,385.352.000,0.00%,1.75%,-3.51%,-3.51%,1.75%,3.45%,NANO
22,23-10-2025,63,63,56,57,6.983.300,398.048.100,8.62%,8.62%,-3.45%,-1.72%,0.00%,15.87%,NANO
23,22-10-2025,58,63,53,58,61.109.400,3.544.345.200,0.00%,8.62%,-8.62%,0.00%,8.62%,14.29%,NANO
24,21-10-2025,54,58,54,58,18.892.000,1.095.736.000,1.89%,9.43%,1.89%,9.43%,7.41%,18.97%,NANO
25,20-10-2025,50,53,47,53,16.478.000,873.334.000,2.04%,8.16%,-4.08%,8.16%,6.00%,7.55%,NANO
26,17-10-2025,54,55,49,49,24.159.400,1.183.810.600,0.00%,1.85%,-9.26%,-9.26%,1.85%,3.64%,NANO
27,16-10-2025,55,57,53,54,23.855.400,1.288.191.600,0.00%,3.64%,-3.64%,-1.82%,3.64%,3.51%,NANO
28,15-10-2025,62,62,55,55,75.240.100,4.138.205.500,1.64%,1.64%,-9.84%,-9.84%,0.00%,1.61%,NANO
29,14-10-2025,67,68,61,61,46.993.600,2.866.609.600,0.00%,1.49%,-8.96%,-8.96%,1.49%,2.94%,NANO
30,13-10-2025,69,69,66,67,25.725.100,1.723.581.700,0.00%,0.00%,-4.35%,-2.90%,0.00%,1.45%,NANO
31,10-10-2025,75,75,68,69,20.626.900,1.423.256.100,8.70%,8.70%,-1.45%,0.00%,0.00%,9.33%,NANO
32,09-10-2025,69,72,68,69,42.457.800,2.929.588.200,0.00%,4.35%,-1.45%,0.00%,4.35%,9.72%,NANO
33,08-10-2025,68,70,65,69,34.447.600,2.376.884.400,1.49%,4.48%,-2.99%,2.99%,2.94%,4.29%,NANO
34,07-10-2025,70,72,67,67,34.520.500,2.312.873.500,1.45%,4.35%,-2.90%,-2.90%,2.86%,9.72%,NANO
35,06-10-2025,65,72,65,69,62.403.000,4.305.807.000,-2.99%,7.46%,-2.99%,2.99%,10.77%,8.33%,NANO
36,03-10-2025,70,77,66,67,81.073.000,5.431.891.000,0.00%,10.00%,-5.71%,-4.29%,10.00%,20.78%,NANO
37,02-10-2025,64,70,61,70,108.880.500,7.621.635.000,0.00%,9.38%,-4.69%,9.38%,9.38%,8.57%,NANO
38,01-10-2025,67,68,64,64,28.689.000,1.836.096.000,1.52%,3.03%,-3.03%,-3.03%,1.49%,5.88%,NANO
