col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),NAYZ
1,2,3,4,5,6,7,8,9,10,11,12,13,14,NAYZ
1,21-11-2025,67,80,66,80,81.434.800,6.514.784.000,-8.22%,9.59%,-9.59%,9.59%,19.40%,8.75%,NAYZ
2,20-11-2025,81,81,73,73,28.238.100,2.061.381.300,0.00%,0.00%,-9.88%,-9.88%,0.00%,0.00%,NAYZ
3,19-11-2025,89,89,81,81,36.850.000,2.984.850.000,0.00%,0.00%,-8.99%,-8.99%,0.00%,0.00%,NAYZ
4,18-11-2025,97,97,89,89,46.823.200,4.167.264.800,-1.02%,-1.02%,-9.18%,-9.18%,0.00%,4.12%,NAYZ
5,17-11-2025,103,105,93,98,42.541.600,4.169.076.800,0.00%,1.94%,-9.71%,-4.85%,1.94%,1.90%,NAYZ
6,14-11-2025,112,113,103,103,40.121.600,4.132.524.800,-1.75%,-0.88%,-9.65%,-9.65%,0.89%,-0.88%,NAYZ
7,13-11-2025,126,127,114,114,18.208.600,2.075.780.400,0.00%,0.79%,-9.52%,-9.52%,0.79%,0.79%,NAYZ
8,12-11-2025,140,141,126,126,7.091.200,893.491.200,0.00%,0.71%,-10.00%,-10.00%,0.71%,0.71%,NAYZ
9,11-11-2025,156,157,140,140,7.698.300,1.077.762.000,0.65%,1.29%,-9.68%,-9.68%,0.64%,1.27%,NAYZ
10,10-11-2025,171,187,155,155,52.644.600,8.159.913.000,-0.58%,8.72%,-9.88%,-9.88%,9.36%,11.76%,NAYZ
11,07-11-2025,172,172,165,172,629.800,108.325.600,0.00%,0.00%,-4.07%,0.00%,0.00%,3.49%,NAYZ
12,06-11-2025,173,174,166,172,2.986.400,513.660.800,0.58%,1.16%,-3.49%,0.00%,0.58%,9.77%,NAYZ
13,05-11-2025,170,175,157,172,25.820.400,4.441.108.800,0.00%,2.94%,-7.65%,1.18%,2.94%,9.14%,NAYZ
14,04-11-2025,175,176,159,170,8.408.200,1.429.394.000,0.57%,1.15%,-8.62%,-2.30%,0.57%,5.11%,NAYZ
15,03-11-2025,181,181,167,174,32.286.600,5.617.868.400,0.00%,0.00%,-7.73%,-3.87%,0.00%,1.66%,NAYZ
16,31-10-2025,178,185,178,181,21.448.900,3.882.250.900,-4.81%,-1.07%,-4.81%,-3.21%,3.93%,9.19%,NAYZ
17,30-10-2025,181,199,168,187,8.814.700,1.648.348.900,0.00%,9.94%,-7.18%,3.31%,9.94%,17.59%,NAYZ
18,29-10-2025,166,182,164,181,61.880.300,11.200.334.300,-1.19%,8.33%,-2.38%,7.74%,9.64%,10.44%,NAYZ
19,28-10-2025,172,174,163,168,8.391.100,1.409.704.800,0.00%,1.16%,-5.23%,-2.33%,1.16%,13.22%,NAYZ
20,27-10-2025,163,175,151,172,10.875.000,1.870.500.000,0.00%,7.36%,-7.36%,5.52%,7.36%,17.14%,NAYZ
21,24-10-2025,153,165,145,163,6.073.900,990.045.700,0.00%,7.84%,-5.23%,6.54%,7.84%,17.58%,NAYZ
22,23-10-2025,143,155,136,153,4.894.100,748.797.300,-2.05%,6.16%,-6.85%,4.79%,8.39%,13.55%,NAYZ
23,22-10-2025,145,148,134,146,1.804.500,263.457.000,-1.36%,0.68%,-8.84%,-0.68%,2.07%,3.38%,NAYZ
24,21-10-2025,158,158,143,147,17.251.300,2.535.941.100,0.00%,0.00%,-9.49%,-6.96%,0.00%,15.82%,NAYZ
25,20-10-2025,145,158,133,158,10.073.300,1.591.581.400,-0.68%,8.22%,-8.90%,8.22%,8.97%,23.42%,NAYZ
26,17-10-2025,146,146,121,146,14.315.200,2.090.019.200,8.96%,8.96%,-9.70%,8.96%,0.00%,23.29%,NAYZ
27,16-10-2025,124,136,112,134,11.376.800,1.524.491.200,0.00%,9.68%,-9.68%,8.06%,9.68%,18.38%,NAYZ
28,15-10-2025,135,135,111,124,11.804.400,1.463.745.600,9.76%,9.76%,-9.76%,0.81%,0.00%,20.00%,NAYZ
29,14-10-2025,125,128,108,123,13.064.700,1.606.958.100,6.84%,9.40%,-7.69%,5.13%,2.40%,23.44%,NAYZ
30,13-10-2025,106,117,98,117,18.596.900,2.175.837.300,-0.93%,9.35%,-8.41%,9.35%,10.38%,11.97%,NAYZ
