col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),NCKL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,NCKL
1,21-11-2025,975,990,950,970,62.531.400,60.655.458.000,0.00%,1.54%,-2.56%,-0.51%,1.54%,1.52%,NCKL
2,20-11-2025,985,1.025,975,975,78.886.500,76.914.337.500,0.51%,4.59%,-0.51%,-0.51%,4.06%,5.85%,NCKL
3,19-11-2025,1.000,1.005,965,980,84.564.300,82.873.014.000,0.00%,0.50%,-3.50%,-2.00%,0.50%,1.00%,NCKL
4,18-11-2025,1.025,1.030,995,1.000,44.466.000,44.466.000.000,0.00%,0.49%,-2.93%,-2.44%,0.49%,2.43%,NCKL
5,17-11-2025,1.025,1.040,1.005,1.025,76.230.500,78.136.262.500,-0.49%,0.97%,-2.43%,-0.49%,1.46%,1.44%,NCKL
6,14-11-2025,1.080,1.080,1.025,1.030,87.280.100,89.898.503.000,-0.46%,-0.46%,-5.53%,-5.07%,0.00%,0.00%,NCKL
7,13-11-2025,1.100,1.110,1.080,1.085,22.504.000,24.416.840.000,0.00%,0.91%,-1.82%,-1.36%,0.91%,3.15%,NCKL
8,12-11-2025,1.095,1.105,1.075,1.100,38.340.100,42.174.110.000,0.00%,0.91%,-1.83%,0.46%,0.91%,2.71%,NCKL
9,11-11-2025,1.115,1.120,1.075,1.095,54.364.100,59.528.689.500,0.45%,0.90%,-3.15%,-1.35%,0.45%,1.34%,NCKL
10,10-11-2025,1.125,1.140,1.105,1.110,42.831.500,47.542.965.000,0.00%,1.33%,-1.78%,-1.33%,1.33%,3.07%,NCKL
11,07-11-2025,1.105,1.140,1.105,1.125,41.150.200,46.293.975.000,-0.45%,2.70%,-0.45%,1.35%,3.17%,3.51%,NCKL
12,06-11-2025,1.125,1.140,1.100,1.110,69.259.300,76.877.823.000,-0.44%,0.88%,-2.65%,-1.77%,1.33%,4.82%,NCKL
13,05-11-2025,1.130,1.140,1.085,1.130,159.802.400,180.576.712.000,-2.16%,-1.30%,-6.06%,-2.16%,0.88%,0.00%,NCKL
14,04-11-2025,1.200,1.205,1.140,1.155,111.749.100,129.070.210.500,0.00%,0.42%,-5.00%,-3.75%,0.42%,2.90%,NCKL
15,03-11-2025,1.250,1.260,1.170,1.200,89.924.100,107.908.920.000,0.00%,0.80%,-6.40%,-4.00%,0.80%,3.17%,NCKL
16,31-10-2025,1.325,1.330,1.220,1.250,100.049.300,125.061.625.000,-0.38%,0.00%,-8.27%,-6.02%,0.38%,1.13%,NCKL
17,30-10-2025,1.360,1.395,1.315,1.330,77.153.800,102.614.554.000,0.00%,2.57%,-3.31%,-2.21%,2.57%,9.32%,NCKL
