col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),NELY
1,2,3,4,5,6,7,8,9,10,11,12,13,14,NELY
1,21-11-2025,370,370,366,370,789.100,291.967.000,0.00%,0.00%,-1.08%,0.00%,0.00%,2.16%,NELY
2,20-11-2025,366,370,362,370,765.300,283.161.000,0.00%,1.09%,-1.09%,1.09%,1.09%,2.16%,NELY
3,19-11-2025,368,370,362,366,930.800,340.672.800,0.00%,0.54%,-1.63%,-0.54%,0.54%,5.41%,NELY
4,18-11-2025,364,370,350,368,2.546.600,937.148.800,2.25%,3.93%,-1.69%,3.37%,1.65%,5.95%,NELY
5,17-11-2025,350,368,348,356,1.649.200,587.115.200,0.00%,5.14%,-0.57%,1.71%,5.14%,4.89%,NELY
6,14-11-2025,352,352,350,350,196.800,68.880.000,0.57%,0.57%,0.00%,0.00%,0.00%,1.14%,NELY
7,13-11-2025,348,354,348,350,486.800,170.380.000,0.58%,2.31%,0.58%,1.16%,1.72%,2.82%,NELY
8,12-11-2025,346,348,344,346,132.700,45.914.200,0.00%,0.58%,-0.58%,0.00%,0.58%,1.72%,NELY
9,11-11-2025,344,348,342,346,387.300,134.005.800,0.00%,1.16%,-0.58%,0.58%,1.16%,1.72%,NELY
10,10-11-2025,348,348,342,344,681.900,234.573.600,0.00%,0.00%,-1.72%,-1.15%,0.00%,0.57%,NELY
11,07-11-2025,350,350,346,348,287.300,99.980.400,0.57%,0.57%,-0.57%,0.00%,0.00%,1.14%,NELY
12,06-11-2025,348,350,346,348,304.200,105.861.600,0.00%,0.57%,-0.57%,0.00%,0.57%,1.71%,NELY
13,05-11-2025,346,348,344,348,1.013.700,352.767.600,0.00%,0.58%,-0.58%,0.58%,0.58%,1.72%,NELY
14,04-11-2025,346,348,342,346,323.500,111.931.000,0.00%,0.58%,-1.16%,0.00%,0.58%,1.72%,NELY
15,03-11-2025,346,350,342,346,407.900,141.133.400,-0.57%,0.57%,-1.72%,-0.57%,1.16%,1.14%,NELY
16,31-10-2025,352,354,346,348,623.700,217.047.600,0.57%,1.14%,-1.14%,-0.57%,0.57%,1.69%,NELY
17,30-10-2025,350,354,348,350,344.200,120.470.000,0.57%,1.72%,0.00%,0.57%,1.14%,2.82%,NELY
18,29-10-2025,362,366,344,348,1.260.000,438.480.000,0.00%,1.10%,-4.97%,-3.87%,1.10%,1.64%,NELY
19,28-10-2025,364,370,360,362,466.500,168.873.000,0.55%,2.21%,-0.55%,0.00%,1.65%,3.24%,NELY
20,27-10-2025,360,376,358,362,192.800,69.793.600,0.56%,5.03%,0.00%,1.12%,4.44%,5.85%,NELY
21,24-10-2025,356,362,354,358,114.000,40.812.000,0.00%,1.69%,-0.56%,0.56%,1.69%,2.76%,NELY
22,23-10-2025,356,356,352,356,268.800,95.692.800,0.00%,0.00%,-1.12%,0.00%,0.00%,1.69%,NELY
23,22-10-2025,356,360,350,356,539.300,191.990.800,0.00%,1.12%,-1.69%,0.00%,1.12%,2.22%,NELY
24,21-10-2025,356,360,352,356,632.500,225.170.000,0.00%,1.12%,-1.12%,0.00%,1.12%,2.22%,NELY
25,20-10-2025,354,360,352,356,485.700,172.909.200,0.00%,1.69%,-0.56%,0.56%,1.69%,2.22%,NELY
26,17-10-2025,362,362,352,354,211.500,74.871.000,0.00%,0.00%,-2.76%,-2.21%,0.00%,0.55%,NELY
27,16-10-2025,364,364,360,362,670.200,242.612.400,0.55%,0.55%,-0.55%,0.00%,0.00%,1.10%,NELY
28,15-10-2025,366,368,360,362,711.300,257.490.600,0.00%,0.55%,-1.64%,-1.09%,0.55%,3.26%,NELY
29,14-10-2025,358,378,356,366,649.000,237.534.000,-0.56%,5.00%,-1.11%,1.67%,5.59%,6.35%,NELY
30,13-10-2025,360,362,354,360,531.200,191.232.000,0.00%,0.56%,-1.67%,0.00%,0.56%,3.31%,NELY
31,10-10-2025,370,370,350,360,1.205.600,434.016.000,0.54%,0.54%,-4.89%,-2.17%,0.00%,0.54%,NELY
32,09-10-2025,370,374,368,368,1.120.300,412.270.400,0.00%,1.08%,-0.54%,-0.54%,1.08%,2.14%,NELY
33,08-10-2025,370,374,366,370,1.839.700,680.689.000,-0.54%,0.54%,-1.61%,-0.54%,1.08%,1.07%,NELY
34,07-10-2025,374,378,370,372,1.198.800,445.953.600,0.00%,1.07%,-1.07%,-0.53%,1.07%,2.12%,NELY
35,06-10-2025,380,382,370,374,1.647.800,616.277.200,0.53%,1.06%,-2.12%,-1.06%,0.53%,2.09%,NELY
36,03-10-2025,386,386,374,378,927.700,350.670.600,2.66%,2.66%,-0.53%,0.53%,0.00%,4.66%,NELY
37,02-10-2025,372,380,368,376,1.852.400,696.502.400,1.09%,3.26%,0.00%,2.17%,2.15%,5.26%,NELY
38,01-10-2025,360,370,360,368,1.733.900,638.075.200,-1.10%,1.65%,-1.10%,1.10%,2.78%,2.70%,NELY
39,30-09-2025,364,366,360,364,927.900,337.755.600,0.55%,1.10%,-0.55%,0.55%,0.55%,2.19%,NELY
40,29-09-2025,364,364,358,362,928.300,336.044.600,0.00%,0.00%,-1.65%,-0.55%,0.00%,1.10%,NELY
41,26-09-2025,368,370,360,364,1.288.800,469.123.200,0.55%,1.09%,-1.64%,-0.55%,0.54%,4.86%,NELY
42,25-09-2025,352,368,352,366,1.827.700,668.938.200,-0.56%,3.95%,-0.56%,3.39%,4.55%,5.43%,NELY
43,24-09-2025,352,356,348,354,864.600,306.068.400,0.57%,1.71%,-0.57%,1.14%,1.14%,3.37%,NELY
44,23-09-2025,352,354,344,350,1.393.200,487.620.000,0.00%,0.57%,-2.27%,-0.57%,0.57%,1.69%,NELY
45,22-09-2025,350,352,348,352,535.600,188.531.200,0.00%,0.57%,-0.57%,0.57%,0.57%,1.14%,NELY
46,19-09-2025,348,352,348,350,234.000,81.900.000,0.00%,1.15%,0.00%,0.57%,1.15%,2.27%,NELY
47,18-09-2025,350,350,344,348,870.800,303.038.400,0.00%,0.00%,-1.71%,-0.57%,0.00%,1.14%,NELY
48,17-09-2025,350,356,346,350,934.300,327.005.000,0.00%,1.71%,-1.14%,0.00%,1.71%,3.37%,NELY
49,16-09-2025,354,354,344,350,697.200,244.020.000,0.00%,0.00%,-2.82%,-1.13%,0.00%,1.13%,NELY
50,15-09-2025,352,354,350,354,752.000,266.208.000,0.00%,0.57%,-0.57%,0.57%,0.57%,1.13%,NELY
51,12-09-2025,350,354,350,352,328.500,115.632.000,-0.57%,0.57%,-0.57%,0.00%,1.14%,1.69%,NELY
52,11-09-2025,352,356,348,352,1.442.500,507.760.000,0.57%,1.71%,-0.57%,0.57%,1.14%,3.93%,NELY
53,10-09-2025,346,352,342,350,1.107.700,387.695.000,0.58%,2.33%,-0.58%,1.74%,1.73%,5.11%,NELY
54,09-09-2025,350,352,334,344,825.800,284.075.200,0.00%,0.57%,-4.57%,-1.71%,0.57%,0.57%,NELY
55,08-09-2025,352,354,350,350,314.900,110.215.000,0.00%,0.57%,-0.57%,-0.57%,0.57%,2.26%,NELY
56,04-09-2025,348,354,346,352,465.200,163.750.400,-0.57%,1.14%,-1.14%,0.57%,1.72%,3.95%,NELY
57,03-09-2025,350,352,340,350,1.365.900,478.065.000,0.00%,0.57%,-2.86%,0.00%,0.57%,3.98%,NELY
58,02-09-2025,340,350,338,350,980.200,343.070.000,0.59%,3.55%,0.00%,3.55%,2.94%,4.57%,NELY
59,01-09-2025,340,346,334,338,848.700,286.860.600,-2.30%,-0.57%,-4.02%,-2.87%,1.76%,1.73%,NELY
60,29-08-2025,350,350,340,348,430.800,149.918.400,0.00%,0.00%,-2.86%,-0.57%,0.00%,1.14%,NELY
61,28-08-2025,350,352,346,350,230.900,80.815.000,-0.57%,0.00%,-1.70%,-0.57%,0.57%,1.14%,NELY
62,27-08-2025,352,354,348,352,257.400,90.604.800,0.57%,1.14%,-0.57%,0.57%,0.57%,1.13%,NELY
63,26-08-2025,354,356,350,350,1.191.200,416.920.000,0.00%,0.56%,-1.13%,-1.13%,0.56%,1.69%,NELY
64,25-08-2025,352,354,350,354,818.300,289.678.200,0.00%,0.57%,-0.57%,0.57%,0.57%,1.13%,NELY
65,22-08-2025,350,354,350,352,411.700,144.918.400,0.00%,1.14%,0.00%,0.57%,1.14%,1.69%,NELY
66,21-08-2025,352,352,348,350,590.900,206.815.000,0.57%,0.57%,-0.57%,0.00%,0.00%,2.84%,NELY
67,20-08-2025,346,354,342,350,1.069.200,374.220.000,0.58%,2.91%,-0.58%,1.74%,2.31%,2.82%,NELY
68,19-08-2025,350,350,344,344,261.500,89.956.000,0.00%,0.00%,-1.71%,-1.71%,0.00%,3.43%,NELY
69,15-08-2025,344,352,338,350,1.663.500,582.225.000,0.00%,2.33%,-1.74%,1.74%,2.33%,5.11%,NELY
70,14-08-2025,346,346,334,344,1.507.700,518.648.800,0.00%,0.00%,-3.47%,-0.58%,0.00%,2.31%,NELY
71,13-08-2025,354,354,338,346,663.300,229.501.800,0.57%,0.57%,-3.98%,-1.70%,0.00%,2.26%,NELY
72,12-08-2025,352,352,346,352,1.293.500,455.312.000,0.00%,0.00%,-1.70%,0.00%,0.00%,1.14%,NELY
73,11-08-2025,352,354,348,352,1.216.600,428.243.200,0.00%,0.57%,-1.14%,0.00%,0.57%,6.78%,NELY
74,08-08-2025,334,352,330,352,2.973.300,1.046.601.600,0.00%,5.39%,-1.20%,5.39%,5.39%,6.25%,NELY
75,07-08-2025,346,346,330,334,1.872.200,625.314.800,-0.57%,-0.57%,-5.17%,-4.02%,0.00%,0.58%,NELY
76,06-08-2025,348,352,344,348,950.000,330.600.000,0.00%,1.15%,-1.15%,0.00%,1.15%,1.70%,NELY
77,05-08-2025,356,358,346,348,1.224.200,426.021.600,0.00%,0.56%,-2.81%,-2.25%,0.56%,1.68%,NELY
78,04-08-2025,360,360,352,356,1.720.700,612.569.200,0.00%,0.00%,-2.22%,-1.11%,0.00%,1.11%,NELY
79,01-08-2025,358,362,356,360,782.900,281.844.000,-0.56%,0.56%,-1.11%,0.00%,1.12%,1.66%,NELY
80,31-07-2025,362,366,356,360,627.500,225.900.000,-0.55%,0.55%,-2.20%,-1.10%,1.10%,2.73%,NELY
81,30-07-2025,372,372,356,364,3.358.300,1.222.421.200,-0.53%,-0.53%,-4.81%,-2.67%,0.00%,0.00%,NELY
82,29-07-2025,372,378,372,374,150.100,56.137.400,-0.53%,1.07%,-0.53%,0.00%,1.61%,2.12%,NELY
83,28-07-2025,374,376,370,374,638.100,238.649.400,0.00%,0.53%,-1.07%,0.00%,0.53%,1.06%,NELY
84,25-07-2025,378,378,372,374,910.600,340.564.400,1.07%,1.07%,-0.53%,0.00%,0.00%,1.59%,NELY
85,24-07-2025,374,384,372,374,1.443.900,540.018.600,0.54%,3.23%,0.00%,0.54%,2.67%,3.65%,NELY
86,23-07-2025,370,376,370,372,2.009.900,747.682.800,0.00%,1.62%,0.00%,0.54%,1.62%,3.19%,NELY
87,22-07-2025,364,370,364,370,326.700,120.879.000,0.55%,2.21%,0.55%,2.21%,1.65%,2.16%,NELY
88,21-07-2025,366,366,362,362,161.100,58.318.200,0.55%,0.55%,-0.55%,-0.55%,0.00%,1.09%,NELY
89,18-07-2025,364,368,362,364,919.900,334.843.600,0.00%,1.10%,-0.55%,0.00%,1.10%,2.17%,NELY
90,17-07-2025,362,364,360,364,146.400,53.289.600,0.56%,1.11%,0.00%,1.11%,0.55%,1.65%,NELY
