col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),NFCX
1,2,3,4,5,6,7,8,9,10,11,12,13,14,NFCX
1,21-11-2025,1.675,1.685,1.615,1.675,689.900,1.155.582.500,0.00%,0.60%,-3.58%,0.00%,0.60%,2.08%,NFCX
2,20-11-2025,1.750,1.750,1.650,1.675,357.800,599.315.000,1.74%,1.74%,-4.07%,-2.62%,0.00%,1.71%,NFCX
3,19-11-2025,1.750,1.815,1.720,1.720,359.100,617.652.000,0.57%,4.31%,-1.15%,-1.15%,3.71%,4.13%,NFCX
4,18-11-2025,1.790,1.790,1.740,1.740,102.400,178.176.000,2.58%,2.58%,-0.29%,-0.29%,0.00%,3.35%,NFCX
5,17-11-2025,1.730,1.790,1.730,1.745,112.800,196.836.000,0.29%,3.77%,0.29%,1.16%,3.47%,3.63%,NFCX
6,14-11-2025,1.795,1.835,1.725,1.725,805.100,1.388.797.500,2.87%,5.16%,-1.15%,-1.15%,2.23%,5.18%,NFCX
7,13-11-2025,1.850,1.850,1.740,1.745,122.900,214.460.500,5.41%,5.41%,-0.85%,-0.57%,0.00%,5.41%,NFCX
8,12-11-2025,1.800,1.800,1.750,1.755,95.900,168.304.500,0.56%,0.56%,-2.23%,-1.96%,0.00%,0.56%,NFCX
9,11-11-2025,1.810,1.820,1.790,1.790,452.300,809.617.000,0.56%,1.11%,-0.56%,-0.56%,0.55%,3.30%,NFCX
10,10-11-2025,1.775,1.815,1.760,1.800,127.200,228.960.000,1.14%,3.42%,0.28%,2.56%,2.25%,4.96%,NFCX
11,07-11-2025,1.725,1.780,1.725,1.755,29.400,51.597.000,0.00%,3.19%,0.00%,1.74%,3.19%,4.49%,NFCX
12,06-11-2025,1.710,1.920,1.700,1.725,81.100,139.897.500,0.00%,12.28%,-0.58%,0.88%,12.28%,13.54%,NFCX
13,05-11-2025,1.780,1.780,1.660,1.710,127.700,218.367.000,0.28%,0.28%,-6.48%,-3.66%,0.00%,1.69%,NFCX
14,04-11-2025,1.800,1.800,1.750,1.775,175.700,311.867.500,0.00%,0.00%,-2.78%,-1.39%,0.00%,0.56%,NFCX
15,03-11-2025,1.800,1.810,1.790,1.800,504.000,907.200.000,0.00%,0.56%,-0.56%,0.00%,0.56%,0.55%,NFCX
