col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),NICE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,NICE
1,21-11-2025,406,418,404,412,2.969.200,1.223.310.400,1.00%,3.98%,0.50%,2.49%,2.96%,4.31%,NICE
2,20-11-2025,402,406,400,402,2.115.200,850.310.400,0.00%,1.00%,-0.50%,0.00%,1.00%,1.48%,NICE
3,19-11-2025,402,406,400,402,2.615.000,1.051.230.000,0.00%,1.00%,-0.50%,0.00%,1.00%,0.99%,NICE
4,18-11-2025,408,410,402,402,3.447.800,1.386.015.600,0.00%,0.49%,-1.47%,-1.47%,0.49%,0.98%,NICE
5,17-11-2025,412,414,406,408,1.762.700,719.181.600,0.00%,0.49%,-1.46%,-0.97%,0.49%,0.97%,NICE
6,14-11-2025,410,416,410,412,1.511.400,622.696.800,0.00%,1.46%,0.00%,0.49%,1.46%,1.44%,NICE
7,13-11-2025,414,418,410,410,1.419.900,582.159.000,0.00%,0.97%,-0.97%,-0.97%,0.97%,1.44%,NICE
8,12-11-2025,418,418,412,414,1.291.900,534.846.600,0.48%,0.48%,-0.96%,-0.48%,0.00%,1.91%,NICE
9,11-11-2025,420,420,410,416,1.767.900,735.446.400,0.48%,0.48%,-1.91%,-0.48%,0.00%,1.43%,NICE
10,10-11-2025,416,420,414,418,1.863.900,779.110.200,0.00%,0.96%,-0.48%,0.48%,0.96%,2.38%,NICE
11,07-11-2025,416,418,410,416,2.722.900,1.132.726.400,0.00%,0.48%,-1.44%,0.00%,0.48%,0.96%,NICE
12,06-11-2025,416,422,414,416,3.508.000,1.459.328.000,0.97%,2.43%,0.49%,0.97%,1.44%,5.21%,NICE
13,05-11-2025,402,416,400,412,2.803.200,1.154.918.400,0.00%,3.48%,-0.50%,2.49%,3.48%,3.37%,NICE
14,04-11-2025,404,408,402,402,3.011.500,1.210.623.000,0.50%,1.49%,0.00%,0.00%,0.99%,1.47%,NICE
15,03-11-2025,408,414,402,402,5.858.300,2.355.036.600,0.49%,1.97%,-0.99%,-0.99%,1.47%,2.42%,NICE
16,31-10-2025,420,434,404,406,24.359.300,9.889.875.800,0.00%,3.33%,-3.81%,-3.33%,3.33%,3.69%,NICE
17,30-10-2025,428,438,418,420,18.876.000,7.927.920.000,0.00%,2.34%,-2.34%,-1.87%,2.34%,3.20%,NICE
18,29-10-2025,432,432,424,428,4.114.500,1.761.006.000,0.00%,0.00%,-1.85%,-0.93%,0.00%,0.93%,NICE
19,28-10-2025,430,436,428,432,1.357.800,586.569.600,0.00%,1.40%,-0.47%,0.47%,1.40%,3.21%,NICE
20,27-10-2025,440,440,422,430,3.663.900,1.575.477.000,0.46%,0.46%,-3.65%,-1.83%,0.00%,0.91%,NICE
21,24-10-2025,450,450,436,438,4.777.200,2.092.413.600,0.90%,0.90%,-2.24%,-1.79%,0.00%,1.78%,NICE
22,23-10-2025,444,458,442,446,12.905.700,5.755.942.200,0.00%,3.15%,-0.45%,0.45%,3.15%,6.11%,NICE
23,22-10-2025,434,450,430,444,7.789.300,3.458.449.200,0.00%,3.69%,-0.92%,2.30%,3.69%,4.44%,NICE
24,21-10-2025,436,442,430,434,1.808.100,784.715.400,1.40%,2.79%,0.00%,0.93%,1.38%,3.62%,NICE
25,20-10-2025,426,438,426,430,3.493.300,1.502.119.000,0.00%,2.82%,0.00%,0.94%,2.82%,6.39%,NICE
26,17-10-2025,424,428,410,426,3.451.300,1.470.253.800,0.00%,0.94%,-3.30%,0.47%,0.94%,2.34%,NICE
27,16-10-2025,420,430,418,424,1.512.700,641.384.800,0.00%,2.38%,-0.48%,0.95%,2.38%,2.79%,NICE
28,15-10-2025,426,430,418,420,2.159.700,907.074.000,0.00%,0.94%,-1.88%,-1.41%,0.94%,1.86%,NICE
29,14-10-2025,432,438,422,426,3.657.800,1.558.222.800,0.00%,1.39%,-2.31%,-1.39%,1.39%,4.11%,NICE
30,13-10-2025,428,432,420,432,2.661.100,1.149.595.200,-0.47%,0.47%,-2.33%,0.47%,0.93%,0.93%,NICE
31,10-10-2025,430,440,428,430,2.353.200,1.011.876.000,0.00%,2.33%,-0.47%,0.00%,2.33%,3.18%,NICE
32,09-10-2025,430,436,426,430,3.043.600,1.308.748.000,0.00%,1.40%,-0.93%,0.00%,1.40%,3.67%,NICE
33,08-10-2025,442,444,420,430,11.002.800,4.731.204.000,0.00%,0.45%,-4.98%,-2.71%,0.45%,0.45%,NICE
34,07-10-2025,456,456,442,442,7.749.700,3.425.367.400,0.44%,0.44%,-2.64%,-2.64%,0.00%,3.07%,NICE
35,06-10-2025,458,458,442,454,12.896.200,5.854.874.800,1.33%,1.33%,-2.21%,0.44%,0.00%,4.37%,NICE
36,03-10-2025,440,460,438,452,8.850.200,4.000.290.400,-0.45%,4.07%,-0.90%,2.26%,4.55%,5.22%,NICE
37,02-10-2025,440,448,436,442,11.113.600,4.912.211.200,0.46%,2.28%,-0.46%,0.91%,1.82%,2.23%,NICE
38,01-10-2025,442,444,438,438,3.695.400,1.618.585.200,0.00%,0.45%,-0.90%,-0.90%,0.45%,0.90%,NICE
39,30-09-2025,446,454,440,442,8.966.900,3.963.369.800,-0.45%,1.34%,-1.79%,-1.34%,1.79%,1.32%,NICE
40,29-09-2025,448,454,448,448,3.907.700,1.750.649.600,-0.44%,0.89%,-0.44%,-0.44%,1.34%,3.08%,NICE
41,26-09-2025,452,454,440,450,4.154.300,1.869.435.000,0.44%,0.89%,-2.22%,0.00%,0.44%,0.88%,NICE
42,25-09-2025,460,460,450,450,3.403.600,1.531.620.000,0.88%,0.88%,-1.32%,-1.32%,0.00%,1.74%,NICE
43,24-09-2025,462,468,452,456,6.652.600,3.033.585.600,0.00%,1.30%,-2.16%,-1.30%,1.30%,5.56%,NICE
44,23-09-2025,466,470,442,462,7.409.300,3.423.096.600,0.00%,0.86%,-5.15%,-0.86%,0.86%,4.68%,NICE
45,22-09-2025,452,470,448,466,6.935.400,3.231.896.400,0.00%,3.98%,-0.88%,3.10%,3.98%,5.96%,NICE
46,19-09-2025,454,462,442,452,6.546.000,2.958.792.000,0.00%,1.76%,-2.64%,-0.44%,1.76%,3.03%,NICE
47,18-09-2025,456,466,448,454,7.734.200,3.511.326.800,0.00%,2.19%,-1.75%,-0.44%,2.19%,2.58%,NICE
48,17-09-2025,472,480,454,456,12.085.000,5.510.760.000,0.00%,1.69%,-3.81%,-3.39%,1.69%,2.92%,NICE
49,16-09-2025,492,494,466,472,18.474.200,8.719.822.400,0.82%,1.23%,-4.51%,-3.28%,0.41%,4.05%,NICE
50,15-09-2025,500,500,474,488,31.080.300,15.167.186.400,0.40%,0.40%,-4.82%,-2.01%,0.00%,9.60%,NICE
