col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RAJA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RAJA
1,21-11-2025,4.950,5.050,4.840,4.910,78.620.400,386.026.164.000,-0.80%,1.20%,-3.01%,-1.60%,2.02%,5.94%,RAJA
2,20-11-2025,4.830,5.000,4.750,4.990,81.242.100,405.398.079.000,1.90%,5.49%,0.21%,5.27%,3.52%,6.80%,RAJA
3,19-11-2025,4.660,4.830,4.660,4.740,30.248.400,143.377.416.000,0.87%,4.55%,0.87%,2.60%,3.65%,5.80%,RAJA
4,18-11-2025,4.680,4.770,4.550,4.620,35.799.300,165.392.766.000,-0.21%,1.71%,-2.99%,-1.49%,1.92%,1.68%,RAJA
5,17-11-2025,4.750,4.860,4.690,4.690,34.828.000,163.343.320.000,-0.21%,2.10%,-1.47%,-1.47%,2.32%,2.88%,RAJA
6,14-11-2025,4.760,4.890,4.720,4.760,41.278.200,196.484.232.000,-1.24%,1.45%,-2.07%,-1.24%,2.73%,2.25%,RAJA
7,13-11-2025,4.780,4.950,4.780,4.820,53.180.700,256.330.974.000,0.42%,3.99%,0.42%,1.26%,3.56%,4.65%,RAJA
8,12-11-2025,5.000,5.150,4.720,4.760,75.266.500,358.268.540.000,0.00%,3.00%,-5.60%,-4.80%,3.00%,6.80%,RAJA
9,11-11-2025,5.000,5.200,4.800,5.000,91.790.200,458.951.000.000,0.20%,4.21%,-3.81%,0.20%,4.00%,9.42%,RAJA
10,10-11-2025,4.750,5.050,4.710,4.990,132.945.200,663.396.548.000,3.26%,9.78%,2.39%,8.48%,6.32%,15.64%,RAJA
11,07-11-2025,4.310,4.630,4.260,4.600,70.177.800,322.817.880.000,0.00%,7.42%,-1.16%,6.73%,7.42%,10.15%,RAJA
12,06-11-2025,4.320,4.470,4.160,4.310,86.701.500,373.683.465.000,5.62%,9.29%,1.71%,5.38%,3.47%,10.29%,RAJA
13,05-11-2025,4.090,4.170,4.010,4.090,25.736.200,105.261.058.000,-1.92%,0.00%,-3.84%,-1.92%,1.96%,2.16%,RAJA
14,04-11-2025,4.120,4.270,4.080,4.170,49.112.400,204.798.708.000,0.98%,4.66%,0.00%,2.21%,3.64%,5.15%,RAJA
15,03-11-2025,4.080,4.210,4.050,4.080,35.359.000,144.264.720.000,0.74%,3.95%,0.00%,0.74%,3.19%,5.94%,RAJA
16,31-10-2025,4.030,4.140,3.960,4.050,22.379.700,90.637.785.000,0.75%,3.50%,-1.00%,1.25%,2.73%,4.59%,RAJA
17,30-10-2025,4.000,4.220,3.950,4.000,49.258.000,197.032.000.000,2.30%,7.93%,1.02%,2.30%,5.50%,7.58%,RAJA
18,29-10-2025,4.010,4.060,3.900,3.910,25.289.200,98.880.772.000,0.00%,1.25%,-2.74%,-2.49%,1.25%,7.64%,RAJA
19,28-10-2025,3.860,4.100,3.750,4.010,49.939.700,200.258.197.000,-0.77%,5.40%,-3.60%,3.08%,6.22%,7.80%,RAJA
