col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RALS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RALS
1,21-11-2025,436,438,434,438,1.716.500,751.827.000,0.00%,0.46%,-0.46%,0.46%,0.46%,0.46%,RALS
2,20-11-2025,440,440,436,436,2.613.200,1.139.355.200,0.46%,0.46%,-0.46%,-0.46%,0.00%,1.36%,RALS
3,19-11-2025,434,442,434,438,3.266.800,1.430.858.400,0.00%,1.84%,0.00%,0.92%,1.84%,2.71%,RALS
4,18-11-2025,434,442,430,434,9.493.600,4.120.222.400,0.00%,1.84%,-0.92%,0.00%,1.84%,3.17%,RALS
5,17-11-2025,430,438,428,434,8.441.000,3.663.394.000,0.00%,1.86%,-0.47%,0.93%,1.86%,2.28%,RALS
6,14-11-2025,436,436,428,430,5.036.100,2.165.523.000,0.00%,0.00%,-1.83%,-1.38%,0.00%,0.46%,RALS
7,13-11-2025,440,440,434,436,3.880.400,1.691.854.400,0.92%,0.92%,-0.46%,0.00%,0.00%,0.91%,RALS
8,12-11-2025,440,440,436,436,4.908.200,2.139.975.200,0.00%,0.00%,-0.91%,-0.91%,0.00%,1.36%,RALS
9,11-11-2025,446,450,434,440,8.073.300,3.552.252.000,0.00%,0.90%,-2.69%,-1.35%,0.90%,2.22%,RALS
10,10-11-2025,440,450,440,446,4.821.900,2.150.567.400,0.00%,2.27%,0.00%,1.36%,2.27%,2.22%,RALS
11,07-11-2025,448,448,440,440,8.256.100,3.632.684.000,0.00%,0.00%,-1.79%,-1.79%,0.00%,0.45%,RALS
12,06-11-2025,448,458,446,448,12.496.200,5.598.297.600,0.00%,2.23%,-0.45%,0.00%,2.23%,5.68%,RALS
13,05-11-2025,432,448,432,448,11.598.000,5.195.904.000,0.00%,3.70%,0.00%,3.70%,3.70%,4.02%,RALS
14,04-11-2025,432,438,430,432,7.127.600,3.079.123.200,0.47%,1.86%,0.00%,0.47%,1.39%,2.28%,RALS
15,03-11-2025,430,438,428,430,8.282.800,3.561.604.000,0.47%,2.34%,0.00%,0.47%,1.86%,2.74%,RALS
16,31-10-2025,434,438,426,428,5.754.800,2.463.054.400,0.46%,1.39%,-1.39%,-0.93%,0.92%,3.65%,RALS
17,30-10-2025,426,444,422,432,10.980.300,4.743.489.600,0.00%,4.23%,-0.94%,1.41%,4.23%,4.05%,RALS
18,29-10-2025,430,436,426,426,5.019.800,2.138.434.800,0.47%,1.87%,-0.47%,-0.47%,1.40%,1.83%,RALS
19,28-10-2025,438,442,428,428,9.427.100,4.034.798.800,0.92%,1.84%,-1.38%,-1.38%,0.91%,4.52%,RALS
20,27-10-2025,428,438,422,434,15.895.400,6.898.603.600,0.00%,2.34%,-1.40%,1.40%,2.34%,2.28%,RALS
21,24-10-2025,434,438,428,428,15.960.500,6.831.094.000,0.00%,0.92%,-1.38%,-1.38%,0.92%,9.59%,RALS
22,23-10-2025,400,462,396,434,78.839.600,34.216.386.400,1.01%,16.67%,0.00%,9.60%,15.50%,14.29%,RALS
23,22-10-2025,398,400,396,396,2.856.900,1.131.332.400,0.00%,0.50%,-0.50%,-0.50%,0.50%,1.50%,RALS
24,21-10-2025,394,402,394,398,3.483.700,1.386.512.600,0.00%,2.03%,0.00%,1.02%,2.03%,2.99%,RALS
25,20-10-2025,392,398,390,394,3.804.200,1.498.854.800,0.51%,2.05%,0.00%,1.03%,1.53%,3.02%,RALS
26,17-10-2025,392,392,386,390,2.638.300,1.028.937.000,-0.51%,-0.51%,-2.03%,-1.02%,0.00%,1.02%,RALS
27,16-10-2025,390,394,388,394,1.866.800,735.519.200,0.00%,1.03%,-0.51%,1.03%,1.03%,3.05%,RALS
28,15-10-2025,396,396,382,390,6.292.300,2.453.997.000,0.51%,0.51%,-3.05%,-1.02%,0.00%,0.51%,RALS
29,14-10-2025,398,398,394,394,3.108.600,1.224.788.400,0.00%,0.00%,-1.01%,-1.01%,0.00%,1.51%,RALS
30,13-10-2025,396,400,392,398,3.835.800,1.526.648.400,0.00%,1.01%,-1.01%,0.51%,1.01%,1.50%,RALS
31,10-10-2025,396,398,394,396,2.592.100,1.026.471.600,0.00%,0.51%,-0.51%,0.00%,0.51%,1.01%,RALS
32,09-10-2025,398,400,394,396,3.425.100,1.356.339.600,0.00%,0.50%,-1.01%,-0.50%,0.50%,1.00%,RALS
33,08-10-2025,400,402,396,398,3.640.800,1.449.038.400,0.00%,0.50%,-1.00%,-0.50%,0.50%,1.00%,RALS
34,07-10-2025,402,404,398,400,2.705.300,1.082.120.000,0.50%,1.00%,-0.50%,0.00%,0.50%,1.49%,RALS
35,06-10-2025,402,404,398,400,4.293.600,1.717.440.000,0.00%,0.50%,-1.00%,-0.50%,0.50%,1.49%,RALS
36,03-10-2025,404,404,398,402,7.057.200,2.836.994.400,0.00%,0.00%,-1.49%,-0.50%,0.00%,0.99%,RALS
37,02-10-2025,402,404,400,404,3.837.100,1.550.188.400,0.00%,0.50%,-0.50%,0.50%,0.50%,1.49%,RALS
38,01-10-2025,402,406,398,402,7.034.100,2.827.708.200,0.00%,1.00%,-1.00%,0.00%,1.00%,2.96%,RALS
39,30-09-2025,398,402,394,402,6.742.500,2.710.485.000,0.00%,1.01%,-1.01%,1.01%,1.01%,2.49%,RALS
40,29-09-2025,396,398,392,398,3.639.800,1.448.640.400,0.51%,1.02%,-0.51%,1.02%,0.51%,2.01%,RALS
41,26-09-2025,392,396,390,394,2.862.300,1.127.746.200,0.00%,1.02%,-0.51%,0.51%,1.02%,2.02%,RALS
42,25-09-2025,392,394,388,392,2.125.400,833.156.800,0.00%,0.51%,-1.02%,0.00%,0.51%,1.02%,RALS
43,24-09-2025,396,396,390,392,2.132.300,835.861.600,0.51%,0.51%,-1.02%,-0.51%,0.00%,1.01%,RALS
