col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RANC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RANC
1,21-11-2025,1.060,1.065,965,995,359.500,357.702.500,4.95%,5.45%,-4.46%,-1.49%,0.47%,8.92%,RANC
2,20-11-2025,1.000,1.010,970,1.010,180.100,181.901.000,0.00%,1.00%,-3.00%,1.00%,1.00%,2.48%,RANC
3,19-11-2025,1.005,1.025,985,1.000,1.187.000,1.187.000.000,-2.43%,-0.49%,-4.37%,-2.91%,1.99%,2.44%,RANC
4,18-11-2025,1.085,1.175,1.000,1.030,314.100,323.523.000,3.83%,12.44%,-4.31%,-1.44%,8.29%,13.19%,RANC
5,17-11-2025,1.110,1.125,1.020,1.045,451.800,472.131.000,-1.33%,0.00%,-9.33%,-7.11%,1.35%,10.67%,RANC
6,14-11-2025,1.155,1.185,1.005,1.125,1.001.100,1.126.237.500,5.00%,7.73%,-8.64%,2.27%,2.60%,15.19%,RANC
7,13-11-2025,1.240,1.240,1.005,1.100,2.571.900,2.829.090.000,24.00%,24.00%,0.50%,10.00%,0.00%,26.21%,RANC
8,12-11-2025,920,1.140,915,1.000,4.732.600,4.732.600.000,0.55%,24.59%,0.00%,9.29%,23.91%,26.75%,RANC
9,11-11-2025,835,960,835,915,1.210.600,1.107.699.000,-1.18%,13.61%,-1.18%,8.28%,14.97%,13.54%,RANC
10,10-11-2025,870,950,830,845,816.800,690.196.000,0.00%,9.20%,-4.60%,-2.87%,9.20%,11.58%,RANC
11,07-11-2025,870,945,840,870,385.100,335.037.000,1.16%,9.88%,-2.33%,1.16%,8.62%,10.05%,RANC
12,06-11-2025,890,925,850,860,365.300,314.158.000,0.00%,3.93%,-4.49%,-3.37%,3.93%,5.41%,RANC
13,05-11-2025,875,940,875,890,511.200,454.968.000,-7.89%,-1.05%,-7.89%,-6.32%,7.43%,8.51%,RANC
14,04-11-2025,970,990,860,950,1.808.900,1.718.455.000,-3.00%,-1.00%,-14.00%,-5.00%,2.06%,19.19%,RANC
15,03-11-2025,800,1.000,800,1.000,1.863.400,1.863.400.000,0.00%,25.00%,0.00%,25.00%,25.00%,26.50%,RANC
16,31-10-2025,785,800,735,800,151.800,121.440.000,0.00%,1.91%,-6.37%,1.91%,1.91%,1.88%,RANC
17,30-10-2025,815,825,785,785,160.900,126.306.500,0.62%,1.85%,-3.09%,-3.09%,1.23%,4.85%,RANC
18,29-10-2025,845,855,785,810,242.800,196.668.000,2.42%,3.64%,-4.85%,-1.82%,1.18%,7.02%,RANC
19,28-10-2025,840,850,795,825,244.000,201.300.000,0.60%,1.80%,-4.79%,-1.20%,1.19%,2.35%,RANC
20,27-10-2025,1.015,1.015,830,835,1.432.700,1.196.304.500,4.10%,4.10%,-14.87%,-14.36%,0.00%,4.43%,RANC
21,24-10-2025,1.075,1.080,970,975,926.900,903.727.500,10.26%,10.77%,-0.51%,0.00%,0.47%,12.04%,RANC
22,23-10-2025,1.100,1.145,950,975,1.500.100,1.462.597.500,0.00%,4.09%,-13.64%,-11.36%,4.09%,19.21%,RANC
23,22-10-2025,1.100,1.100,925,1.100,2.572.000,2.829.200.000,25.00%,25.00%,5.11%,25.00%,0.00%,20.00%,RANC
24,21-10-2025,880,880,880,880,408.100,359.128.000,10.00%,10.00%,10.00%,10.00%,0.00%,17.05%,RANC
25,20-10-2025,730,800,730,800,641.600,513.280.000,0.00%,9.59%,0.00%,9.59%,9.59%,8.75%,RANC
26,17-10-2025,730,730,730,730,1.099.100,802.343.000,-9.88%,-9.88%,-9.88%,-9.88%,0.00%,-10.96%,RANC
27,16-10-2025,810,810,810,810,156.900,127.089.000,-10.00%,-10.00%,-10.00%,-10.00%,0.00%,-11.11%,RANC
28,15-10-2025,900,900,900,900,137.900,124.110.000,-10.00%,-10.00%,-10.00%,-10.00%,0.00%,-11.11%,RANC
29,14-10-2025,1.220,1.220,1.000,1.000,2.468.300,2.468.300.000,9.91%,9.91%,-9.91%,-9.91%,0.00%,9.02%,RANC
30,13-10-2025,1.110,1.110,1.110,1.110,491.100,545.121.000,9.90%,9.90%,9.90%,9.90%,0.00%,9.01%,RANC
31,10-10-2025,1.010,1.010,1.010,1.010,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RANC
32,09-10-2025,1.010,1.010,1.010,1.010,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RANC
33,08-10-2025,1.010,1.010,1.010,1.010,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RANC
34,07-10-2025,1.010,1.010,1.010,1.010,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RANC
35,06-10-2025,1.010,1.010,1.010,1.010,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RANC
36,03-10-2025,1.010,1.010,1.010,1.010,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RANC
37,02-10-2025,1.010,1.010,1.010,1.010,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RANC
38,01-10-2025,1.010,1.010,1.010,1.010,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RANC
39,30-09-2025,1.010,1.010,1.010,1.010,1.488.900,1.503.789.000,24.69%,24.69%,24.69%,24.69%,0.00%,19.80%,RANC
40,29-09-2025,810,810,810,810,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,RANC
41,26-09-2025,810,810,800,810,2.127.100,1.722.951.000,24.62%,24.62%,23.08%,24.62%,0.00%,29.63%,RANC
42,25-09-2025,570,650,570,650,862.300,560.495.000,9.62%,25.00%,9.62%,25.00%,14.04%,36.00%,RANC
43,24-09-2025,418,520,416,520,3.022.100,1.571.492.000,0.00%,24.40%,-0.48%,24.40%,24.40%,23.08%,RANC
44,23-09-2025,418,424,400,418,124.100,51.873.800,-1.42%,0.00%,-5.66%,-1.42%,1.44%,1.42%,RANC
45,22-09-2025,424,426,418,424,39.900,16.917.600,0.47%,0.95%,-0.95%,0.47%,0.47%,1.88%,RANC
46,19-09-2025,426,426,418,422,15.700,6.625.400,0.47%,0.47%,-1.42%,-0.47%,0.00%,0.47%,RANC
47,18-09-2025,426,426,424,424,33.100,14.034.400,0.47%,0.47%,0.00%,0.00%,0.00%,3.29%,RANC
48,17-09-2025,424,424,412,424,2.900,1.229.600,0.47%,0.47%,-2.37%,0.47%,0.00%,1.42%,RANC
49,16-09-2025,420,424,418,422,14.600,6.161.200,0.00%,0.95%,-0.48%,0.48%,0.95%,1.89%,RANC
50,15-09-2025,422,426,416,420,15.300,6.426.000,0.00%,0.95%,-1.42%,-0.47%,0.95%,3.76%,RANC
51,12-09-2025,418,426,410,422,460.100,194.162.200,0.00%,1.91%,-1.91%,0.96%,1.91%,3.76%,RANC
52,11-09-2025,410,418,410,418,1.000,418.000,-1.44%,0.48%,-1.44%,0.48%,1.95%,1.91%,RANC
53,10-09-2025,410,420,410,416,4.000,1.664.000,-1.91%,0.48%,-1.91%,-0.48%,2.44%,2.38%,RANC
54,09-09-2025,418,418,410,418,12.700,5.308.600,0.00%,0.00%,-1.91%,0.00%,0.00%,1.91%,RANC
55,08-09-2025,418,418,410,418,5.500,2.299.000,0.00%,0.00%,-1.91%,0.00%,0.00%,1.91%,RANC
56,04-09-2025,410,418,410,418,2.200,919.600,0.00%,1.95%,0.00%,1.95%,1.95%,1.91%,RANC
57,03-09-2025,416,418,410,410,17.400,7.134.000,0.00%,0.48%,-1.44%,-1.44%,0.48%,1.91%,RANC
58,02-09-2025,416,416,410,416,8.200,3.411.200,0.00%,0.00%,-1.44%,0.00%,0.00%,3.85%,RANC
59,01-09-2025,408,420,400,416,16.000,6.656.000,-1.45%,1.45%,-3.38%,0.48%,2.94%,1.43%,RANC
60,29-08-2025,416,420,414,414,21.300,8.818.200,0.00%,0.96%,-0.48%,-0.48%,0.96%,0.95%,RANC
61,28-08-2025,418,424,416,416,5.200,2.163.200,0.97%,2.42%,0.48%,0.48%,1.44%,2.36%,RANC
62,27-08-2025,424,424,414,414,32.000,13.248.000,0.00%,0.00%,-2.36%,-2.36%,0.00%,3.30%,RANC
63,26-08-2025,418,460,410,424,475.000,201.400.000,0.00%,10.05%,-1.91%,1.44%,10.05%,11.74%,RANC
64,25-08-2025,414,426,406,418,107.700,45.018.600,0.49%,3.40%,-1.46%,1.46%,2.90%,5.16%,RANC
65,22-08-2025,412,412,404,412,32.100,13.225.200,0.49%,0.49%,-1.46%,0.49%,0.00%,0.97%,RANC
66,21-08-2025,418,422,408,410,8.200,3.362.000,0.97%,1.93%,-1.45%,-0.97%,0.96%,1.90%,RANC
67,20-08-2025,414,414,414,414,6.700,2.773.800,0.00%,0.00%,0.00%,0.00%,0.00%,1.93%,RANC
68,19-08-2025,412,414,406,414,29.500,12.213.000,0.00%,0.49%,-1.46%,0.49%,0.49%,0.97%,RANC
69,15-08-2025,416,416,410,412,28.900,11.906.800,0.48%,0.48%,-0.97%,-0.48%,0.00%,2.88%,RANC
70,14-08-2025,404,418,404,414,22.100,9.149.400,0.00%,3.47%,0.00%,2.48%,3.47%,3.35%,RANC
71,13-08-2025,412,416,404,404,7.800,3.151.200,0.00%,0.97%,-1.94%,-1.94%,0.97%,1.44%,RANC
72,12-08-2025,410,416,410,412,12.900,5.314.800,-1.44%,0.00%,-1.44%,-0.96%,1.46%,1.92%,RANC
73,11-08-2025,408,416,408,416,11.800,4.908.800,-0.49%,1.46%,-0.49%,1.46%,1.96%,1.44%,RANC
74,08-08-2025,414,414,410,410,28.300,11.603.000,0.98%,0.98%,0.00%,0.00%,0.00%,0.97%,RANC
75,07-08-2025,416,416,410,410,4.900,2.009.000,1.96%,1.96%,0.49%,0.49%,0.00%,2.40%,RANC
76,06-08-2025,408,418,406,408,27.400,11.179.200,-1.92%,0.48%,-2.40%,-1.92%,2.45%,0.48%,RANC
77,05-08-2025,416,416,416,416,500,208.000,-0.48%,-0.48%,-0.48%,-0.48%,0.00%,2.40%,RANC
78,04-08-2025,406,418,406,418,600,250.800,-2.40%,0.48%,-2.40%,0.48%,2.96%,0.48%,RANC
79,01-08-2025,416,416,416,416,2.700,1.123.200,0.00%,0.00%,0.00%,0.00%,0.00%,1.44%,RANC
80,31-07-2025,416,418,410,416,9.000,3.744.000,0.97%,1.46%,-0.49%,0.97%,0.48%,1.91%,RANC
81,30-07-2025,412,412,410,412,7.200,2.966.400,0.49%,0.49%,0.00%,0.49%,0.00%,0.97%,RANC
82,29-07-2025,410,414,408,410,14.800,6.068.000,-1.44%,-0.48%,-1.92%,-1.44%,0.98%,0.00%,RANC
83,28-07-2025,414,418,414,416,6.300,2.620.800,0.00%,0.97%,0.00%,0.48%,0.97%,0.96%,RANC
84,25-07-2025,416,416,414,414,4.000,1.656.000,0.48%,0.48%,0.00%,0.00%,0.00%,1.92%,RANC
85,24-07-2025,420,424,408,414,67.000,27.738.000,0.00%,0.95%,-2.86%,-1.43%,0.95%,4.25%,RANC
86,23-07-2025,412,420,406,420,21.200,8.904.000,0.98%,2.94%,-0.49%,2.94%,1.94%,3.33%,RANC
87,22-07-2025,414,414,406,408,38.200,15.585.600,0.00%,0.00%,-1.93%,-1.45%,0.00%,0.48%,RANC
88,21-07-2025,418,418,412,414,23.300,9.646.200,0.00%,0.00%,-1.44%,-0.96%,0.00%,0.00%,RANC
