col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RELI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RELI
1,21-11-2025,625,670,590,625,225.100,140.687.500,0.00%,7.20%,-5.60%,0.00%,7.20%,10.45%,RELI
2,20-11-2025,625,640,600,625,13.300,8.312.500,0.00%,2.40%,-4.00%,0.00%,2.40%,2.34%,RELI
3,19-11-2025,635,635,625,625,3.500,2.187.500,0.79%,0.79%,-0.79%,-0.79%,0.00%,3.94%,RELI
4,18-11-2025,640,645,610,630,17.200,10.836.000,-0.78%,0.00%,-5.43%,-2.33%,0.78%,6.20%,RELI
5,17-11-2025,630,650,605,645,23.200,14.964.000,-0.79%,2.36%,-4.72%,1.57%,3.17%,6.15%,RELI
6,14-11-2025,635,635,610,635,4.500,2.857.500,0.00%,0.00%,-3.94%,0.00%,0.00%,5.51%,RELI
7,13-11-2025,620,650,600,635,28.700,18.224.500,-0.80%,4.00%,-4.00%,1.60%,4.84%,3.85%,RELI
8,12-11-2025,630,630,625,625,11.700,7.312.500,0.00%,0.00%,-0.79%,-0.79%,0.00%,0.79%,RELI
9,11-11-2025,635,635,625,630,19.100,12.033.000,-1.55%,-1.55%,-3.10%,-2.33%,0.00%,1.57%,RELI
10,10-11-2025,650,655,625,645,7.500,4.837.500,0.00%,0.77%,-3.85%,-0.77%,0.77%,3.82%,RELI
11,07-11-2025,660,660,630,650,21.900,14.235.000,3.13%,3.13%,-1.56%,1.56%,0.00%,4.55%,RELI
12,06-11-2025,655,655,630,640,19.100,12.224.000,0.00%,0.00%,-3.82%,-2.29%,0.00%,3.05%,RELI
13,05-11-2025,665,665,635,655,31.000,20.305.000,0.76%,0.76%,-3.79%,-0.76%,0.00%,6.02%,RELI
14,04-11-2025,625,665,625,660,80.300,52.998.000,0.00%,6.40%,0.00%,5.60%,6.40%,8.27%,RELI
15,03-11-2025,615,670,610,625,60.200,37.625.000,-0.81%,8.06%,-1.61%,0.81%,8.94%,8.96%,RELI
16,31-10-2025,620,620,610,620,3.000,1.860.000,0.00%,0.00%,-1.61%,0.00%,0.00%,3.23%,RELI
17,30-10-2025,640,640,600,620,21.800,13.516.000,4.92%,4.92%,-1.64%,1.64%,0.00%,5.47%,RELI
18,29-10-2025,625,640,605,610,11.400,6.954.000,0.00%,2.40%,-3.20%,-2.40%,2.40%,6.25%,RELI
19,28-10-2025,610,640,600,625,9.600,6.000.000,0.00%,4.92%,-1.64%,2.46%,4.92%,4.69%,RELI
20,27-10-2025,610,630,610,610,3.900,2.379.000,-3.17%,0.00%,-3.17%,-3.17%,3.28%,2.38%,RELI
21,24-10-2025,615,635,615,630,23.300,14.679.000,-2.38%,0.79%,-2.38%,0.00%,3.25%,3.15%,RELI
22,23-10-2025,630,635,615,630,24.500,15.435.000,0.80%,1.60%,-1.60%,0.80%,0.79%,2.36%,RELI
23,22-10-2025,620,640,620,625,15.100,9.437.500,0.00%,3.23%,0.00%,0.81%,3.23%,4.69%,RELI
24,21-10-2025,650,650,610,620,12.500,7.750.000,3.17%,3.17%,-3.17%,-1.59%,0.00%,6.92%,RELI
25,20-10-2025,605,640,605,630,4.100,2.583.000,-3.20%,2.40%,-3.20%,0.80%,5.79%,2.34%,RELI
26,17-10-2025,650,650,625,625,47.100,29.437.500,4.00%,4.00%,0.00%,0.00%,0.00%,4.62%,RELI
27,16-10-2025,660,660,620,625,46.800,29.250.000,5.60%,5.60%,-0.80%,0.00%,0.00%,6.06%,RELI
28,15-10-2025,635,635,620,625,56.600,35.375.000,0.00%,0.00%,-2.36%,-1.57%,0.00%,0.79%,RELI
29,14-10-2025,650,650,630,635,75.200,47.752.000,1.56%,1.56%,-1.56%,-0.78%,0.00%,1.54%,RELI
30,13-10-2025,685,690,640,640,128.100,81.984.000,0.74%,1.47%,-5.88%,-5.88%,0.73%,1.45%,RELI
31,10-10-2025,800,850,680,680,1.546.500,1.051.620.000,0.00%,6.25%,-15.00%,-15.00%,6.25%,21.18%,RELI
32,09-10-2025,700,800,670,800,1.444.300,1.155.440.000,0.72%,15.11%,-3.60%,15.11%,14.29%,22.50%,RELI
33,08-10-2025,635,790,620,695,441.400,306.773.000,0.00%,24.41%,-2.36%,9.45%,24.41%,19.62%,RELI
34,07-10-2025,635,660,635,635,19.500,12.382.500,-1.55%,2.33%,-1.55%,-1.55%,3.94%,3.79%,RELI
35,06-10-2025,635,685,635,645,52.600,33.927.000,0.00%,7.87%,0.00%,1.57%,7.87%,9.49%,RELI
36,03-10-2025,635,650,620,635,23.600,14.986.000,-2.31%,0.00%,-4.62%,-2.31%,2.36%,4.62%,RELI
37,02-10-2025,675,675,620,650,107.500,69.875.000,4.65%,4.65%,-3.88%,0.78%,0.00%,7.41%,RELI
38,01-10-2025,650,650,625,645,14.000,9.030.000,0.00%,0.00%,-3.85%,-0.77%,0.00%,3.08%,RELI
39,30-09-2025,630,650,630,650,3.400,2.210.000,-3.08%,0.00%,-3.08%,0.00%,3.17%,3.08%,RELI
40,29-09-2025,635,660,630,650,24.500,15.925.000,-1.55%,2.33%,-2.33%,0.78%,3.94%,4.55%,RELI
41,26-09-2025,650,650,630,645,29.000,18.705.000,0.00%,0.00%,-3.08%,-0.77%,0.00%,3.08%,RELI
42,25-09-2025,670,670,630,650,58.900,38.285.000,0.00%,0.00%,-5.97%,-2.99%,0.00%,2.99%,RELI
43,24-09-2025,670,670,650,670,26.900,18.023.000,-0.74%,-0.74%,-3.70%,-0.74%,0.00%,4.48%,RELI
44,23-09-2025,650,690,640,675,119.600,80.730.000,-1.52%,4.55%,-3.03%,2.27%,6.15%,8.70%,RELI
45,22-09-2025,730,750,630,660,224.700,148.302.000,4.29%,7.14%,-10.00%,-5.71%,2.74%,16.67%,RELI
46,19-09-2025,650,790,625,700,663.100,464.170.000,0.00%,21.54%,-3.85%,7.69%,21.54%,18.99%,RELI
47,18-09-2025,665,665,640,650,77.200,50.180.000,2.31%,2.31%,-1.54%,0.00%,0.00%,3.01%,RELI
48,17-09-2025,730,755,645,650,259.300,168.545.000,2.10%,5.59%,-9.79%,-9.09%,3.42%,8.61%,RELI
49,16-09-2025,725,800,690,715,1.087.300,777.419.500,13.28%,25.00%,7.81%,11.72%,10.34%,22.50%,RELI
50,15-09-2025,640,650,620,640,28.800,18.432.000,-0.78%,0.78%,-3.88%,-0.78%,1.56%,1.54%,RELI
51,12-09-2025,650,665,640,645,17.200,11.094.000,1.56%,3.91%,0.00%,0.78%,2.31%,5.26%,RELI
52,11-09-2025,635,650,630,640,3.200,2.048.000,0.00%,2.36%,-0.79%,0.79%,2.36%,3.08%,RELI
53,10-09-2025,640,665,630,635,8.000,5.080.000,0.00%,3.91%,-1.56%,-0.78%,3.91%,6.77%,RELI
54,09-09-2025,620,675,620,640,19.200,12.288.000,-2.36%,6.30%,-2.36%,0.79%,8.87%,8.15%,RELI
55,08-09-2025,670,670,620,635,87.100,55.308.500,3.08%,3.08%,-4.62%,-2.31%,0.00%,3.73%,RELI
56,04-09-2025,690,690,645,650,31.900,20.735.000,5.34%,5.34%,-1.53%,-0.76%,0.00%,5.80%,RELI
57,03-09-2025,710,710,650,655,101.400,66.417.000,5.19%,5.19%,-3.70%,-2.96%,0.00%,12.68%,RELI
58,02-09-2025,640,760,620,675,565.300,381.577.500,2.40%,21.60%,-0.80%,8.00%,18.75%,22.37%,RELI
59,01-09-2025,645,645,590,625,63.600,39.750.000,-0.77%,-0.77%,-9.23%,-3.85%,0.00%,2.33%,RELI
60,29-08-2025,710,750,630,650,77.100,50.115.000,2.90%,8.70%,-8.70%,-5.80%,5.63%,12.67%,RELI
61,28-08-2025,730,730,655,690,319.800,220.662.000,0.00%,0.00%,-10.27%,-5.48%,0.00%,2.74%,RELI
62,27-08-2025,820,880,710,730,616.400,449.972.000,1.86%,9.32%,-11.80%,-9.32%,7.32%,18.18%,RELI
63,26-08-2025,805,850,720,805,2.685.200,2.161.586.000,18.38%,25.00%,5.88%,18.38%,5.59%,34.12%,RELI
64,25-08-2025,560,680,560,680,612.800,416.704.000,2.75%,24.77%,2.75%,24.77%,21.43%,22.06%,RELI
65,22-08-2025,530,675,530,545,800.300,436.163.500,-1.85%,25.00%,-1.85%,0.93%,27.36%,22.22%,RELI
66,21-08-2025,535,555,525,540,91.800,49.572.000,-0.93%,2.78%,-2.78%,0.00%,3.74%,4.50%,RELI
67,20-08-2025,545,560,530,540,58.700,31.698.000,0.00%,2.75%,-2.75%,-0.92%,2.75%,5.36%,RELI
68,19-08-2025,560,580,530,545,79.500,43.327.500,0.00%,3.57%,-5.36%,-2.68%,3.57%,3.45%,RELI
69,15-08-2025,565,585,560,560,47.700,26.712.000,-0.88%,2.63%,-1.75%,-1.75%,3.54%,3.42%,RELI
70,14-08-2025,580,590,565,570,39.800,22.686.000,0.00%,1.72%,-2.59%,-1.72%,1.72%,4.24%,RELI
71,13-08-2025,600,600,565,580,127.200,73.776.000,-0.83%,-0.83%,-6.61%,-4.13%,0.00%,3.33%,RELI
72,12-08-2025,605,620,580,605,53.500,32.367.500,0.00%,2.48%,-4.13%,0.00%,2.48%,4.03%,RELI
73,11-08-2025,595,650,595,605,63.500,38.417.500,0.00%,9.24%,0.00%,1.68%,9.24%,14.62%,RELI
74,08-08-2025,640,640,555,595,313.500,186.532.500,-0.78%,-0.78%,-13.95%,-7.75%,0.00%,2.34%,RELI
