col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RGAS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RGAS
1,21-11-2025,99,100,98,99,821.000,81.279.000,-1.00%,0.00%,-2.00%,-1.00%,1.01%,2.00%,RGAS
2,20-11-2025,99,100,98,100,3.494.100,349.410.000,0.00%,1.01%,-1.01%,1.01%,1.01%,2.00%,RGAS
3,19-11-2025,99,100,98,99,1.493.400,147.846.600,0.00%,1.01%,-1.01%,0.00%,1.01%,2.00%,RGAS
4,18-11-2025,100,100,98,99,4.045.100,400.464.900,0.00%,0.00%,-2.00%,-1.00%,0.00%,2.00%,RGAS
5,17-11-2025,100,103,98,100,18.997.600,1.899.760.000,0.00%,3.00%,-2.00%,0.00%,3.00%,3.88%,RGAS
6,14-11-2025,99,103,99,100,14.259.700,1.425.970.000,-1.00%,3.00%,-1.00%,0.00%,4.04%,3.88%,RGAS
7,13-11-2025,101,101,99,100,2.053.500,205.350.000,1.00%,1.00%,-1.00%,0.00%,0.00%,2.97%,RGAS
8,12-11-2025,100,101,98,100,3.163.300,316.330.000,1.01%,2.02%,-1.01%,1.01%,1.00%,2.97%,RGAS
9,11-11-2025,100,101,98,99,4.842.100,479.367.900,-0.99%,0.00%,-2.97%,-1.98%,1.00%,1.98%,RGAS
10,10-11-2025,101,102,99,101,7.245.000,731.745.000,-0.98%,0.00%,-2.94%,-0.98%,0.99%,4.90%,RGAS
11,07-11-2025,100,103,97,102,29.507.800,3.009.795.600,-0.99%,1.98%,-3.96%,0.99%,3.00%,3.88%,RGAS
12,06-11-2025,102,102,99,101,7.737.000,781.437.000,0.00%,0.00%,-2.94%,-0.98%,0.00%,7.84%,RGAS
13,05-11-2025,95,102,94,102,69.417.900,7.080.625.800,-1.04%,6.25%,-2.08%,6.25%,7.37%,6.86%,RGAS
14,04-11-2025,97,97,95,96,2.201.300,211.324.800,0.00%,0.00%,-2.06%,-1.03%,0.00%,2.06%,RGAS
15,03-11-2025,98,98,95,97,27.329.300,2.650.942.100,0.00%,0.00%,-3.06%,-1.02%,0.00%,2.04%,RGAS
16,31-10-2025,98,98,96,98,1.700.900,166.688.200,0.00%,0.00%,-2.04%,0.00%,0.00%,3.06%,RGAS
17,30-10-2025,95,99,95,98,27.953.300,2.739.423.400,-2.06%,2.06%,-2.06%,1.03%,4.21%,4.04%,RGAS
18,29-10-2025,96,97,95,97,7.501.400,727.635.800,0.00%,1.04%,-1.04%,1.04%,1.04%,2.06%,RGAS
19,28-10-2025,97,99,95,96,20.535.700,1.971.427.200,0.00%,2.06%,-2.06%,-1.03%,2.06%,5.05%,RGAS
20,27-10-2025,96,97,94,97,22.650.400,2.197.088.800,0.00%,1.04%,-2.08%,1.04%,1.04%,3.09%,RGAS
21,24-10-2025,95,96,94,96,7.049.500,676.752.000,0.00%,1.05%,-1.05%,1.05%,1.05%,2.08%,RGAS
22,23-10-2025,96,97,94,95,16.356.200,1.553.839.000,0.00%,1.04%,-2.08%,-1.04%,1.04%,3.09%,RGAS
23,22-10-2025,95,97,94,96,9.043.100,868.137.600,0.00%,2.11%,-1.05%,1.05%,2.11%,5.15%,RGAS
24,21-10-2025,94,95,92,95,13.014.600,1.236.387.000,0.00%,1.06%,-2.13%,1.06%,1.06%,3.16%,RGAS
25,20-10-2025,94,94,92,94,1.714.200,161.134.800,0.00%,0.00%,-2.13%,0.00%,0.00%,3.19%,RGAS
26,17-10-2025,94,98,91,94,31.652.600,2.975.344.400,0.00%,4.26%,-3.19%,0.00%,4.26%,6.12%,RGAS
27,16-10-2025,93,98,92,94,23.111.000,2.172.434.000,-1.06%,4.26%,-2.13%,0.00%,5.38%,7.14%,RGAS
28,15-10-2025,94,94,91,94,11.759.100,1.105.355.400,0.00%,0.00%,-3.19%,0.00%,0.00%,1.06%,RGAS
