col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RIGS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RIGS
1,21-11-2025,770,770,765,765,6.900,5.278.500,0.65%,0.65%,0.00%,0.00%,0.00%,1.95%,RIGS
2,20-11-2025,765,775,755,765,44.700,34.195.500,-0.65%,0.65%,-1.95%,-0.65%,1.31%,2.58%,RIGS
3,19-11-2025,780,780,755,770,81.800,62.986.000,0.00%,0.00%,-3.21%,-1.28%,0.00%,1.28%,RIGS
4,18-11-2025,780,780,770,780,2.100,1.638.000,-0.64%,-0.64%,-1.91%,-0.64%,0.00%,1.92%,RIGS
5,17-11-2025,775,790,765,785,25.200,19.782.000,0.00%,1.94%,-1.29%,1.29%,1.94%,3.80%,RIGS
6,14-11-2025,775,775,760,775,26.500,20.537.500,0.00%,0.00%,-1.94%,0.00%,0.00%,2.58%,RIGS
7,13-11-2025,780,780,755,775,39.500,30.612.500,0.00%,0.00%,-3.21%,-0.64%,0.00%,1.92%,RIGS
8,12-11-2025,780,785,765,780,25.600,19.968.000,0.00%,0.64%,-1.92%,0.00%,0.64%,1.27%,RIGS
9,11-11-2025,795,795,775,780,185.800,144.924.000,0.00%,0.00%,-2.52%,-1.89%,0.00%,4.40%,RIGS
10,10-11-2025,780,795,760,795,62.300,49.528.500,0.00%,1.92%,-2.56%,1.92%,1.92%,1.89%,RIGS
11,07-11-2025,785,785,780,780,23.200,18.096.000,0.00%,0.00%,-0.64%,-0.64%,0.00%,1.27%,RIGS
12,06-11-2025,775,790,775,785,15.000,11.775.000,-2.52%,-0.63%,-2.52%,-1.26%,1.94%,1.27%,RIGS
13,05-11-2025,790,795,780,795,16.400,13.038.000,0.00%,0.63%,-1.27%,0.63%,0.63%,2.52%,RIGS
14,04-11-2025,790,795,775,790,17.500,13.825.000,-0.63%,0.00%,-2.52%,-0.63%,0.63%,1.89%,RIGS
15,03-11-2025,800,800,780,795,10.200,8.109.000,0.63%,0.63%,-1.89%,0.00%,0.00%,4.38%,RIGS
16,31-10-2025,800,800,765,795,279.500,222.202.500,0.00%,0.00%,-4.38%,-0.63%,0.00%,4.38%,RIGS
17,30-10-2025,805,805,765,800,252.900,202.320.000,0.00%,0.00%,-4.97%,-0.62%,0.00%,0.62%,RIGS
18,29-10-2025,800,805,800,805,6.600,5.313.000,0.00%,0.63%,0.00%,0.63%,0.63%,1.86%,RIGS
19,28-10-2025,795,800,790,800,26.600,21.280.000,0.00%,0.63%,-0.63%,0.63%,0.63%,1.25%,RIGS
20,27-10-2025,825,825,790,795,238.500,189.607.500,0.00%,0.00%,-4.24%,-3.64%,0.00%,1.82%,RIGS
21,24-10-2025,830,850,810,825,62.500,51.562.500,0.61%,3.03%,-1.82%,0.00%,2.41%,4.12%,RIGS
22,23-10-2025,820,850,815,825,228.400,188.430.000,0.61%,4.29%,0.00%,1.23%,3.66%,8.82%,RIGS
23,22-10-2025,800,820,775,815,260.000,211.900.000,0.63%,3.14%,-2.52%,2.52%,2.50%,4.27%,RIGS
24,21-10-2025,790,800,785,795,43.100,34.264.500,-0.63%,0.63%,-1.26%,0.00%,1.27%,2.50%,RIGS
25,20-10-2025,790,825,780,795,164.100,130.459.500,0.00%,4.43%,-1.27%,0.63%,4.43%,6.67%,RIGS
26,17-10-2025,795,800,770,790,39.300,31.047.000,0.00%,0.63%,-3.14%,-0.63%,0.63%,3.13%,RIGS
27,16-10-2025,800,800,775,795,42.700,33.946.500,0.00%,0.00%,-3.13%,-0.63%,0.00%,3.13%,RIGS
28,15-10-2025,810,810,775,800,109.800,87.840.000,5.19%,5.19%,0.65%,3.90%,0.00%,4.94%,RIGS
29,14-10-2025,815,815,770,770,56.500,43.505.000,1.88%,1.88%,-3.75%,-3.75%,0.00%,2.45%,RIGS
30,13-10-2025,805,820,795,800,167.900,134.320.000,0.00%,1.86%,-1.24%,-0.62%,1.86%,4.88%,RIGS
31,10-10-2025,795,810,780,805,68.700,55.303.500,-1.85%,0.00%,-3.70%,-0.62%,1.89%,3.70%,RIGS
32,09-10-2025,825,825,780,810,166.900,135.189.000,0.00%,0.00%,-5.45%,-1.82%,0.00%,3.64%,RIGS
33,08-10-2025,835,835,795,825,352.200,290.565.000,0.00%,0.00%,-4.79%,-1.20%,0.00%,2.40%,RIGS
34,07-10-2025,825,835,815,835,62.400,52.104.000,0.00%,1.21%,-1.21%,1.21%,1.21%,1.80%,RIGS
35,06-10-2025,830,830,820,825,255.900,211.117.500,-0.60%,-0.60%,-1.80%,-1.20%,0.00%,1.81%,RIGS
36,03-10-2025,860,860,815,835,320.300,267.450.500,2.99%,2.99%,-2.40%,0.00%,0.00%,5.23%,RIGS
37,02-10-2025,840,845,815,835,84.000,70.140.000,0.00%,0.60%,-2.98%,-0.60%,0.60%,2.96%,RIGS
38,01-10-2025,850,850,820,840,73.500,61.740.000,0.00%,0.00%,-3.53%,-1.18%,0.00%,2.94%,RIGS
39,30-09-2025,865,865,825,850,351.000,298.350.000,2.98%,2.98%,-1.79%,1.19%,0.00%,5.20%,RIGS
40,29-09-2025,845,870,820,840,63.500,53.340.000,0.00%,2.96%,-2.96%,-0.59%,2.96%,6.90%,RIGS
41,26-09-2025,875,890,810,845,620.600,524.407.000,0.00%,1.71%,-7.43%,-3.43%,1.71%,5.62%,RIGS
42,25-09-2025,850,875,840,875,77.900,68.162.500,-1.16%,1.74%,-2.33%,1.74%,2.94%,10.29%,RIGS
43,24-09-2025,875,890,785,860,391.900,337.034.000,4.17%,5.95%,-6.55%,2.38%,1.71%,6.74%,RIGS
44,23-09-2025,835,890,830,840,823.000,691.320.000,0.60%,7.23%,0.00%,1.20%,6.59%,8.43%,RIGS
