col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RISE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RISE
1,21-11-2025,11.175,12.050,11.175,11.675,1.139.000,13.297.825.000,0.45%,8.31%,0.45%,4.94%,7.83%,9.96%,RISE
2,20-11-2025,12.075,12.075,10.850,11.125,1.295.600,14.413.550.000,-0.41%,-0.41%,-10.52%,-8.25%,0.00%,3.73%,RISE
3,19-11-2025,12.650,13.525,11.625,12.125,2.894.600,35.097.025.000,3.90%,11.09%,-4.52%,-0.41%,6.92%,19.96%,RISE
4,18-11-2025,11.800,12.650,10.825,12.175,6.569.800,79.987.315.000,11.85%,19.91%,2.61%,15.40%,7.20%,24.90%,RISE
5,17-11-2025,9.950,10.550,9.500,10.550,3.034.600,32.015.030.000,13.07%,19.89%,7.95%,19.89%,6.03%,19.19%,RISE
6,14-11-2025,9.125,9.125,8.525,8.800,514.900,4.531.120.000,1.39%,1.39%,-5.28%,-2.22%,0.00%,2.19%,RISE
7,13-11-2025,9.375,9.450,8.925,9.000,936.500,8.428.500.000,0.00%,0.80%,-4.80%,-4.00%,0.80%,4.76%,RISE
8,12-11-2025,9.600,9.725,9.000,9.375,1.037.900,9.730.312.500,-4.00%,-2.75%,-10.00%,-6.25%,1.30%,8.48%,RISE
9,11-11-2025,9.900,10.000,8.900,10.000,1.401.700,14.017.000.000,0.00%,1.01%,-10.10%,1.01%,1.01%,12.25%,RISE
10,10-11-2025,10.250,10.250,8.775,9.900,1.934.900,19.155.510.000,19.88%,19.88%,2.63%,15.79%,0.00%,22.93%,RISE
11,07-11-2025,8.050,8.550,7.900,8.550,965.300,8.253.315.000,0.00%,6.21%,-1.86%,6.21%,6.21%,12.87%,RISE
12,06-11-2025,8.000,8.550,7.450,8.050,856.200,6.892.410.000,0.00%,6.88%,-6.88%,0.63%,6.88%,15.79%,RISE
13,05-11-2025,8.000,8.250,7.200,8.000,1.923.700,15.389.600.000,-4.19%,-1.20%,-13.77%,-4.19%,3.13%,-1.21%,RISE
14,04-11-2025,8.350,9.300,8.350,8.350,4.573.600,38.189.560.000,-14.80%,-5.10%,-14.80%,-14.80%,11.38%,-5.38%,RISE
15,03-11-2025,11.550,11.700,9.800,9.800,3.502.900,34.328.420.000,0.22%,1.52%,-14.97%,-14.97%,1.30%,1.71%,RISE
16,31-10-2025,12.075,12.300,11.500,11.525,649.900,7.490.097.500,0.00%,1.86%,-4.76%,-4.55%,1.86%,4.47%,RISE
17,30-10-2025,12.375,12.475,11.750,12.075,606.200,7.319.865.000,0.81%,1.63%,-4.28%,-1.63%,0.81%,10.22%,RISE
18,29-10-2025,12.850,14.500,11.200,12.275,2.660.200,32.653.955.000,0.00%,12.84%,-12.84%,-4.47%,12.84%,37.07%,RISE
19,28-10-2025,9.125,12.850,9.125,12.850,6.532.400,83.941.340.000,-14.92%,19.81%,-14.92%,19.81%,40.82%,16.54%,RISE
20,27-10-2025,15.100,15.100,10.725,10.725,6.701.600,71.874.660.000,19.84%,19.84%,-14.88%,-14.88%,0.00%,16.56%,RISE
21,24-10-2025,12.600,12.600,12.600,12.600,335.200,4.223.520.000,20.00%,20.00%,20.00%,20.00%,0.00%,16.67%,RISE
22,23-10-2025,10.500,10.500,10.500,10.500,1.413.400,14.840.700.000,20.00%,20.00%,20.00%,20.00%,0.00%,16.67%,RISE
23,22-10-2025,8.750,8.750,8.750,8.750,1.754.400,15.351.000.000,19.86%,19.86%,19.86%,19.86%,0.00%,16.57%,RISE
24,21-10-2025,7.300,7.300,7.300,7.300,3.084.200,22.514.660.000,19.67%,19.67%,19.67%,19.67%,0.00%,16.44%,RISE
25,20-10-2025,6.500,6.500,6.100,6.100,6.544.200,39.919.620.000,6.56%,6.56%,0.00%,0.00%,0.00%,6.15%,RISE
26,17-10-2025,6.100,6.100,6.100,6.100,276.300,1.685.430.000,9.91%,9.91%,9.91%,9.91%,0.00%,9.02%,RISE
27,16-10-2025,5.550,5.550,5.550,5.550,529.300,2.937.615.000,9.90%,9.90%,9.90%,9.90%,0.00%,9.01%,RISE
28,15-10-2025,5.050,5.050,5.050,5.050,60.900,307.545.000,9.78%,9.78%,9.78%,9.78%,0.00%,8.91%,RISE
29,14-10-2025,4.600,4.600,4.600,4.600,70.300,323.380.000,9.79%,9.79%,9.79%,9.79%,0.00%,8.91%,RISE
30,13-10-2025,4.190,4.190,4.190,4.190,4.700,19.693.000,9.97%,9.97%,9.97%,9.97%,0.00%,9.07%,RISE
31,10-10-2025,3.810,3.810,3.810,3.810,1.300,4.953.000,9.80%,9.80%,9.80%,9.80%,0.00%,8.92%,RISE
32,09-10-2025,3.470,3.470,3.470,3.470,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
33,08-10-2025,3.470,3.470,3.470,3.470,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
34,07-10-2025,3.470,3.470,3.470,3.470,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
35,06-10-2025,3.470,3.470,3.470,3.470,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
36,03-10-2025,3.470,3.470,3.470,3.470,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
37,02-10-2025,3.470,3.470,3.470,3.470,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
38,01-10-2025,3.470,3.470,3.470,3.470,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
39,30-09-2025,3.470,3.470,3.470,3.470,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
40,29-09-2025,3.470,3.470,3.470,3.470,126.200,437.914.000,24.82%,24.82%,24.82%,24.82%,0.00%,19.88%,RISE
41,26-09-2025,2.780,2.780,2.780,2.780,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RISE
42,25-09-2025,2.780,2.780,2.780,2.780,2.400,6.672.000,24.66%,24.66%,24.66%,24.66%,0.00%,19.78%,RISE
43,24-09-2025,2.230,2.230,2.230,2.230,3.300,7.359.000,24.58%,24.58%,24.58%,24.58%,0.00%,19.73%,RISE
44,23-09-2025,1.790,1.790,1.790,1.790,17.800,31.862.000,24.74%,24.74%,24.74%,24.74%,0.00%,35.75%,RISE
45,22-09-2025,1.155,1.435,1.150,1.435,940.500,1.349.617.500,0.43%,24.78%,0.00%,24.78%,24.24%,24.74%,RISE
46,19-09-2025,1.080,1.150,1.080,1.150,390.400,448.960.000,-4.42%,1.77%,-4.42%,1.77%,6.48%,6.96%,RISE
47,18-09-2025,1.105,1.130,1.070,1.130,391.400,442.282.000,0.00%,2.26%,-3.17%,2.26%,2.26%,5.31%,RISE
48,17-09-2025,1.070,1.115,1.070,1.105,502.600,555.373.000,-4.04%,0.00%,-4.04%,-0.90%,4.21%,0.00%,RISE
49,16-09-2025,1.115,1.115,1.115,1.115,468.000,521.820.000,0.00%,0.00%,0.00%,0.00%,0.00%,1.35%,RISE
50,15-09-2025,1.100,1.115,1.100,1.115,249.000,277.635.000,0.00%,1.36%,0.00%,1.36%,1.36%,2.24%,RISE
51,12-09-2025,1.095,1.105,1.090,1.100,404.400,444.840.000,0.00%,0.91%,-0.46%,0.46%,0.91%,4.07%,RISE
52,11-09-2025,1.115,1.115,1.060,1.095,639.200,699.924.000,0.45%,0.45%,-4.50%,-1.35%,0.00%,1.35%,RISE
53,10-09-2025,1.105,1.115,1.100,1.110,303.800,337.218.000,0.45%,1.36%,0.00%,0.91%,0.90%,8.52%,RISE
54,09-09-2025,1.020,1.100,1.020,1.100,575.400,632.940.000,0.00%,7.84%,0.00%,7.84%,7.84%,9.55%,RISE
55,08-09-2025,995,1.030,995,1.020,297.300,303.246.000,-0.50%,3.00%,-0.50%,2.00%,3.52%,3.88%,RISE
56,04-09-2025,1.010,1.010,990,1.000,641.700,641.700.000,0.00%,0.00%,-1.98%,-0.99%,0.00%,0.50%,RISE
57,03-09-2025,1.020,1.020,1.005,1.010,942.500,951.925.000,0.00%,0.00%,-1.47%,-0.98%,0.00%,0.49%,RISE
58,02-09-2025,1.020,1.020,1.015,1.020,571.500,582.930.000,0.00%,0.00%,-0.49%,0.00%,0.00%,0.49%,RISE
59,01-09-2025,1.050,1.055,1.015,1.020,632.700,645.354.000,-0.47%,0.00%,-3.79%,-3.32%,0.48%,0.47%,RISE
60,29-08-2025,1.055,1.055,1.050,1.055,638.800,673.934.000,0.00%,0.00%,-0.47%,0.00%,0.00%,0.47%,RISE
61,28-08-2025,1.055,1.055,1.050,1.055,625.600,660.008.000,0.00%,0.00%,-0.47%,0.00%,0.00%,0.47%,RISE
62,27-08-2025,1.055,1.060,1.050,1.055,641.000,676.255.000,0.00%,0.47%,-0.47%,0.00%,0.47%,0.94%,RISE
63,26-08-2025,1.055,1.055,1.050,1.055,640.800,676.044.000,0.00%,0.00%,-0.47%,0.00%,0.00%,0.00%,RISE
64,25-08-2025,1.055,1.055,1.055,1.055,537.700,567.273.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.47%,RISE
65,22-08-2025,1.055,1.055,1.050,1.055,605.800,639.119.000,0.00%,0.00%,-0.47%,0.00%,0.00%,0.47%,RISE
66,21-08-2025,1.055,1.055,1.050,1.055,661.100,697.460.500,0.00%,0.00%,-0.47%,0.00%,0.00%,0.47%,RISE
67,20-08-2025,1.055,1.055,1.050,1.055,712.300,751.476.500,0.00%,0.00%,-0.47%,0.00%,0.00%,0.00%,RISE
68,19-08-2025,1.055,1.055,1.055,1.055,590.900,623.399.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.47%,RISE
69,15-08-2025,1.055,1.055,1.050,1.055,552.900,583.309.500,0.00%,0.00%,-0.47%,0.00%,0.00%,0.47%,RISE
70,14-08-2025,1.055,1.055,1.050,1.055,637.300,672.351.500,0.00%,0.00%,-0.47%,0.00%,0.00%,1.42%,RISE
71,13-08-2025,1.050,1.055,1.040,1.055,375.400,396.047.000,-0.47%,0.00%,-1.42%,0.00%,0.48%,0.47%,RISE
72,12-08-2025,1.055,1.060,1.050,1.055,498.000,525.390.000,0.00%,0.47%,-0.47%,0.00%,0.47%,0.94%,RISE
73,11-08-2025,1.055,1.065,1.050,1.055,232.000,244.760.000,0.00%,0.95%,-0.47%,0.00%,0.95%,2.35%,RISE
74,08-08-2025,1.040,1.055,1.040,1.055,662.900,699.359.500,0.00%,1.44%,0.00%,1.44%,1.44%,1.90%,RISE
75,07-08-2025,1.040,1.040,1.035,1.040,65.000,67.600.000,0.00%,0.00%,-0.48%,0.00%,0.00%,0.48%,RISE
76,06-08-2025,1.040,1.040,1.035,1.040,69.900,72.696.000,-0.95%,-0.95%,-1.43%,-0.95%,0.00%,-0.48%,RISE
77,05-08-2025,1.050,1.050,1.045,1.050,520.600,546.630.000,0.00%,0.00%,-0.48%,0.00%,0.00%,0.48%,RISE
78,04-08-2025,1.055,1.055,1.045,1.050,625.900,657.195.000,0.48%,0.48%,-0.48%,0.00%,0.00%,0.95%,RISE
79,01-08-2025,1.050,1.050,1.045,1.050,631.000,662.550.000,0.00%,0.00%,-0.48%,0.00%,0.00%,0.48%,RISE
80,31-07-2025,1.050,1.050,1.045,1.050,522.400,548.520.000,0.00%,0.00%,-0.48%,0.00%,0.00%,0.48%,RISE
81,30-07-2025,1.050,1.050,1.045,1.050,469.700,493.185.000,0.00%,0.00%,-0.48%,0.00%,0.00%,0.48%,RISE
82,29-07-2025,1.050,1.050,1.045,1.050,667.600,700.980.000,0.00%,0.00%,-0.48%,0.00%,0.00%,0.48%,RISE
83,28-07-2025,1.050,1.050,1.045,1.050,522.500,548.625.000,0.00%,0.00%,-0.48%,0.00%,0.00%,0.00%,RISE
