col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RMKE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RMKE
1,21-11-2025,3.040,3.090,3.010,3.010,10.760.900,32.390.309.000,-0.65%,0.98%,-1.63%,-1.63%,1.64%,2.91%,RMKE
2,20-11-2025,3.050,3.100,3.000,3.060,12.140.300,37.149.318.000,0.00%,1.64%,-1.64%,0.33%,1.64%,7.42%,RMKE
3,19-11-2025,2.900,3.070,2.870,3.050,20.368.200,62.123.010.000,-0.68%,5.14%,-1.71%,4.45%,5.86%,8.14%,RMKE
4,18-11-2025,2.960,2.960,2.820,2.920,13.607.100,39.732.732.000,0.68%,0.68%,-4.08%,-0.68%,0.00%,9.46%,RMKE
5,17-11-2025,2.700,2.960,2.680,2.940,20.905.800,61.463.052.000,-0.37%,9.23%,-1.11%,8.49%,9.63%,12.50%,RMKE
6,14-11-2025,2.650,2.740,2.590,2.710,14.320.500,38.808.555.000,-0.75%,2.62%,-3.00%,1.50%,3.40%,4.38%,RMKE
7,13-11-2025,2.660,2.700,2.620,2.670,9.469.300,25.283.031.000,0.38%,1.89%,-1.13%,0.75%,1.50%,5.19%,RMKE
8,12-11-2025,2.620,2.670,2.560,2.650,8.155.600,21.612.340.000,0.38%,2.30%,-1.92%,1.53%,1.91%,3.37%,RMKE
9,11-11-2025,2.610,2.660,2.580,2.610,8.506.900,22.203.009.000,-0.38%,1.53%,-1.53%,-0.38%,1.92%,1.88%,RMKE
10,10-11-2025,2.810,2.810,2.610,2.620,8.576.400,22.470.168.000,0.72%,0.72%,-6.45%,-6.09%,0.00%,3.20%,RMKE
11,07-11-2025,2.760,2.860,2.720,2.790,12.998.600,36.266.094.000,-0.72%,2.88%,-2.16%,0.36%,3.62%,5.94%,RMKE
12,06-11-2025,2.730,2.810,2.690,2.780,9.601.400,26.691.892.000,0.37%,3.31%,-1.10%,2.21%,2.93%,6.76%,RMKE
13,05-11-2025,2.660,2.730,2.620,2.720,10.545.000,28.682.400.000,-1.48%,1.11%,-2.96%,0.74%,2.63%,4.03%,RMKE
14,04-11-2025,2.660,2.740,2.620,2.700,7.724.000,20.854.800.000,-1.12%,1.86%,-2.60%,0.37%,3.01%,8.03%,RMKE
15,03-11-2025,2.680,2.730,2.520,2.690,15.248.300,41.017.927.000,1.52%,3.41%,-4.55%,1.89%,1.87%,7.69%,RMKE
16,31-10-2025,2.680,2.700,2.520,2.640,10.738.400,28.349.376.000,0.37%,1.12%,-5.62%,-1.12%,0.75%,7.41%,RMKE
17,30-10-2025,2.620,2.730,2.500,2.670,13.667.000,36.490.890.000,-1.87%,2.25%,-6.37%,0.00%,4.20%,4.76%,RMKE
18,29-10-2025,2.820,2.840,2.600,2.670,9.024.600,24.095.682.000,0.36%,1.07%,-7.47%,-4.98%,0.71%,11.97%,RMKE
19,28-10-2025,2.850,2.850,2.500,2.810,2.827.400,7.944.994.000,5.17%,5.17%,-7.75%,3.69%,0.00%,15.79%,RMKE
20,27-10-2025,2.710,2.710,2.400,2.710,2.602.500,7.052.775.000,9.72%,9.72%,-2.83%,9.72%,0.00%,8.86%,RMKE
21,24-10-2025,2.470,2.470,2.470,2.470,392.400,969.228.000,9.78%,9.78%,9.78%,9.78%,0.00%,16.60%,RMKE
22,23-10-2025,2.060,2.250,2.060,2.250,458.900,1.032.525.000,0.49%,9.76%,0.49%,9.76%,9.22%,10.22%,RMKE
23,22-10-2025,2.020,2.070,2.020,2.050,1.067.100,2.187.555.000,-8.18%,-5.91%,-8.18%,-6.82%,2.48%,1.45%,RMKE
24,21-10-2025,2.040,2.260,2.040,2.200,10.973.800,24.142.360.000,-9.73%,0.00%,-9.73%,-2.65%,10.78%,0.00%,RMKE
25,20-10-2025,2.260,2.260,2.260,2.260,309.600,699.696.000,-9.96%,-9.96%,-9.96%,-9.96%,0.00%,-11.06%,RMKE
26,17-10-2025,2.510,2.510,2.510,2.510,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RMKE
27,16-10-2025,2.510,2.510,2.510,2.510,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RMKE
28,15-10-2025,2.510,2.510,2.510,2.510,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RMKE
29,14-10-2025,2.510,2.510,2.510,2.510,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RMKE
30,13-10-2025,2.510,2.510,2.510,2.510,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RMKE
31,10-10-2025,2.510,2.510,2.510,2.510,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RMKE
32,09-10-2025,2.510,2.510,2.510,2.510,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,5.18%,RMKE
33,08-10-2025,2.450,2.650,2.380,2.510,8.335.600,20.922.356.000,6.06%,14.72%,3.03%,8.66%,8.16%,12.83%,RMKE
34,07-10-2025,2.310,2.310,2.310,2.310,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,18.40%,RMKE
35,06-10-2025,1.885,2.310,1.885,2.310,28.090.700,64.889.517.000,1.62%,24.53%,1.62%,24.53%,22.55%,22.08%,RMKE
36,03-10-2025,1.810,1.875,1.800,1.855,9.189.600,17.046.708.000,0.00%,3.59%,-0.55%,2.49%,3.59%,5.07%,RMKE
37,02-10-2025,1.805,1.860,1.780,1.810,13.369.900,24.199.519.000,-0.55%,2.48%,-1.93%,-0.28%,3.05%,12.37%,RMKE
38,01-10-2025,1.820,1.860,1.630,1.815,9.713.200,17.629.458.000,0.00%,2.20%,-10.44%,-0.27%,2.20%,16.67%,RMKE
39,30-09-2025,1.550,1.915,1.550,1.820,24.416.800,44.438.576.000,0.98%,24.76%,0.98%,18.57%,23.55%,26.63%,RMKE
40,29-09-2025,1.405,1.550,1.405,1.535,8.720.600,13.386.121.000,0.72%,11.11%,0.72%,10.04%,10.32%,16.77%,RMKE
