col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RODA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RODA
1,21-11-2025,45,45,45,45,17.500,787.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RODA
2,20-11-2025,45,45,45,45,98.000,4.410.000,2.27%,2.27%,2.27%,2.27%,0.00%,4.44%,RODA
3,19-11-2025,46,46,43,44,172.800,7.603.200,0.00%,0.00%,-6.52%,-4.35%,0.00%,0.00%,RODA
4,18-11-2025,46,46,46,46,3.200,147.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RODA
5,17-11-2025,46,46,46,46,27.200,1.251.200,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RODA
6,14-11-2025,46,46,46,46,132.200,6.081.200,0.00%,0.00%,0.00%,0.00%,0.00%,2.17%,RODA
7,13-11-2025,47,47,45,46,113.200,5.207.200,4.44%,4.44%,0.00%,2.22%,0.00%,8.51%,RODA
8,12-11-2025,43,45,43,45,95.400,4.293.000,0.00%,4.65%,0.00%,4.65%,4.65%,4.44%,RODA
9,11-11-2025,47,47,43,43,55.700,2.395.100,0.00%,0.00%,-8.51%,-8.51%,0.00%,0.00%,RODA
10,10-11-2025,48,48,47,47,212.800,10.001.600,6.67%,6.67%,4.44%,4.44%,0.00%,6.25%,RODA
11,07-11-2025,45,45,45,45,141.300,6.358.500,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RODA
12,06-11-2025,45,45,45,45,171.600,7.722.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,RODA
13,05-11-2025,45,45,45,45,195.700,8.806.500,-2.17%,-2.17%,-2.17%,-2.17%,0.00%,11.11%,RODA
14,04-11-2025,44,46,40,46,174.300,8.017.800,0.00%,4.55%,-9.09%,4.55%,4.55%,10.87%,RODA
15,03-11-2025,41,44,41,44,58.900,2.591.600,0.00%,7.32%,0.00%,7.32%,7.32%,6.82%,RODA
16,31-10-2025,41,41,41,41,394.300,16.166.300,-4.65%,-4.65%,-4.65%,-4.65%,0.00%,-2.44%,RODA
17,30-10-2025,43,43,42,43,282.500,12.147.500,0.00%,0.00%,-2.33%,0.00%,0.00%,0.00%,RODA
18,29-10-2025,45,45,43,43,145.000,6.235.000,0.00%,0.00%,-4.44%,-4.44%,0.00%,0.00%,RODA
19,28-10-2025,45,45,45,45,332.300,14.953.500,0.00%,0.00%,0.00%,0.00%,0.00%,4.44%,RODA
20,27-10-2025,43,45,43,45,420.400,18.918.000,0.00%,4.65%,0.00%,4.65%,4.65%,13.33%,RODA
