col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ROTI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ROTI
1,21-11-2025,790,800,790,795,410.700,326.506.500,-1.25%,0.00%,-1.25%,-0.63%,1.27%,1.25%,ROTI
2,20-11-2025,795,800,790,800,363.600,290.880.000,0.00%,0.63%,-0.63%,0.63%,0.63%,1.88%,ROTI
3,19-11-2025,795,800,785,795,569.000,452.355.000,0.00%,0.63%,-1.26%,0.00%,0.63%,1.25%,ROTI
4,18-11-2025,800,800,790,795,447.100,355.444.500,0.00%,0.00%,-1.25%,-0.63%,0.00%,1.25%,ROTI
5,17-11-2025,800,805,790,800,483.700,386.960.000,0.63%,1.26%,-0.63%,0.63%,0.63%,1.24%,ROTI
6,14-11-2025,800,800,795,795,142.800,113.526.000,0.63%,0.63%,0.00%,0.00%,0.00%,0.63%,ROTI
7,13-11-2025,800,800,795,795,79.300,63.043.500,0.00%,0.00%,-0.63%,-0.63%,0.00%,0.00%,ROTI
8,12-11-2025,800,805,800,800,45.900,36.720.000,0.00%,0.63%,0.00%,0.00%,0.63%,1.24%,ROTI
9,11-11-2025,805,805,795,800,248.400,198.720.000,0.00%,0.00%,-1.24%,-0.62%,0.00%,1.24%,ROTI
10,10-11-2025,800,805,795,805,144.200,116.081.000,0.63%,1.26%,0.00%,1.26%,0.63%,1.86%,ROTI
11,07-11-2025,795,800,790,795,220.700,175.456.500,0.00%,0.63%,-0.63%,0.00%,0.63%,1.25%,ROTI
12,06-11-2025,795,805,790,795,305.100,242.554.500,0.00%,1.26%,-0.63%,0.00%,1.26%,1.24%,ROTI
13,05-11-2025,800,805,795,795,107.800,85.701.000,0.00%,0.63%,-0.63%,-0.63%,0.63%,1.24%,ROTI
14,04-11-2025,805,810,795,800,275.900,220.720.000,0.00%,0.62%,-1.24%,-0.62%,0.62%,1.85%,ROTI
15,03-11-2025,800,805,795,805,229.700,184.908.500,0.00%,0.63%,-0.63%,0.63%,0.63%,1.24%,ROTI
16,31-10-2025,800,805,795,800,251.900,201.520.000,0.00%,0.63%,-0.63%,0.00%,0.63%,1.24%,ROTI
17,30-10-2025,800,805,795,800,418.900,335.120.000,0.00%,0.63%,-0.63%,0.00%,0.63%,1.24%,ROTI
18,29-10-2025,795,805,795,800,147.000,117.600.000,0.00%,1.26%,0.00%,0.63%,1.26%,1.24%,ROTI
19,28-10-2025,800,805,795,795,171.600,136.422.000,0.00%,0.63%,-0.63%,-0.63%,0.63%,1.86%,ROTI
20,27-10-2025,795,805,790,800,395.800,316.640.000,0.63%,1.90%,0.00%,1.27%,1.26%,1.86%,ROTI
21,24-10-2025,795,800,790,790,209.200,165.268.000,0.00%,0.63%,-0.63%,-0.63%,0.63%,1.25%,ROTI
22,23-10-2025,795,795,790,795,192.300,152.878.500,0.63%,0.63%,0.00%,0.63%,0.00%,1.26%,ROTI
23,22-10-2025,790,795,785,790,216.600,171.114.000,0.00%,0.63%,-0.63%,0.00%,0.63%,1.26%,ROTI
24,21-10-2025,790,795,785,790,127.900,101.041.000,0.00%,0.63%,-0.63%,0.00%,0.63%,1.26%,ROTI
25,20-10-2025,790,790,785,790,119.400,94.326.000,0.00%,0.00%,-0.63%,0.00%,0.00%,1.27%,ROTI
26,17-10-2025,790,790,780,790,337.700,266.783.000,0.00%,0.00%,-1.27%,0.00%,0.00%,0.63%,ROTI
27,16-10-2025,790,795,785,790,109.500,86.505.000,0.00%,0.63%,-0.63%,0.00%,0.63%,1.89%,ROTI
28,15-10-2025,795,795,780,790,705.400,557.266.000,0.00%,0.00%,-1.89%,-0.63%,0.00%,1.26%,ROTI
29,14-10-2025,795,795,785,795,349.300,277.693.500,0.00%,0.00%,-1.26%,0.00%,0.00%,1.26%,ROTI
30,13-10-2025,795,795,785,795,141.000,112.095.000,0.00%,0.00%,-1.26%,0.00%,0.00%,1.26%,ROTI
31,10-10-2025,795,800,785,795,217.700,173.071.500,0.00%,0.63%,-1.26%,0.00%,0.63%,1.88%,ROTI
32,09-10-2025,795,795,785,795,174.000,138.330.000,0.00%,0.00%,-1.26%,0.00%,0.00%,1.26%,ROTI
33,08-10-2025,795,795,785,795,342.900,272.605.500,0.00%,0.00%,-1.26%,0.00%,0.00%,1.26%,ROTI
34,07-10-2025,790,795,785,795,619.900,492.820.500,-0.63%,0.00%,-1.26%,0.00%,0.63%,1.89%,ROTI
