col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),RUIS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,RUIS
1,21-11-2025,198,199,196,196,1.291.100,253.055.600,0.51%,1.02%,-0.51%,-0.51%,0.51%,1.01%,RUIS
2,20-11-2025,197,204,197,197,1.598.500,314.904.500,-1.01%,2.51%,-1.01%,-1.01%,3.55%,3.43%,RUIS
3,19-11-2025,198,206,197,199,3.299.500,656.600.500,0.00%,4.04%,-0.51%,0.51%,4.04%,4.37%,RUIS
4,18-11-2025,208,220,197,198,18.231.700,3.609.876.600,0.97%,6.80%,-4.37%,-3.88%,5.77%,14.09%,RUIS
5,17-11-2025,192,216,189,206,29.516.000,6.080.296.000,0.00%,12.50%,-1.56%,7.29%,12.50%,12.96%,RUIS
6,14-11-2025,193,193,188,192,804.200,154.406.400,0.52%,0.52%,-2.08%,0.00%,0.00%,2.07%,RUIS
7,13-11-2025,194,194,189,192,1.884.100,361.747.200,0.00%,0.00%,-2.58%,-1.03%,0.00%,1.55%,RUIS
8,12-11-2025,194,195,191,194,1.726.500,334.941.000,0.00%,0.52%,-1.55%,0.00%,0.52%,1.54%,RUIS
9,11-11-2025,194,196,192,194,1.365.600,264.926.400,0.52%,1.55%,-0.52%,0.52%,1.03%,2.04%,RUIS
10,10-11-2025,194,196,192,193,626.900,120.991.700,0.00%,1.03%,-1.03%,-0.52%,1.03%,2.04%,RUIS
11,07-11-2025,194,195,192,194,457.200,88.696.800,0.00%,0.52%,-1.03%,0.00%,0.52%,1.03%,RUIS
12,06-11-2025,196,196,193,194,1.221.500,236.971.000,0.00%,0.00%,-1.53%,-1.02%,0.00%,2.04%,RUIS
13,05-11-2025,196,197,192,196,297.500,58.310.000,-0.51%,0.00%,-2.54%,-0.51%,0.51%,3.05%,RUIS
14,04-11-2025,194,200,191,197,645.600,127.183.200,0.00%,3.09%,-1.55%,1.55%,3.09%,3.50%,RUIS
15,03-11-2025,198,202,193,194,876.600,170.060.400,0.00%,2.02%,-2.53%,-2.02%,2.02%,2.97%,RUIS
16,31-10-2025,199,204,196,198,525.700,104.088.600,0.51%,3.03%,-1.01%,0.00%,2.51%,3.92%,RUIS
17,30-10-2025,198,202,196,198,1.391.900,275.596.200,0.00%,2.02%,-1.01%,0.00%,2.02%,1.98%,RUIS
18,29-10-2025,204,204,198,198,381.900,75.616.200,2.51%,2.51%,-0.50%,-0.50%,0.00%,2.45%,RUIS
19,28-10-2025,200,202,199,199,691.900,137.688.100,0.50%,1.51%,0.00%,0.00%,1.00%,2.48%,RUIS
20,27-10-2025,204,210,197,199,459.100,91.360.900,0.00%,2.94%,-3.43%,-2.45%,2.94%,3.81%,RUIS
21,24-10-2025,210,212,202,204,1.265.100,258.080.400,1.94%,2.91%,-1.94%,-0.97%,0.95%,7.55%,RUIS
22,23-10-2025,196,216,196,206,6.043.600,1.244.981.600,0.51%,10.77%,0.51%,5.64%,10.20%,10.65%,RUIS
23,22-10-2025,194,196,193,195,267.500,52.162.500,-0.51%,0.51%,-1.03%,0.00%,1.03%,2.04%,RUIS
24,21-10-2025,193,197,192,195,802.200,156.429.000,0.52%,2.60%,0.00%,1.56%,2.07%,4.06%,RUIS
