col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SAME
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SAME
1,21-11-2025,374,408,362,404,67.033.300,27.081.453.200,0.54%,9.68%,-2.69%,8.60%,9.09%,19.61%,SAME
2,20-11-2025,328,376,328,372,41.624.200,15.484.202.400,1.23%,16.05%,1.23%,14.81%,14.63%,15.96%,SAME
3,19-11-2025,320,340,316,324,27.659.300,8.961.613.200,1.27%,7.59%,0.00%,2.53%,6.25%,8.24%,SAME
4,18-11-2025,320,332,312,316,1.300.000,410.800.000,0.63%,4.40%,-1.89%,-0.63%,3.75%,7.23%,SAME
5,17-11-2025,314,334,308,318,1.493.200,474.837.600,0.64%,7.05%,-1.28%,1.92%,6.37%,6.59%,SAME
6,14-11-2025,314,318,312,312,607.800,189.633.600,-0.63%,0.63%,-1.27%,-1.27%,1.27%,1.26%,SAME
7,13-11-2025,318,324,314,316,2.496.900,789.020.400,0.63%,2.53%,-0.63%,0.00%,1.89%,2.47%,SAME
8,12-11-2025,348,348,316,316,20.240.500,6.395.998.000,8.75%,8.75%,-1.25%,-1.25%,0.00%,13.22%,SAME
9,11-11-2025,312,322,302,320,6.729.300,2.153.376.000,1.30%,4.55%,-1.95%,3.90%,3.21%,11.18%,SAME
10,10-11-2025,310,314,286,308,18.061.400,5.562.911.200,4.73%,6.08%,-3.38%,4.05%,1.29%,5.73%,SAME
11,07-11-2025,300,310,296,296,4.443.800,1.315.364.800,1.35%,4.73%,0.00%,0.00%,3.33%,5.81%,SAME
12,06-11-2025,300,300,292,296,10.394.100,3.076.653.600,2.04%,2.04%,-0.68%,0.68%,0.00%,2.67%,SAME
13,05-11-2025,298,300,292,294,1.462.100,429.857.400,0.68%,1.35%,-1.35%,-0.68%,0.67%,2.00%,SAME
14,04-11-2025,300,302,294,296,1.581.400,468.094.400,0.00%,0.67%,-2.00%,-1.33%,0.67%,1.99%,SAME
