col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SATU
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SATU
1,21-11-2025,252,254,252,254,4.002.900,1.016.736.600,0.00%,0.79%,0.00%,0.79%,0.79%,1.57%,SATU
2,20-11-2025,250,252,250,252,3.634.200,915.818.400,0.00%,0.80%,0.00%,0.80%,0.80%,1.59%,SATU
3,19-11-2025,250,252,248,250,2.835.600,708.900.000,0.00%,0.80%,-0.80%,0.00%,0.80%,0.79%,SATU
4,18-11-2025,254,256,250,250,2.504.800,626.200.000,0.00%,0.79%,-1.57%,-1.57%,0.79%,1.56%,SATU
5,17-11-2025,258,258,252,254,2.465.800,626.313.200,0.00%,0.00%,-2.33%,-1.55%,0.00%,0.00%,SATU
6,14-11-2025,260,262,258,258,2.816.800,726.734.400,0.00%,0.77%,-0.77%,-0.77%,0.77%,0.76%,SATU
7,13-11-2025,260,262,260,260,3.509.200,912.392.000,0.00%,0.77%,0.00%,0.00%,0.77%,0.76%,SATU
8,12-11-2025,260,262,260,260,3.956.100,1.028.586.000,0.00%,0.77%,0.00%,0.00%,0.77%,2.29%,SATU
9,11-11-2025,266,268,256,260,4.090.000,1.063.400.000,0.00%,0.75%,-3.76%,-2.26%,0.75%,5.97%,SATU
10,10-11-2025,252,266,252,266,12.168.100,3.236.714.600,-0.79%,4.72%,-0.79%,4.72%,5.56%,6.77%,SATU
11,07-11-2025,248,254,248,254,7.000.800,1.778.203.200,0.00%,2.42%,0.00%,2.42%,2.42%,3.15%,SATU
12,06-11-2025,250,250,246,248,2.470.900,612.783.200,0.00%,0.00%,-1.60%,-0.80%,0.00%,0.80%,SATU
13,05-11-2025,252,252,248,250,2.913.800,728.450.000,0.00%,0.00%,-1.59%,-0.79%,0.00%,0.00%,SATU
14,04-11-2025,254,254,252,252,2.872.100,723.769.200,0.00%,0.00%,-0.79%,-0.79%,0.00%,0.00%,SATU
15,03-11-2025,254,262,254,254,3.996.500,1.015.111.000,0.00%,3.15%,0.00%,0.00%,3.15%,4.58%,SATU
16,31-10-2025,250,254,250,254,6.023.600,1.529.994.400,-0.79%,0.79%,-0.79%,0.79%,1.60%,2.36%,SATU
17,30-10-2025,248,252,248,252,4.857.900,1.224.190.800,0.00%,1.61%,0.00%,1.61%,1.61%,2.38%,SATU
18,29-10-2025,246,250,246,248,4.511.900,1.118.951.200,-0.81%,0.81%,-0.81%,0.00%,1.63%,1.60%,SATU
19,28-10-2025,252,252,246,248,2.948.200,731.153.600,0.00%,0.00%,-2.38%,-1.59%,0.00%,0.79%,SATU
20,27-10-2025,254,254,250,252,3.066.200,772.682.400,0.00%,0.00%,-1.57%,-0.79%,0.00%,1.57%,SATU
21,24-10-2025,256,268,250,254,3.655.100,928.395.400,0.00%,4.69%,-2.34%,-0.78%,4.69%,8.21%,SATU
22,23-10-2025,246,258,246,256,13.487.600,3.452.825.600,-0.81%,4.03%,-0.81%,3.23%,4.88%,4.65%,SATU
23,22-10-2025,246,248,246,248,5.500.200,1.364.049.600,0.00%,0.81%,0.00%,0.81%,0.81%,1.61%,SATU
24,21-10-2025,244,246,244,246,4.203.900,1.034.159.400,0.00%,0.82%,0.00%,0.82%,0.82%,1.63%,SATU
25,20-10-2025,244,246,242,244,3.138.600,765.818.400,0.00%,0.82%,-0.82%,0.00%,0.82%,2.44%,SATU
26,17-10-2025,246,246,240,244,4.521.500,1.103.246.000,0.00%,0.00%,-2.44%,-0.81%,0.00%,0.81%,SATU
27,16-10-2025,246,248,244,246,4.348.200,1.069.657.200,0.00%,0.81%,-0.81%,0.00%,0.81%,1.61%,SATU
28,15-10-2025,244,246,244,246,4.028.100,990.912.600,0.00%,0.82%,0.00%,0.82%,0.82%,0.81%,SATU
29,14-10-2025,244,246,244,244,3.043.300,742.565.200,0.00%,0.82%,0.00%,0.00%,0.82%,0.81%,SATU
30,13-10-2025,246,248,244,244,2.526.400,616.441.600,0.00%,0.81%,-0.81%,-0.81%,0.81%,1.61%,SATU
31,10-10-2025,246,246,244,246,3.132.300,770.545.800,0.00%,0.00%,-0.81%,0.00%,0.00%,0.00%,SATU
32,09-10-2025,248,248,246,246,3.348.800,823.804.800,0.81%,0.81%,0.00%,0.00%,0.00%,0.81%,SATU
33,08-10-2025,248,248,246,246,2.926.800,719.992.800,0.00%,0.00%,-0.81%,-0.81%,0.00%,0.81%,SATU
34,07-10-2025,246,248,246,248,5.900.200,1.463.249.600,0.00%,0.81%,0.00%,0.81%,0.81%,1.61%,SATU
35,06-10-2025,244,246,244,246,4.971.700,1.223.038.200,0.00%,0.82%,0.00%,0.82%,0.82%,0.81%,SATU
36,03-10-2025,246,246,244,244,2.904.300,708.649.200,0.00%,0.00%,-0.81%,-0.81%,0.00%,0.00%,SATU
37,02-10-2025,248,248,246,246,2.869.800,705.970.800,0.00%,0.00%,-0.81%,-0.81%,0.00%,2.42%,SATU
38,01-10-2025,242,248,242,248,8.498.700,2.107.677.600,0.00%,2.48%,0.00%,2.48%,2.48%,2.42%,SATU
39,30-09-2025,242,244,242,242,3.448.900,834.633.800,0.00%,0.83%,0.00%,0.00%,0.83%,0.82%,SATU
40,29-09-2025,244,246,242,242,4.564.600,1.104.633.200,0.00%,0.82%,-0.82%,-0.82%,0.82%,1.63%,SATU
41,26-09-2025,244,244,242,244,3.351.700,817.814.800,0.00%,0.00%,-0.82%,0.00%,0.00%,0.00%,SATU
42,25-09-2025,246,246,244,244,2.894.000,706.136.000,0.00%,0.00%,-0.81%,-0.81%,0.00%,0.81%,SATU
43,24-09-2025,244,246,244,246,4.983.900,1.226.039.400,0.00%,0.82%,0.00%,0.82%,0.82%,1.63%,SATU
44,23-09-2025,244,246,242,244,4.158.800,1.014.747.200,0.00%,0.82%,-0.82%,0.00%,0.82%,1.63%,SATU
45,22-09-2025,244,246,242,244,2.813.100,686.396.400,0.00%,0.82%,-0.82%,0.00%,0.82%,1.63%,SATU
46,19-09-2025,244,246,242,244,4.584.000,1.118.496.000,0.00%,0.82%,-0.82%,0.00%,0.82%,0.81%,SATU
47,18-09-2025,246,246,244,244,3.001.400,732.341.600,0.00%,0.00%,-0.81%,-0.81%,0.00%,0.00%,SATU
48,17-09-2025,248,248,246,246,3.865.400,950.888.400,0.00%,0.00%,-0.81%,-0.81%,0.00%,1.61%,SATU
49,16-09-2025,244,248,244,248,4.501.600,1.116.396.800,0.00%,1.64%,0.00%,1.64%,1.64%,2.42%,SATU
50,15-09-2025,242,244,242,244,4.630.900,1.129.939.600,0.00%,0.83%,0.00%,0.83%,0.83%,1.64%,SATU
51,12-09-2025,240,242,240,242,4.433.000,1.072.786.000,0.00%,0.83%,0.00%,0.83%,0.83%,1.65%,SATU
52,11-09-2025,238,240,238,240,4.321.700,1.037.208.000,0.00%,0.84%,0.00%,0.84%,0.84%,1.67%,SATU
53,10-09-2025,238,240,236,238,3.515.300,836.641.400,0.00%,0.84%,-0.84%,0.00%,0.84%,1.67%,SATU
54,09-09-2025,242,242,236,238,3.006.100,715.451.800,0.00%,0.00%,-2.48%,-1.65%,0.00%,0.00%,SATU
55,08-09-2025,246,246,242,242,3.925.200,949.898.400,0.00%,0.00%,-1.63%,-1.63%,0.00%,0.00%,SATU
56,04-09-2025,248,248,246,246,4.166.400,1.024.934.400,0.00%,0.00%,-0.81%,-0.81%,0.00%,3.23%,SATU
57,03-09-2025,240,248,240,248,12.570.100,3.117.384.800,0.00%,3.33%,0.00%,3.33%,3.33%,5.65%,SATU
58,02-09-2025,234,240,234,240,9.061.100,2.174.664.000,0.00%,2.56%,0.00%,2.56%,2.56%,3.33%,SATU
59,01-09-2025,234,234,232,234,3.274.100,766.139.400,-0.85%,-0.85%,-1.69%,-0.85%,0.00%,0.00%,SATU
60,29-08-2025,236,238,234,236,3.100.100,731.623.600,0.00%,0.85%,-0.85%,0.00%,0.85%,1.68%,SATU
61,28-08-2025,234,236,234,236,3.911.100,923.019.600,0.00%,0.85%,0.00%,0.85%,0.85%,1.69%,SATU
62,27-08-2025,232,234,232,234,3.521.900,824.124.600,0.00%,0.86%,0.00%,0.86%,0.86%,1.71%,SATU
63,26-08-2025,230,232,230,232,3.941.700,914.474.400,-0.86%,0.00%,-0.86%,0.00%,0.87%,0.86%,SATU
64,25-08-2025,232,234,230,232,3.233.200,750.102.400,0.00%,0.86%,-0.86%,0.00%,0.86%,0.85%,SATU
65,22-08-2025,234,236,232,232,3.197.300,741.773.600,0.00%,0.85%,-0.85%,-0.85%,0.85%,0.85%,SATU
66,21-08-2025,234,236,234,234,3.941.500,922.311.000,-0.85%,0.00%,-0.85%,-0.85%,0.85%,1.69%,SATU
67,20-08-2025,232,238,232,236,5.193.300,1.225.618.800,0.00%,2.59%,0.00%,1.72%,2.59%,3.36%,SATU
68,19-08-2025,232,234,230,232,3.616.900,839.120.800,0.00%,0.86%,-0.86%,0.00%,0.86%,1.71%,SATU
69,15-08-2025,232,234,230,232,3.485.500,808.636.000,0.00%,0.86%,-0.86%,0.00%,0.86%,0.85%,SATU
70,14-08-2025,234,234,232,232,3.469.800,804.993.600,0.00%,0.00%,-0.85%,-0.85%,0.00%,0.00%,SATU
71,13-08-2025,234,236,234,234,3.558.800,832.759.200,0.00%,0.85%,0.00%,0.00%,0.85%,2.54%,SATU
72,12-08-2025,232,234,230,234,5.173.700,1.210.645.800,0.00%,0.86%,-0.86%,0.86%,0.86%,1.71%,SATU
73,11-08-2025,230,232,230,232,4.913.200,1.139.862.400,0.00%,0.87%,0.00%,0.87%,0.87%,1.72%,SATU
74,08-08-2025,230,232,228,230,3.498.300,804.609.000,-0.86%,0.00%,-1.72%,-0.86%,0.87%,0.86%,SATU
75,07-08-2025,234,236,230,232,3.492.600,810.283.200,0.00%,0.85%,-1.71%,-0.85%,0.85%,1.69%,SATU
76,06-08-2025,232,234,232,234,4.792.300,1.121.398.200,0.00%,0.86%,0.00%,0.86%,0.86%,1.71%,SATU
77,05-08-2025,232,234,230,232,3.225.300,748.269.600,0.00%,0.86%,-0.86%,0.00%,0.86%,0.85%,SATU
78,04-08-2025,234,234,232,232,3.040.000,705.280.000,0.00%,0.00%,-0.85%,-0.85%,0.00%,0.00%,SATU
79,01-08-2025,236,238,234,234,3.852.500,901.485.000,0.00%,0.85%,-0.85%,-0.85%,0.85%,0.84%,SATU
80,31-07-2025,236,238,236,236,4.285.900,1.011.472.400,0.00%,0.85%,0.00%,0.00%,0.85%,2.52%,SATU
81,30-07-2025,232,236,232,236,6.487.100,1.530.955.600,0.00%,1.72%,0.00%,1.72%,1.72%,3.39%,SATU
82,29-07-2025,228,234,228,232,5.977.800,1.386.849.600,0.00%,2.63%,0.00%,1.75%,2.63%,4.27%,SATU
83,28-07-2025,228,230,224,228,4.497.000,1.025.316.000,0.00%,0.88%,-1.75%,0.00%,0.88%,1.74%,SATU
84,25-07-2025,230,232,226,228,4.629.000,1.055.412.000,0.00%,0.87%,-1.74%,-0.87%,0.87%,1.72%,SATU
85,24-07-2025,234,234,228,230,4.301.400,989.322.000,0.00%,0.00%,-2.56%,-1.71%,0.00%,1.71%,SATU
86,23-07-2025,234,236,230,234,5.340.500,1.249.677.000,0.00%,0.85%,-1.71%,0.00%,0.85%,0.85%,SATU
87,22-07-2025,238,238,234,234,4.559.000,1.066.806.000,0.00%,0.00%,-1.68%,-1.68%,0.00%,2.52%,SATU
88,21-07-2025,234,238,232,238,5.560.700,1.323.446.600,0.00%,1.71%,-0.85%,1.71%,1.71%,3.36%,SATU
89,18-07-2025,232,234,230,234,4.510.900,1.055.550.600,0.00%,0.86%,-0.86%,0.86%,0.86%,1.71%,SATU
90,17-07-2025,232,234,230,232,4.404.000,1.021.728.000,0.00%,0.86%,-0.86%,0.00%,0.86%,0.85%,SATU
91,16-07-2025,236,238,232,232,4.117.100,955.167.200,0.00%,0.85%,-1.69%,-1.69%,0.85%,2.52%,SATU
92,15-07-2025,240,248,232,236,4.323.000,1.020.228.000,0.00%,3.33%,-3.33%,-1.67%,3.33%,6.45%,SATU
93,14-07-2025,232,240,232,240,7.923.000,1.901.520.000,0.00%,3.45%,0.00%,3.45%,3.45%,4.17%,SATU
94,11-07-2025,230,232,230,232,6.046.100,1.402.695.200,0.00%,0.87%,0.00%,0.87%,0.87%,2.59%,SATU
95,10-07-2025,230,232,226,230,5.302.600,1.219.598.000,0.00%,0.87%,-1.74%,0.00%,0.87%,1.72%,SATU
96,09-07-2025,232,232,228,230,5.633.000,1.295.590.000,0.00%,0.00%,-1.72%,-0.86%,0.00%,4.31%,SATU
97,08-07-2025,238,248,222,232,7.305.700,1.694.922.400,0.00%,4.20%,-6.72%,-2.52%,4.20%,9.68%,SATU
98,07-07-2025,224,238,224,238,22.468.500,5.347.503.000,0.00%,6.25%,0.00%,6.25%,6.25%,8.40%,SATU
99,04-07-2025,220,224,218,224,7.127.100,1.596.470.400,0.00%,1.82%,-0.91%,1.82%,1.82%,1.79%,SATU
100,03-07-2025,222,224,220,220,5.627.600,1.238.072.000,0.00%,0.90%,-0.90%,-0.90%,0.90%,0.89%,SATU
101,02-07-2025,226,226,222,222,4.148.200,920.900.400,0.00%,0.00%,-1.77%,-1.77%,0.00%,3.54%,SATU
102,01-07-2025,220,226,218,226,6.750.300,1.525.567.800,0.00%,2.73%,-0.91%,2.73%,2.73%,3.54%,SATU
103,30-06-2025,218,220,218,220,5.642.100,1.241.262.000,0.00%,0.92%,0.00%,0.92%,0.92%,2.73%,SATU
104,26-06-2025,218,220,214,218,4.725.300,1.030.115.400,0.00%,0.92%,-1.83%,0.00%,0.92%,1.82%,SATU
105,25-06-2025,224,226,216,218,5.139.900,1.120.498.200,-0.88%,0.00%,-4.42%,-3.54%,0.89%,4.42%,SATU
106,24-06-2025,216,226,216,226,11.804.800,2.667.884.800,0.00%,4.63%,0.00%,4.63%,4.63%,4.42%,SATU
107,23-06-2025,218,218,216,216,4.878.300,1.053.712.800,0.00%,0.00%,-0.92%,-0.92%,0.00%,1.83%,SATU
108,20-06-2025,220,222,214,218,6.562.800,1.430.690.400,0.00%,0.91%,-2.73%,-0.91%,0.91%,6.31%,SATU
109,19-06-2025,234,234,208,220,11.486.600,2.527.052.000,0.00%,0.00%,-11.11%,-5.98%,0.00%,6.84%,SATU
110,18-06-2025,218,248,218,234,55.500.600,12.987.140.400,0.00%,13.76%,0.00%,7.34%,13.76%,12.90%,SATU
111,17-06-2025,218,220,216,218,12.159.800,2.650.836.400,0.00%,0.92%,-0.92%,0.00%,0.92%,1.82%,SATU
112,16-06-2025,220,220,216,218,4.115.900,897.266.200,0.00%,0.00%,-1.82%,-0.91%,0.00%,1.82%,SATU
113,13-06-2025,216,220,216,220,8.120.900,1.786.598.000,0.00%,1.85%,0.00%,1.85%,1.85%,2.73%,SATU
114,12-06-2025,216,218,214,216,4.236.200,915.019.200,0.00%,0.93%,-0.93%,0.00%,0.93%,1.83%,SATU
115,11-06-2025,218,218,214,216,4.137.600,893.721.600,0.00%,0.00%,-1.83%,-0.92%,0.00%,0.92%,SATU
116,10-06-2025,220,220,216,218,4.679.300,1.020.087.400,0.00%,0.00%,-1.82%,-0.91%,0.00%,2.73%,SATU
117,05-06-2025,214,220,214,220,6.897.300,1.517.406.000,0.00%,2.80%,0.00%,2.80%,2.80%,3.64%,SATU
