col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SCMA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SCMA
1,21-11-2025,364,386,362,380,290.870.100,110.530.638.000,1.11%,7.22%,0.56%,5.56%,6.04%,7.77%,SCMA
2,20-11-2025,370,372,356,360,60.710.000,21.855.600.000,0.54%,1.09%,-3.26%,-2.17%,0.54%,3.23%,SCMA
3,19-11-2025,366,368,360,368,51.733.800,19.038.038.400,-1.08%,-0.54%,-2.70%,-0.54%,0.55%,1.09%,SCMA
4,18-11-2025,368,380,364,370,265.539.500,98.249.615.000,1.10%,4.40%,0.00%,1.65%,3.26%,7.89%,SCMA
5,17-11-2025,350,370,350,364,155.556.700,56.622.638.800,1.74%,7.56%,1.74%,5.81%,5.71%,7.57%,SCMA
6,14-11-2025,360,362,342,344,120.202.700,41.349.728.800,0.00%,0.56%,-5.00%,-4.44%,0.56%,2.76%,SCMA
7,13-11-2025,368,370,352,360,89.505.400,32.221.944.000,0.00%,0.54%,-4.35%,-2.17%,0.54%,1.62%,SCMA
8,12-11-2025,370,380,364,368,119.902.300,44.124.046.400,1.09%,3.83%,-0.55%,0.55%,2.70%,4.74%,SCMA
9,11-11-2025,384,384,362,366,96.290.300,35.242.249.800,1.59%,1.59%,-4.23%,-3.17%,0.00%,2.60%,SCMA
10,10-11-2025,382,384,374,378,131.117.500,49.562.415.000,0.00%,0.52%,-2.09%,-1.05%,0.52%,5.21%,SCMA
11,07-11-2025,370,396,364,382,324.301.200,123.883.058.400,1.09%,8.20%,-0.55%,4.37%,7.03%,8.59%,SCMA
12,06-11-2025,364,370,362,366,59.013.400,21.598.904.400,0.00%,1.65%,-0.55%,0.55%,1.65%,4.86%,SCMA
13,05-11-2025,356,364,352,364,56.763.800,20.662.023.200,-1.66%,0.55%,-2.76%,0.55%,2.25%,3.30%,SCMA
14,04-11-2025,368,372,352,362,114.309.700,41.380.111.400,0.00%,1.09%,-4.35%,-1.63%,1.09%,8.60%,SCMA
15,03-11-2025,342,368,340,368,159.217.900,58.592.187.200,1.18%,8.88%,0.59%,8.88%,7.60%,8.15%,SCMA
16,31-10-2025,350,352,338,338,63.932.200,21.609.083.600,0.57%,1.15%,-2.87%,-2.87%,0.57%,4.55%,SCMA
17,30-10-2025,346,348,336,348,79.688.900,27.731.737.200,0.00%,0.58%,-2.89%,0.58%,0.58%,5.17%,SCMA
