col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SDMU
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SDMU
1,21-11-2025,63,63,62,63,2.399.300,151.155.900,1.61%,1.61%,0.00%,1.61%,0.00%,1.59%,SDMU
2,20-11-2025,63,65,62,62,6.151.500,381.393.000,5.00%,8.33%,3.33%,3.33%,3.17%,7.69%,SDMU
3,19-11-2025,64,64,60,60,1.365.700,81.942.000,6.67%,6.67%,0.00%,0.00%,0.00%,6.25%,SDMU
4,18-11-2025,65,65,60,60,2.881.000,172.860.000,1.56%,1.56%,-6.25%,-6.25%,0.00%,4.62%,SDMU
5,17-11-2025,62,64,62,64,3.819.600,244.454.400,5.08%,8.47%,5.08%,8.47%,3.23%,7.81%,SDMU
6,14-11-2025,60,61,59,59,3.917.200,231.114.800,3.45%,5.17%,1.72%,1.72%,1.67%,4.92%,SDMU
7,13-11-2025,61,65,58,58,5.205.600,301.924.800,1.67%,8.33%,-3.33%,-3.33%,6.56%,9.23%,SDMU
8,12-11-2025,59,62,59,60,1.273.200,76.392.000,0.00%,5.08%,0.00%,1.69%,5.08%,4.84%,SDMU
9,11-11-2025,61,64,59,59,1.641.300,96.836.700,0.00%,4.92%,-3.28%,-3.28%,4.92%,6.25%,SDMU
10,10-11-2025,60,63,60,61,941.200,57.413.200,0.00%,5.00%,0.00%,1.67%,5.00%,6.35%,SDMU
11,07-11-2025,59,60,59,60,885.100,53.106.000,1.72%,3.45%,1.72%,3.45%,1.69%,8.33%,SDMU
12,06-11-2025,59,60,55,58,3.082.200,178.767.600,0.00%,1.69%,-6.78%,-1.69%,1.69%,1.67%,SDMU
13,05-11-2025,60,60,59,59,5.595.500,330.134.500,-4.76%,-4.76%,-6.35%,-6.35%,0.00%,-1.67%,SDMU
14,04-11-2025,63,63,61,63,729.800,45.977.400,-1.56%,-1.56%,-4.69%,-1.56%,0.00%,3.17%,SDMU
15,03-11-2025,63,64,61,64,647.600,41.446.400,3.28%,4.92%,0.00%,4.92%,1.59%,6.25%,SDMU
16,31-10-2025,60,61,60,61,738.400,45.042.400,0.00%,1.67%,0.00%,1.67%,1.67%,3.28%,SDMU
17,30-10-2025,59,61,59,60,406.100,24.366.000,0.00%,3.39%,0.00%,1.69%,3.39%,8.20%,SDMU
18,29-10-2025,56,59,56,59,6.904.400,407.359.600,-8.20%,-3.28%,-8.20%,-3.28%,5.36%,-3.39%,SDMU
19,28-10-2025,64,64,61,61,1.672.600,102.028.600,0.00%,0.00%,-4.69%,-4.69%,0.00%,0.00%,SDMU
20,27-10-2025,70,70,64,64,704.900,45.113.600,0.00%,0.00%,-8.57%,-8.57%,0.00%,2.86%,SDMU
21,24-10-2025,68,71,68,70,2.366.600,165.662.000,-2.86%,1.43%,-2.86%,0.00%,4.41%,1.41%,SDMU
22,23-10-2025,73,73,70,70,6.867.900,480.753.000,7.35%,7.35%,2.94%,2.94%,0.00%,20.55%,SDMU
23,22-10-2025,64,68,58,68,12.699.400,863.559.200,0.00%,6.25%,-9.38%,6.25%,6.25%,5.88%,SDMU
24,21-10-2025,71,71,64,64,3.500.300,224.019.200,0.00%,0.00%,-9.86%,-9.86%,0.00%,1.41%,SDMU
25,20-10-2025,73,73,70,71,5.465.600,388.057.600,-5.19%,-5.19%,-9.09%,-7.79%,0.00%,-5.48%,SDMU
26,17-10-2025,78,78,77,77,7.652.900,589.273.300,-8.24%,-8.24%,-9.41%,-9.41%,0.00%,-8.97%,SDMU
27,16-10-2025,90,90,85,85,4.984.900,423.716.500,-1.10%,-1.10%,-6.59%,-6.59%,0.00%,5.56%,SDMU
28,15-10-2025,85,91,85,91,16.957.000,1.543.087.000,2.41%,9.64%,2.41%,9.64%,7.06%,9.89%,SDMU
