col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SEMA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SEMA
1,21-11-2025,103,106,103,105,2.410.100,253.060.500,0.98%,3.92%,0.98%,2.94%,2.91%,4.72%,SEMA
2,20-11-2025,104,105,101,102,835.300,85.200.600,0.00%,0.96%,-2.88%,-1.92%,0.96%,4.76%,SEMA
3,19-11-2025,101,106,100,104,2.322.500,241.540.000,0.00%,4.95%,-0.99%,2.97%,4.95%,5.66%,SEMA
4,18-11-2025,102,102,100,101,421.400,42.561.400,2.00%,2.00%,0.00%,1.00%,0.00%,2.94%,SEMA
5,17-11-2025,102,103,99,100,925.000,92.500.000,0.00%,0.98%,-2.94%,-1.96%,0.98%,3.88%,SEMA
6,14-11-2025,103,105,99,102,2.633.500,268.617.000,0.98%,2.94%,-2.94%,0.00%,1.94%,3.81%,SEMA
7,13-11-2025,102,106,101,102,3.274.200,333.968.400,0.00%,3.92%,-0.98%,0.00%,3.92%,4.72%,SEMA
8,12-11-2025,102,103,101,102,350.400,35.740.800,-0.97%,0.00%,-1.94%,-0.97%,0.98%,1.94%,SEMA
9,11-11-2025,103,104,101,103,1.053.400,108.500.200,0.98%,1.96%,-0.98%,0.98%,0.97%,2.88%,SEMA
10,10-11-2025,103,104,101,102,2.004.200,204.428.400,0.00%,0.97%,-1.94%,-0.97%,0.97%,1.92%,SEMA
11,07-11-2025,103,104,102,103,673.900,69.411.700,0.00%,0.97%,-0.97%,0.00%,0.97%,1.92%,SEMA
12,06-11-2025,103,104,102,103,394.200,40.602.600,0.00%,0.97%,-0.97%,0.00%,0.97%,2.88%,SEMA
13,05-11-2025,102,104,101,103,1.191.200,122.693.600,0.00%,1.96%,-0.98%,0.98%,1.96%,1.92%,SEMA
14,04-11-2025,102,104,102,102,1.118.100,114.046.200,0.00%,1.96%,0.00%,0.00%,1.96%,2.88%,SEMA
15,03-11-2025,101,105,101,102,973.200,99.266.400,0.00%,3.96%,0.00%,0.99%,3.96%,3.81%,SEMA
16,31-10-2025,104,104,101,101,2.819.800,284.799.800,0.00%,0.00%,-2.88%,-2.88%,0.00%,2.88%,SEMA
17,30-10-2025,106,107,101,104,4.854.800,504.899.200,0.95%,1.90%,-3.81%,-0.95%,0.94%,7.48%,SEMA
18,29-10-2025,102,110,99,105,12.426.400,1.304.772.000,0.99%,8.91%,-1.98%,3.96%,7.84%,10.00%,SEMA
19,28-10-2025,102,102,99,101,677.200,68.397.200,0.99%,0.99%,-1.98%,0.00%,0.00%,1.96%,SEMA
20,27-10-2025,103,105,100,101,2.791.000,281.891.000,0.98%,2.94%,-1.96%,-0.98%,1.94%,4.76%,SEMA
21,24-10-2025,102,110,100,102,7.266.700,741.203.400,0.00%,7.84%,-1.96%,0.00%,7.84%,10.91%,SEMA
22,23-10-2025,99,102,98,102,821.600,83.803.200,1.02%,4.08%,0.00%,4.08%,3.03%,5.88%,SEMA
23,22-10-2025,97,101,96,98,1.406.000,137.788.000,0.00%,4.12%,-1.03%,1.03%,4.12%,4.95%,SEMA
24,21-10-2025,97,98,96,97,209.100,20.282.700,0.00%,1.03%,-1.03%,0.00%,1.03%,2.04%,SEMA
25,20-10-2025,97,98,96,97,438.800,42.563.600,0.00%,1.03%,-1.03%,0.00%,1.03%,3.06%,SEMA
26,17-10-2025,96,97,95,97,514.100,49.867.700,-1.03%,0.00%,-2.06%,0.00%,1.04%,2.06%,SEMA
27,16-10-2025,98,99,95,97,1.218.200,118.165.400,0.00%,1.02%,-3.06%,-1.02%,1.02%,4.04%,SEMA
28,15-10-2025,96,98,95,98,955.000,93.590.000,0.00%,2.08%,-1.04%,2.08%,2.08%,3.06%,SEMA
29,14-10-2025,98,99,95,96,1.361.000,130.656.000,0.00%,1.02%,-3.06%,-2.04%,1.02%,5.05%,SEMA
30,13-10-2025,97,100,94,98,3.136.300,307.357.400,2.11%,5.26%,-1.05%,3.16%,3.09%,6.00%,SEMA
31,10-10-2025,95,99,94,95,1.544.300,146.708.500,0.00%,4.21%,-1.05%,0.00%,4.21%,8.08%,SEMA
32,09-10-2025,95,97,91,95,1.916.600,182.077.000,1.06%,3.19%,-3.19%,1.06%,2.11%,5.15%,SEMA
33,08-10-2025,95,97,92,94,2.822.900,265.352.600,0.00%,2.11%,-3.16%,-1.05%,2.11%,3.09%,SEMA
34,07-10-2025,100,100,94,95,3.725.500,353.922.500,1.01%,1.01%,-5.05%,-4.04%,0.00%,4.00%,SEMA
35,06-10-2025,97,100,96,99,929.900,92.060.100,-1.02%,2.04%,-2.04%,1.02%,3.09%,3.00%,SEMA
36,03-10-2025,101,101,97,98,774.100,75.861.800,1.00%,1.00%,-3.00%,-2.00%,0.00%,3.96%,SEMA
37,02-10-2025,102,103,97,100,1.210.300,121.030.000,0.00%,0.98%,-4.90%,-1.96%,0.98%,2.91%,SEMA
38,01-10-2025,108,108,100,102,4.320.000,440.640.000,5.88%,5.88%,-1.96%,0.00%,0.00%,7.41%,SEMA
39,30-09-2025,101,105,100,102,3.936.200,401.492.400,1.00%,5.00%,0.00%,2.00%,3.96%,5.71%,SEMA
40,29-09-2025,101,102,99,100,442.300,44.230.000,0.00%,0.99%,-1.98%,-0.99%,0.99%,2.94%,SEMA
41,26-09-2025,99,101,99,101,439.000,44.339.000,-1.00%,1.00%,-1.00%,1.00%,2.02%,1.98%,SEMA
42,25-09-2025,102,104,99,100,1.506.900,150.690.000,0.00%,1.96%,-2.94%,-1.96%,1.96%,2.88%,SEMA
43,24-09-2025,102,105,101,102,678.500,69.207.000,0.00%,2.94%,-0.98%,0.00%,2.94%,2.86%,SEMA
44,23-09-2025,105,106,102,102,688.800,70.257.600,0.96%,1.92%,-1.92%,-1.92%,0.95%,4.72%,SEMA
45,22-09-2025,103,105,101,104,1.256.100,130.634.400,0.00%,1.94%,-1.94%,0.97%,1.94%,3.81%,SEMA
46,19-09-2025,102,103,101,103,721.400,74.304.200,0.00%,0.98%,-0.98%,0.98%,0.98%,1.94%,SEMA
47,18-09-2025,104,106,101,102,1.212.200,123.644.400,0.00%,1.92%,-2.88%,-1.92%,1.92%,4.72%,SEMA
48,17-09-2025,104,108,101,104,1.857.600,193.190.400,2.97%,6.93%,0.00%,2.97%,3.85%,9.26%,SEMA
49,16-09-2025,99,108,98,101,2.923.100,295.233.100,1.02%,10.20%,0.00%,3.06%,9.09%,9.26%,SEMA
50,15-09-2025,99,103,98,98,472.100,46.265.800,0.00%,4.04%,-1.01%,-1.01%,4.04%,5.83%,SEMA
51,12-09-2025,99,99,97,99,1.037.800,102.742.200,1.02%,1.02%,-1.02%,1.02%,0.00%,3.03%,SEMA
52,11-09-2025,97,98,96,98,412.900,40.464.200,0.00%,1.03%,-1.03%,1.03%,1.03%,3.06%,SEMA
53,10-09-2025,98,100,95,97,1.306.000,126.682.000,0.00%,2.04%,-3.06%,-1.02%,2.04%,5.00%,SEMA
54,09-09-2025,95,102,95,98,2.275.300,222.979.400,0.00%,7.37%,0.00%,3.16%,7.37%,6.86%,SEMA
55,08-09-2025,102,103,95,95,5.106.300,485.098.500,0.00%,0.98%,-6.86%,-6.86%,0.98%,4.85%,SEMA
