col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SFAN
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SFAN
1,21-11-2025,1.930,1.930,1.925,1.930,83.200,160.576.000,0.00%,0.00%,-0.26%,0.00%,0.00%,0.26%,SFAN
2,20-11-2025,1.925,1.930,1.925,1.930,86.100,166.173.000,0.00%,0.26%,0.00%,0.26%,0.26%,0.52%,SFAN
3,19-11-2025,1.925,1.925,1.920,1.925,86.000,165.550.000,0.26%,0.26%,0.00%,0.26%,0.00%,0.26%,SFAN
4,18-11-2025,1.925,1.925,1.920,1.920,79.400,152.448.000,0.00%,0.00%,-0.26%,-0.26%,0.00%,0.00%,SFAN
5,17-11-2025,1.925,1.930,1.925,1.925,84.500,162.662.500,0.00%,0.26%,0.00%,0.00%,0.26%,0.52%,SFAN
6,14-11-2025,1.925,1.925,1.920,1.925,78.100,150.342.500,0.00%,0.00%,-0.26%,0.00%,0.00%,0.52%,SFAN
7,13-11-2025,1.925,1.925,1.915,1.925,93.600,180.180.000,0.00%,0.00%,-0.52%,0.00%,0.00%,0.26%,SFAN
8,12-11-2025,1.925,1.925,1.920,1.925,104.000,200.200.000,0.26%,0.26%,0.00%,0.26%,0.00%,0.26%,SFAN
9,11-11-2025,1.925,1.930,1.920,1.920,97.800,187.776.000,0.00%,0.26%,-0.26%,-0.26%,0.26%,0.52%,SFAN
10,10-11-2025,1.920,1.925,1.920,1.925,88.400,170.170.000,0.00%,0.26%,0.00%,0.26%,0.26%,0.52%,SFAN
11,07-11-2025,1.925,1.925,1.915,1.920,78.300,150.336.000,0.00%,0.00%,-0.52%,-0.26%,0.00%,0.26%,SFAN
12,06-11-2025,1.920,1.925,1.920,1.925,78.100,150.342.500,0.00%,0.26%,0.00%,0.26%,0.26%,0.52%,SFAN
13,05-11-2025,1.920,1.920,1.915,1.920,83.500,160.320.000,0.26%,0.26%,0.00%,0.26%,0.00%,0.26%,SFAN
14,04-11-2025,1.925,1.930,1.915,1.915,78.400,150.136.000,0.26%,0.52%,-0.26%,-0.26%,0.26%,0.52%,SFAN
15,03-11-2025,1.920,1.925,1.920,1.920,68.000,130.560.000,0.00%,0.26%,0.00%,0.00%,0.26%,0.26%,SFAN
16,31-10-2025,1.920,1.925,1.920,1.920,79.200,152.064.000,-0.26%,0.00%,-0.26%,-0.26%,0.26%,0.26%,SFAN
17,30-10-2025,1.920,1.925,1.920,1.925,68.100,131.092.500,0.00%,0.26%,0.00%,0.26%,0.26%,0.52%,SFAN
18,29-10-2025,1.920,1.925,1.915,1.920,78.300,150.336.000,0.00%,0.26%,-0.26%,0.00%,0.26%,0.52%,SFAN
19,28-10-2025,1.915,1.925,1.915,1.920,73.100,140.352.000,0.00%,0.52%,0.00%,0.26%,0.52%,0.78%,SFAN
20,27-10-2025,1.925,1.925,1.910,1.915,68.300,130.794.500,0.26%,0.26%,-0.52%,-0.26%,0.00%,0.52%,SFAN
21,24-10-2025,1.920,1.920,1.915,1.920,62.800,120.576.000,0.00%,0.00%,-0.26%,0.00%,0.00%,0.26%,SFAN
22,23-10-2025,1.915,1.920,1.915,1.920,62.600,120.192.000,0.00%,0.26%,0.00%,0.26%,0.26%,0.26%,SFAN
23,22-10-2025,1.920,1.925,1.915,1.915,78.400,150.136.000,0.00%,0.26%,-0.26%,-0.26%,0.26%,0.52%,SFAN
24,21-10-2025,1.915,1.920,1.915,1.920,73.400,140.928.000,0.00%,0.26%,0.00%,0.26%,0.26%,0.52%,SFAN
25,20-10-2025,1.915,1.920,1.910,1.915,68.100,130.411.500,0.26%,0.52%,0.00%,0.26%,0.26%,0.52%,SFAN
26,17-10-2025,1.920,1.920,1.910,1.910,63.000,120.330.000,0.00%,0.00%,-0.52%,-0.52%,0.00%,0.00%,SFAN
27,16-10-2025,1.920,1.925,1.920,1.920,62.500,120.000.000,0.26%,0.52%,0.26%,0.26%,0.26%,0.52%,SFAN
28,15-10-2025,1.920,1.925,1.915,1.915,67.900,130.028.500,0.26%,0.52%,0.00%,0.00%,0.26%,0.52%,SFAN
29,14-10-2025,1.925,1.925,1.915,1.915,68.100,130.411.500,0.00%,0.00%,-0.52%,-0.52%,0.00%,0.26%,SFAN
30,13-10-2025,1.925,1.925,1.920,1.925,57.400,110.495.000,0.00%,0.00%,-0.26%,0.00%,0.00%,0.00%,SFAN
31,10-10-2025,1.930,1.930,1.925,1.925,62.500,120.312.500,-0.26%,-0.26%,-0.52%,-0.52%,0.00%,0.26%,SFAN
32,09-10-2025,1.930,1.935,1.925,1.935,72.600,140.481.000,0.00%,0.26%,-0.26%,0.26%,0.26%,0.52%,SFAN
33,08-10-2025,1.930,1.935,1.925,1.930,77.900,150.347.000,0.00%,0.26%,-0.26%,0.00%,0.26%,0.52%,SFAN
34,07-10-2025,1.925,1.930,1.925,1.930,67.700,130.661.000,-0.26%,0.00%,-0.26%,0.00%,0.26%,0.52%,SFAN
35,06-10-2025,1.920,1.930,1.920,1.930,64.900,125.257.000,-0.26%,0.26%,-0.26%,0.26%,0.52%,0.52%,SFAN
