col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SGER
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SGER
1,21-11-2025,458,460,426,440,17.115.500,7.530.820.000,1.33%,1.77%,-5.75%,-2.65%,0.44%,7.39%,SGER
2,20-11-2025,438,458,426,452,40.482.100,18.297.909.200,-0.45%,4.09%,-3.18%,2.73%,4.57%,5.68%,SGER
3,19-11-2025,456,458,432,440,14.546.900,6.400.636.000,0.44%,0.88%,-4.85%,-3.08%,0.44%,3.06%,SGER
4,18-11-2025,460,480,444,454,20.095.000,9.123.130.000,0.00%,4.35%,-3.48%,-1.30%,4.35%,8.33%,SGER
5,17-11-2025,466,478,440,460,27.334.800,12.574.008.000,0.00%,2.58%,-5.58%,-1.29%,2.58%,2.93%,SGER
6,14-11-2025,484,484,464,466,29.070.100,13.546.666.600,0.00%,0.00%,-4.13%,-3.72%,0.00%,2.48%,SGER
7,13-11-2025,478,490,472,484,87.487.200,42.343.804.800,0.00%,2.51%,-1.26%,1.26%,2.51%,2.86%,SGER
8,12-11-2025,490,492,476,478,102.138.400,48.822.155.200,0.00%,0.41%,-2.86%,-2.45%,0.41%,2.85%,SGER
9,11-11-2025,496,496,478,490,81.954.000,40.157.460.000,0.40%,0.40%,-3.24%,-0.81%,0.00%,5.24%,SGER
10,10-11-2025,498,510,470,494,114.154.000,56.392.076.000,0.40%,2.82%,-5.24%,-0.40%,2.41%,5.10%,SGER
11,07-11-2025,498,520,484,496,87.972.800,43.634.508.800,0.40%,4.84%,-2.42%,0.00%,4.42%,6.92%,SGER
12,06-11-2025,500,505,484,496,75.022.300,37.211.060.800,0.40%,1.41%,-2.81%,-0.40%,1.00%,2.97%,SGER
13,05-11-2025,540,540,490,498,43.689.500,21.757.371.000,0.93%,0.93%,-8.41%,-6.92%,0.00%,5.56%,SGER
14,04-11-2025,540,555,510,535,53.606.200,28.679.317.000,0.93%,3.74%,-4.67%,0.00%,2.78%,7.21%,SGER
15,03-11-2025,565,565,515,535,123.967.500,66.322.612.500,0.89%,0.89%,-8.04%,-4.46%,0.00%,12.57%,SGER
16,31-10-2025,555,575,494,560,337.805.400,189.171.024.000,0.00%,3.60%,-10.99%,0.90%,3.60%,17.57%,SGER
17,30-10-2025,482,570,474,555,612.574.700,339.978.958.500,0.00%,18.26%,-1.66%,15.15%,18.26%,16.49%,SGER
18,29-10-2025,480,494,476,482,113.575.300,54.743.294.600,0.00%,2.92%,-0.83%,0.42%,2.92%,7.69%,SGER
19,28-10-2025,500,515,456,480,417.326.600,200.316.768.000,0.40%,3.41%,-8.43%,-3.61%,3.00%,10.29%,SGER
20,27-10-2025,478,505,462,498,540.429.900,269.134.090.200,0.42%,6.09%,-2.94%,4.62%,5.65%,12.87%,SGER
21,24-10-2025,474,480,440,476,137.968.400,65.672.958.400,0.00%,1.27%,-7.17%,0.42%,1.27%,2.08%,SGER
22,23-10-2025,492,510,470,474,528.620.100,250.565.927.400,0.41%,4.08%,-4.08%,-3.27%,3.66%,9.02%,SGER
23,22-10-2025,482,515,464,490,926.753.400,454.109.166.000,0.42%,7.29%,-3.33%,2.08%,6.85%,22.72%,SGER
24,21-10-2025,442,484,398,480,1.097.083.900,526.600.272.000,0.45%,10.00%,-9.55%,9.09%,9.50%,18.60%,SGER
25,20-10-2025,416,446,394,440,872.492.900,383.896.876.000,0.97%,8.25%,-4.37%,6.80%,7.21%,17.04%,SGER
26,17-10-2025,376,416,370,412,1.012.679.600,417.223.995.200,1.62%,12.43%,0.00%,11.35%,10.64%,15.87%,SGER
27,16-10-2025,358,376,350,370,470.948.000,174.250.760.000,1.13%,6.21%,-1.13%,4.52%,5.03%,12.23%,SGER
28,15-10-2025,334,354,330,354,464.711.600,164.507.906.400,0.60%,6.63%,-0.60%,6.63%,5.99%,9.04%,SGER
