col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SGRO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SGRO
1,21-11-2025,7.500,7.500,7.325,7.350,8.053.700,59.194.695.000,2.04%,2.04%,-0.34%,0.00%,0.00%,2.33%,SGRO
2,20-11-2025,7.800,7.800,7.325,7.350,40.705.400,299.184.690.000,7.96%,7.96%,1.38%,1.73%,0.00%,20.51%,SGRO
3,19-11-2025,6.200,7.225,6.200,7.225,26.089.500,188.496.637.500,2.90%,19.92%,2.90%,19.92%,16.53%,20.42%,SGRO
4,18-11-2025,5.850,6.025,5.750,6.025,2.851.900,17.182.697.500,0.00%,2.99%,-1.71%,2.99%,2.99%,4.98%,SGRO
5,17-11-2025,5.800,5.900,5.725,5.850,2.214.400,12.954.240.000,0.00%,1.72%,-1.29%,0.86%,1.72%,1.69%,SGRO
6,14-11-2025,5.925,5.975,5.800,5.800,2.299.400,13.336.520.000,0.00%,0.84%,-2.11%,-2.11%,0.84%,2.51%,SGRO
7,13-11-2025,5.825,5.950,5.825,5.925,1.428.600,8.464.455.000,0.00%,2.15%,0.00%,1.72%,2.15%,2.94%,SGRO
8,12-11-2025,5.850,5.950,5.775,5.825,1.378.300,8.028.597.500,0.00%,1.71%,-1.28%,-0.43%,1.71%,2.52%,SGRO
9,11-11-2025,6.000,6.050,5.800,5.850,1.557.800,9.113.130.000,0.84%,1.68%,-2.52%,-1.68%,0.83%,10.74%,SGRO
10,10-11-2025,5.400,6.150,5.400,5.950,12.578.400,74.841.480.000,0.93%,14.95%,0.93%,11.21%,13.89%,17.07%,SGRO
11,07-11-2025,5.200,5.450,5.100,5.350,2.399.700,12.838.395.000,0.48%,5.31%,-1.45%,3.38%,4.81%,8.44%,SGRO
12,06-11-2025,5.050,5.225,4.990,5.175,1.470.900,7.611.907.500,0.00%,3.47%,-1.19%,2.48%,3.47%,4.50%,SGRO
13,05-11-2025,5.100,5.125,4.990,5.050,856.000,4.322.800.000,0.49%,0.99%,-1.67%,-0.49%,0.49%,1.95%,SGRO
14,04-11-2025,5.075,5.175,5.025,5.075,1.166.900,5.922.017.500,1.00%,2.99%,0.00%,1.00%,1.97%,3.96%,SGRO
15,03-11-2025,5.000,5.075,4.970,5.025,1.314.400,6.604.860.000,-0.50%,1.00%,-1.09%,0.00%,1.50%,0.99%,SGRO
16,31-10-2025,5.225,5.375,5.025,5.025,1.565.300,7.865.632.500,1.95%,4.88%,-1.95%,-1.95%,2.87%,7.53%,SGRO
17,30-10-2025,5.075,5.200,4.970,5.125,2.222.300,11.389.287.500,0.00%,2.46%,-2.07%,0.99%,2.46%,3.37%,SGRO
18,29-10-2025,5.100,5.225,5.025,5.075,1.790.900,9.088.817.500,0.00%,2.45%,-1.47%,-0.49%,2.45%,3.83%,SGRO
19,28-10-2025,5.100,5.250,5.025,5.100,1.779.000,9.072.900.000,0.00%,2.94%,-1.47%,0.00%,2.94%,6.29%,SGRO
20,27-10-2025,5.250,5.275,4.920,5.100,3.178.100,16.208.310.000,0.96%,1.44%,-5.38%,-1.92%,0.48%,2.37%,SGRO
21,24-10-2025,5.375,5.400,5.150,5.200,4.560.500,23.714.600.000,0.00%,0.47%,-4.19%,-3.26%,0.47%,1.39%,SGRO
22,23-10-2025,5.625,5.625,5.325,5.375,3.059.100,16.442.662.500,1.35%,1.35%,-4.05%,-3.15%,0.00%,1.78%,SGRO
23,22-10-2025,5.600,5.750,5.525,5.550,3.194.000,17.726.700.000,0.45%,3.14%,-0.90%,-0.45%,2.68%,6.09%,SGRO
24,21-10-2025,5.625,5.775,5.400,5.575,2.200.600,12.268.345.000,0.45%,3.13%,-3.57%,-0.45%,2.67%,11.26%,SGRO
25,20-10-2025,5.125,5.775,5.125,5.600,5.679.200,31.803.520.000,0.00%,12.68%,0.00%,9.27%,12.68%,12.99%,SGRO
26,17-10-2025,5.225,5.275,5.025,5.125,1.732.800,8.880.600.000,0.97%,1.93%,-2.90%,-0.97%,0.96%,7.30%,SGRO
27,16-10-2025,4.980,5.200,4.890,5.175,3.712.100,19.210.117.500,0.61%,5.05%,-1.21%,4.55%,4.42%,6.92%,SGRO
28,15-10-2025,4.840,5.000,4.840,4.950,1.510.200,7.475.490.000,0.21%,3.52%,0.21%,2.48%,3.31%,5.00%,SGRO
29,14-10-2025,4.820,4.890,4.750,4.830,1.325.000,6.399.750.000,0.42%,1.88%,-1.04%,0.63%,1.45%,3.68%,SGRO
30,13-10-2025,4.720,4.980,4.710,4.800,1.236.400,5.934.720.000,-0.42%,5.06%,-0.63%,1.27%,5.51%,5.82%,SGRO
31,10-10-2025,4.880,4.880,4.690,4.740,1.766.400,8.372.736.000,0.00%,0.00%,-3.89%,-2.87%,0.00%,0.61%,SGRO
