col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SHID
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SHID
1,21-11-2025,880,900,850,860,65.100,55.986.000,2.33%,4.65%,-1.16%,0.00%,2.27%,4.44%,SHID
2,20-11-2025,870,870,860,860,6.000,5.160.000,0.00%,0.00%,-1.15%,-1.15%,0.00%,1.15%,SHID
3,19-11-2025,860,870,860,870,1.700,1.479.000,0.00%,1.16%,0.00%,1.16%,1.16%,1.72%,SHID
4,18-11-2025,895,910,855,860,11.900,10.234.000,2.87%,4.60%,-1.72%,-1.15%,1.68%,4.40%,SHID
5,17-11-2025,870,870,870,870,600,522.000,0.58%,0.58%,0.58%,0.58%,0.00%,1.15%,SHID
6,14-11-2025,865,870,860,865,3.800,3.287.000,-0.57%,0.00%,-1.15%,-0.57%,0.58%,0.57%,SHID
7,13-11-2025,870,870,865,870,9.800,8.526.000,0.00%,0.00%,-0.57%,0.00%,0.00%,2.30%,SHID
8,12-11-2025,870,870,850,870,11.500,10.005.000,-0.57%,-0.57%,-2.86%,-0.57%,0.00%,0.00%,SHID
9,11-11-2025,870,880,870,875,3.100,2.712.500,0.00%,1.15%,0.00%,0.57%,1.15%,1.70%,SHID
10,10-11-2025,875,885,865,870,4.900,4.263.000,0.00%,1.14%,-1.14%,-0.57%,1.14%,2.82%,SHID
11,07-11-2025,900,910,860,875,36.800,32.200.000,4.05%,5.20%,-0.58%,1.16%,1.11%,5.49%,SHID
12,06-11-2025,870,890,860,865,17.800,15.397.000,0.00%,2.30%,-1.15%,-0.57%,2.30%,4.49%,SHID
13,05-11-2025,850,870,850,870,6.200,5.394.000,-0.58%,1.75%,-0.58%,1.75%,2.35%,2.30%,SHID
14,04-11-2025,880,885,850,855,12.000,10.260.000,-0.56%,0.00%,-3.95%,-3.39%,0.57%,0.56%,SHID
15,03-11-2025,880,895,880,885,20.100,17.788.500,0.00%,1.70%,0.00%,0.57%,1.70%,8.38%,SHID
16,31-10-2025,860,1.020,820,880,216.900,190.872.000,0.00%,18.60%,-4.65%,2.33%,18.60%,20.10%,SHID
17,30-10-2025,840,890,815,860,7.200,6.192.000,-3.45%,2.30%,-6.32%,-1.15%,5.95%,2.25%,SHID
18,29-10-2025,890,890,870,870,6.800,5.916.000,2.30%,2.30%,0.00%,0.00%,0.00%,2.25%,SHID
19,28-10-2025,870,890,870,870,1.200,1.044.000,0.00%,2.30%,0.00%,0.00%,2.30%,2.81%,SHID
20,27-10-2025,870,870,865,870,17.300,15.051.000,0.00%,0.00%,-0.57%,0.00%,0.00%,0.00%,SHID
21,24-10-2025,875,890,870,870,29.300,25.491.000,0.00%,1.71%,-0.57%,-0.57%,1.71%,3.37%,SHID
22,23-10-2025,885,885,860,875,6.200,5.425.000,0.00%,0.00%,-2.82%,-1.13%,0.00%,0.00%,SHID
23,22-10-2025,885,890,885,885,10.400,9.204.000,2.91%,3.49%,2.91%,2.91%,0.56%,7.87%,SHID
24,21-10-2025,870,870,820,860,13.300,11.438.000,-2.25%,-2.25%,-7.87%,-3.37%,0.00%,9.20%,SHID
25,20-10-2025,895,895,790,890,5.200,4.628.000,2.29%,2.29%,-9.71%,1.71%,0.00%,2.79%,SHID
26,17-10-2025,885,900,870,875,10.700,9.362.500,0.57%,2.27%,-1.14%,-0.57%,1.69%,3.33%,SHID
27,16-10-2025,900,900,870,880,15.300,13.464.000,1.69%,1.69%,-1.69%,-0.56%,0.00%,2.22%,SHID
28,15-10-2025,880,885,880,885,16.500,14.602.500,1.15%,1.72%,1.15%,1.72%,0.57%,1.69%,SHID
29,14-10-2025,870,895,870,870,11.500,10.005.000,-2.79%,0.00%,-2.79%,-2.79%,2.87%,2.79%,SHID
30,13-10-2025,870,895,870,895,10.500,9.397.500,-3.33%,-0.56%,-3.33%,-0.56%,2.87%,2.79%,SHID
31,10-10-2025,870,905,870,900,8.700,7.830.000,0.00%,4.02%,0.00%,3.45%,4.02%,3.87%,SHID
32,09-10-2025,870,900,870,870,4.900,4.263.000,-2.79%,0.56%,-2.79%,-2.79%,3.45%,3.33%,SHID
33,08-10-2025,890,900,870,895,14.100,12.619.500,-0.56%,0.56%,-2.79%,0.00%,1.12%,1.67%,SHID
34,07-10-2025,885,900,885,895,11.700,10.471.500,1.72%,3.45%,1.72%,2.87%,1.69%,3.33%,SHID
35,06-10-2025,875,885,870,870,41.000,35.670.000,0.00%,1.14%,-0.57%,-0.57%,1.14%,1.69%,SHID
36,03-10-2025,885,905,870,875,30.300,26.512.500,0.00%,2.26%,-1.69%,-1.13%,2.26%,8.29%,SHID
37,02-10-2025,890,890,830,885,26.200,23.187.000,0.00%,0.00%,-6.74%,-0.56%,0.00%,0.56%,SHID
38,01-10-2025,900,900,885,890,18.800,16.732.000,1.69%,1.69%,0.00%,0.56%,0.00%,1.67%,SHID
39,30-09-2025,905,905,885,885,32.000,28.320.000,0.00%,0.00%,-2.21%,-2.21%,0.00%,1.10%,SHID
40,29-09-2025,910,910,895,905,12.000,10.860.000,2.82%,2.82%,1.13%,2.26%,0.00%,2.75%,SHID
41,26-09-2025,910,910,885,885,6.800,6.018.000,0.00%,0.00%,-2.75%,-2.75%,0.00%,2.20%,SHID
42,25-09-2025,890,910,890,910,4.500,4.095.000,-1.11%,1.11%,-1.11%,1.11%,2.25%,1.10%,SHID
43,24-09-2025,915,915,900,900,4.300,3.870.000,1.10%,1.10%,-0.55%,-0.55%,0.00%,3.83%,SHID
44,23-09-2025,890,915,880,905,21.000,19.005.000,-0.56%,2.23%,-1.68%,1.12%,2.81%,3.28%,SHID
45,22-09-2025,935,935,885,895,43.200,38.664.000,2.19%,2.19%,-3.28%,-2.19%,0.00%,5.35%,SHID
46,19-09-2025,885,915,885,915,1.900,1.738.500,-1.67%,1.67%,-1.67%,1.67%,3.39%,2.73%,SHID
47,18-09-2025,900,925,890,900,11.000,9.900.000,0.00%,2.78%,-1.11%,0.00%,2.78%,3.78%,SHID
48,17-09-2025,935,935,890,900,30.800,27.720.000,5.06%,5.06%,0.00%,1.12%,0.00%,4.81%,SHID
49,16-09-2025,925,925,890,890,15.600,13.884.000,2.78%,2.78%,-1.11%,-1.11%,0.00%,2.70%,SHID
50,15-09-2025,915,915,900,900,11.100,9.990.000,1.67%,1.67%,0.00%,0.00%,0.00%,4.92%,SHID
51,12-09-2025,870,905,870,900,13.800,12.420.000,-2.25%,1.69%,-2.25%,1.12%,4.02%,2.21%,SHID
52,11-09-2025,885,910,885,890,8.700,7.743.000,0.00%,2.82%,0.00%,0.56%,2.82%,2.75%,SHID
53,10-09-2025,915,915,885,885,5.000,4.425.000,4.57%,4.57%,1.14%,1.14%,0.00%,4.37%,SHID
54,09-09-2025,915,915,875,875,13.300,11.637.500,0.00%,0.00%,-4.37%,-4.37%,0.00%,1.09%,SHID
55,08-09-2025,915,920,905,915,17.600,16.104.000,0.00%,0.55%,-1.09%,0.00%,0.55%,1.63%,SHID
56,04-09-2025,915,915,905,915,4.700,4.300.500,0.00%,0.00%,-1.09%,0.00%,0.00%,2.73%,SHID
57,03-09-2025,920,920,890,915,4.000,3.660.000,2.79%,2.79%,-0.56%,2.23%,0.00%,4.35%,SHID
58,02-09-2025,880,920,880,895,9.400,8.413.000,-2.76%,1.66%,-2.76%,-1.10%,4.55%,7.07%,SHID
59,01-09-2025,875,915,855,905,19.200,17.376.000,-2.23%,2.23%,-4.47%,1.12%,4.57%,3.83%,SHID
60,29-08-2025,910,910,880,895,24.600,22.017.000,1.11%,1.11%,-2.22%,-0.56%,0.00%,1.10%,SHID
61,28-08-2025,900,915,900,900,18.300,16.470.000,0.00%,1.67%,0.00%,0.00%,1.67%,2.73%,SHID
62,27-08-2025,900,925,890,900,23.800,21.420.000,0.00%,2.78%,-1.11%,0.00%,2.78%,5.41%,SHID
63,26-08-2025,875,930,875,900,11.000,9.900.000,-4.37%,1.64%,-4.37%,-1.64%,6.29%,3.23%,SHID
64,25-08-2025,915,925,900,915,15.700,14.365.500,0.00%,1.09%,-1.64%,0.00%,1.09%,2.16%,SHID
65,22-08-2025,905,925,905,915,12.800,11.712.000,0.00%,2.21%,0.00%,1.10%,2.21%,2.70%,SHID
66,21-08-2025,905,910,900,905,3.400,3.077.000,0.00%,0.55%,-0.55%,0.00%,0.55%,5.49%,SHID
67,20-08-2025,935,990,860,905,161.400,146.067.000,0.54%,6.45%,-7.53%,-2.69%,5.88%,9.09%,SHID
68,19-08-2025,915,950,900,930,24.300,22.599.000,-1.61%,2.15%,-3.23%,0.00%,3.83%,3.68%,SHID
69,15-08-2025,955,980,915,930,23.200,21.576.000,0.53%,3.16%,-3.68%,-2.11%,2.62%,9.18%,SHID
70,14-08-2025,900,995,890,950,253.100,240.445.000,0.00%,10.56%,-1.11%,5.56%,10.56%,10.05%,SHID
71,13-08-2025,895,910,895,900,22.500,20.250.000,-1.10%,0.55%,-1.10%,-0.55%,1.68%,3.30%,SHID
72,12-08-2025,910,910,880,905,47.600,43.078.000,0.00%,0.00%,-3.30%,-0.55%,0.00%,4.40%,SHID
73,11-08-2025,870,930,870,910,53.000,48.230.000,-1.14%,5.68%,-1.14%,3.41%,6.90%,12.90%,SHID
74,08-08-2025,900,915,810,880,53.400,46.992.000,-1.10%,0.55%,-10.99%,-3.30%,1.67%,2.73%,SHID
75,07-08-2025,900,910,890,910,62.500,56.875.000,0.56%,1.68%,-0.56%,1.68%,1.11%,2.20%,SHID
76,06-08-2025,895,945,890,895,57.300,51.283.500,-0.56%,5.00%,-1.11%,-0.56%,5.59%,5.29%,SHID
77,05-08-2025,950,965,895,900,153.800,138.420.000,0.00%,1.58%,-5.79%,-5.26%,1.58%,2.07%,SHID
78,04-08-2025,975,1.000,945,950,150.000,142.500.000,0.00%,2.56%,-3.08%,-2.56%,2.56%,4.00%,SHID
79,01-08-2025,990,1.030,960,975,78.000,76.050.000,1.02%,5.10%,-2.04%,-0.51%,4.04%,6.80%,SHID
80,31-07-2025,990,1.030,960,980,194.500,190.610.000,0.00%,4.04%,-3.03%,-1.01%,4.04%,4.85%,SHID
