col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SHIP
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SHIP
1,21-11-2025,5.475,5.475,5.275,5.350,28.700,153.545.000,3.30%,3.30%,-0.47%,0.94%,0.00%,4.11%,SHIP
2,20-11-2025,5.375,5.500,5.250,5.300,107.900,571.870.000,1.90%,4.27%,-0.47%,0.47%,2.33%,5.00%,SHIP
3,19-11-2025,5.675,5.975,5.225,5.275,219.100,1.155.752.500,1.79%,7.17%,-6.28%,-5.38%,5.29%,14.23%,SHIP
4,18-11-2025,5.400,5.775,5.125,5.575,323.500,1.803.512.500,-8.09%,-1.70%,-12.77%,-5.11%,6.94%,-1.73%,SHIP
5,17-11-2025,6.575,6.575,5.875,5.875,649.200,3.814.050.000,-4.71%,-4.71%,-14.86%,-14.86%,0.00%,15.21%,SHIP
6,14-11-2025,6.150,7.300,5.575,6.900,981.400,6.771.660.000,-1.20%,17.27%,-10.44%,10.84%,18.70%,30.48%,SHIP
7,13-11-2025,5.175,6.225,5.075,6.225,488.400,3.040.290.000,-0.48%,19.71%,-2.40%,19.71%,20.29%,18.07%,SHIP
8,12-11-2025,5.225,5.225,5.100,5.200,28.500,148.200.000,-0.48%,-0.48%,-2.86%,-0.95%,0.00%,4.31%,SHIP
9,11-11-2025,5.150,5.300,5.000,5.250,41.400,217.350.000,0.00%,2.91%,-2.91%,1.94%,2.91%,5.66%,SHIP
10,10-11-2025,5.225,5.275,5.000,5.150,34.100,175.615.000,0.48%,1.44%,-3.85%,-0.96%,0.96%,2.37%,SHIP
11,07-11-2025,5.250,5.325,5.150,5.200,76.800,399.360.000,-1.87%,-0.47%,-3.74%,-2.80%,1.43%,0.94%,SHIP
12,06-11-2025,5.275,5.400,5.275,5.350,5.000,26.750.000,-1.40%,0.93%,-1.40%,0.00%,2.37%,0.93%,SHIP
13,05-11-2025,5.350,5.375,5.350,5.350,20.900,111.815.000,-0.47%,0.00%,-0.47%,-0.47%,0.47%,2.79%,SHIP
14,04-11-2025,5.225,5.450,5.225,5.375,14.200,76.325.000,-4.13%,0.00%,-4.13%,-1.38%,4.31%,4.59%,SHIP
15,03-11-2025,5.450,5.450,5.200,5.450,58.900,321.005.000,0.00%,0.00%,-4.59%,0.00%,0.00%,6.42%,SHIP
16,31-10-2025,5.250,5.550,5.100,5.450,27.000,147.150.000,0.00%,5.71%,-2.86%,3.81%,5.71%,6.76%,SHIP
17,30-10-2025,5.350,5.350,5.175,5.250,7.000,36.750.000,1.90%,1.90%,-1.43%,0.00%,0.00%,5.14%,SHIP
18,29-10-2025,5.275,5.350,5.075,5.250,11.300,59.325.000,0.48%,1.90%,-3.33%,0.00%,1.42%,3.74%,SHIP
19,28-10-2025,5.275,5.300,5.150,5.250,3.300,17.325.000,0.00%,0.47%,-2.37%,-0.47%,0.47%,5.66%,SHIP
20,27-10-2025,5.375,5.600,5.000,5.275,152.500,804.437.500,1.42%,5.66%,-5.66%,-0.47%,4.19%,7.14%,SHIP
